medcodeid	freq	final_term	site	Type_provisional	Diagnosis group
7278014	 1,112 	Arthritis	Other	diagnosis	Arthritis NOS
1464018	 167 	Monoarthritis	Other	diagnosis	Arthritis NOS
20587019	 94 	Acute arthritis	Other	diagnosis	Arthritis NOS
359169019	 91 	Arthritis of knee	Knee	diagnosis	Arthritis NOS
359170018	 45 	Arthritis of hip	Hip/Pelvis	diagnosis	Arthritis NOS
312529012	 44 	[X]Other specified arthritis	Other	diagnosis	Arthritis NOS
59922014	 33 	Chronic arthritis	Other	diagnosis	Arthritis NOS
411893012	 29 	Arthritis monitoring	Other	diagnosis	Arthritis NOS
310172017	 28 	Unspecified monoarthritis of the lower leg	Leg	diagnosis	Arthritis NOS
359168010	 27 	Ankle arthritis NOS	Foot/Ankle	diagnosis	Arthritis NOS
359171019	 25 	Arthritis of wrist	Wrist	diagnosis	Arthritis NOS
310173010	 20 	Unspecified monoarthritis of the ankle and foot	Foot/Ankle	diagnosis	Arthritis NOS
310174016	 19 	Unspecified monoarthritis of other specified site	Other	diagnosis	Arthritis NOS
310159018	 17 	Generalised arthritis	Multiple	diagnosis	Arthritis NOS
815501000006110	 14 	Arthritis of hand	Hand	diagnosis	Arthritis NOS
310175015	 11 	Unspecified monoarthritis NOS	Other	diagnosis	Arthritis NOS
178465011	 246 	Arthrogryposis	Other	diagnosis	Arthrogryposis
492481000006116	 46 	Arthrogryposis multiplex congenita.	Multiple	diagnosis	Arthrogryposis
13784591000006110	 24 	Arthrogryposis multiplex congenita	Multiple	diagnosis	Arthrogryposis
314951014	 18 	Arthrogryposis, unspecified	Other	diagnosis	Arthrogryposis
55627011	 610 	Psoriatic arthropathy	Other	diagnosis	Axial spondyloarthritis
16833013	 280 	Ankylosing spondylitis	Back	diagnosis	Axial spondyloarthritis
55628018	 215 	Psoriatic arthritis	Other	diagnosis	Axial spondyloarthritis
2472449013	 181 	Juvenile seronegative polyarthritis	Multiple	diagnosis	Axial spondyloarthritis
359312010	 86 	Juvenile ankylosing spondylitis	Back	diagnosis	Axial spondyloarthritis
2360741000000115	 55 	Axial spondyloarthritis	Back	diagnosis	Axial spondyloarthritis
5139461000006110	 35 	Juvenile psoriatic arthritis with psoriasis	Other	diagnosis	Axial spondyloarthritis
312521010	 27 	Psoriasis with arthropathy	Other	diagnosis	Axial spondyloarthritis
311045018	 15 	Spondylitis	Back	diagnosis	Axial spondyloarthritis
308730016	 14 	Psoriatic arthropathy NOS	Other	diagnosis	Axial spondyloarthritis
288960017	 60 	Malignant neoplasm of connective and other soft tissue	Other	diagnosis	Cancer
728491000006116	 39 	Malignant neoplasm of connective and soft tissues of thoracic spine	Back	diagnosis	Cancer
5511671000006115	 32 	Malignant neoplasm of soft tissue	Other	diagnosis	Cancer
396501000006117	 26 	[X]Malignant neoplasm/connective + soft tissue,unspecified	Other	diagnosis	Cancer
291618010	 24 	[M]Soft tissue tumours and sarcomas NOS	Other	diagnosis	Cancer
