MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
317564014	100000	R0901	R090100	[D]Abdominal colic	9991008	17444017	27
317576014	2000	R090D	R090D00	[D]Abdominal migraine	75879005	126030010	32
317562013	4000000	R090	R090.00	[D]Abdominal pain	21522001	36112013	27
317587018	200000	R090z	R090z00	[D]Abdominal pain NOS	21522001	36112013	27
293121000006115	20000	R090F	R090F00	[D]Acute abdomen	9209005	16183017	32
317475011	100000	R0734	R073400	[D]Bloating	248490000	370924017	27
317568012	200000	R0905	R090500	[D]Epigastric pain	79922009	132601013	27
1222522013	400	R0903-1	R090311	[D]Evening colic	247361008	369372017	32
317473016	1000	R0732	R073200	[D]Gas pain (abdominal)	45979003	76665012	32
317566011	70000	R0903	R090300	[D]Infantile colic	35363006	59007019	27
317586010	1000	R090y	R090y00	[D]Other specified abdominal pain	21522001	36112013	27
317571016	30000	R0908	R090800	[D]Suprapubic pain	162053006	252595010	27
1222523015	200	R0903-2	R090312	[D]Three month colic	35363006	486136012	27
303651000006110	50000	R090H	R090H00	[D]Upper abdominal pain	83132003	137890011	27
324481000006114	100	7NB2Y	7NB2Y00	[SO]Hypogastrium	11708003	20231011	32
318003010	2000	Ryu11	Ryu1100	[X]Other and unspecified abdominal pain	21522001	36112013	27
318001012	3000	Ryu10	Ryu1000	[X]Pain localized to other parts of lower abdomen	54586004	90723010	27
252628012	8000	19AZ	19AZ.00	Abd. distension symptom NOS	162068007	252623015	27
3486561000006118	400	^ESCTAB348656		Abdomen distended	60728008	498835017	32
2475423012	200000	19A2	19A2.00	Abdomen feels bloated	248490000	2475942016	27
2475503014	30000	19A3	19A3.00	Abdomen feels distended	162068007	2475503014	27
436421000006112	4000	19A4	19A4.00	Abdomen feels swollen	162068007	252623015	27
4270371000006111	100	^ESCTAB427037		Abdominal bloating	116289008	179244013	31
1236016018	500000	1962	1962.00	Abdominal colic	9991008	17444017	27
72350017	1000000	1968	1968.00	Abdominal discomfort	43364001	72350017	27
3175721000006116	30	^ESCTAB317572		Abdominal distension	41931001	69965013	31
252623015	200000	19A	19A..00	Abdominal distension symptom	162068007	252623015	27
317474010	10000	R0733	R073300	Abdominal distension, gaseous	271835004	406818011	32
3486541000006117	200	^ESCTAB348654		Abdominal distention	60728008	498833012	32
5273201000006114	4	^ESCTAB527320		Abdominal guarding	249545003	372325017	31
126030010	30000	F2622	F262200	Abdominal migraine	75879005	126030010	32
252573011	10000	1967	1967.00	Abdominal migraine - symptom	162040008	252573011	27
8013981000006117	2	^ESCTAB801398		Abdominal muscle pain	28221000119103	2989456018	31
36112013	10000000	1969	1969.00	Abdominal pain	21522001	36112013	27
6043821000006114	400	^ESCTAB604382		Abdominal pain - cause unknown	314212008	458531010	31
3714121000006115	10	^ESCTAB371412		Abdominal pain through to back	74704000	124064011	31
369368016	500000	196-1	196..11	Abdominal pain type	247358007	369368016	27
317611015	300	R094	R094.00	Abdominal rigidity	72300008	120140018	32
317595019	60000	R0930	R093000	Abdominal swelling	60728008	498834018	32
317563015	30000	R0900	R090000	Abdominal tenderness	43478001	72519018	32
252575016	40000	19690	1969000	Abdominal wall pain	162042000	252575016	27
3242511000006110	300	^ESCTAB324251		Abdominal wind pain	45979003	494400015	32
317578010	10000	R096	R096.00	Acute abdomen	9209005	16183017	32
4270381000006114	40	^ESCTAC427038		Acute abdominal pain	116290004	179236013	31
7297231000006117	10	^ESCTAC729723		Acute exacerbation of chronic abdominal pain	444746004	2871975013	27
2842251000006112	10	^ESCTAP284225		AP - Abdominal pain	21522001	481053019	27
3486501000006119	1	^ESCTBL348650		Bloat	60728008	100900018	32
3486531000006110	800	^ESCTBL348653		Bloated abdomen	60728008	498832019	32
3486511000006116	80	^ESCTBL348651		Bloating	60728008	100901019	32
370924017	700000	19B-2	19B..12	Bloating symptom	248490000	370924017	27
5561491000006116	60	^ESCTCO556149		C/O left iliac fossa pain	274278000	410059015	31
5561471000006117	80	^ESCTCO556147		C/O right iliac fossa pain	274277005	410058011	31
252584016	100000	1971	1971.00	Central abdominal pain	162046002	252584016	27
4202081000006115	300	^ESCTCH420208		Chronic abdominal pain	111985007	179237016	27
5086191000006118	200	^ESCTCH508619		Chronic nonspecific abdominal pain	235841007	353529017	27
317565010	70000	R0902	R090200	Colic	9991008	17447012	27
2659131000006111	20	^ESCTCO265913		Colicky abdominal pain	9991008	1236016018	27
3688461000006117	8	^ESCTCO368846		Colicky pain	73063007	121357019	31
2670881000006112	10	^ESCTCO267088		Colon spasm	10743008	1219339014	32
5561501000006112	50	^ESCTCO556150		Complaining of left iliac fossa pain	274278000	2669606014	31
5561481000006119	30	^ESCTCO556148		Complaining of right iliac fossa pain	274277005	2669676010	31
7240101000006111	10	^ESCTCO724010		Constipation predominant irritable bowel syndrome	440630006	2791649019	32
4313861000006119	4	^ESCTDI431386		Disorder of abdomen	118948005	2469924018	31
4317181000006113	30	^ESCTEP431718		Epigastric discomfort	119416008	179245014	31
132601013	2000000	1972	1972.00	Epigastric pain	79922009	132601013	27
5243141000006118	20	^ESCTEV524314		Evening colic	247361008	369372017	32
1786591000006112	4000	R090P	R090P00	Functional abdominal pain syndrome	449890002	2912942015	32
2670891000006110	200	^ESCTFU267089		Functional bowel disease	10743008	1219340011	32
3242521000006119	1	^ESCTGA324252		Gas pain - abdominal	45979003	494401016	32
1218836019	10000	197A-1	197A.11	General abdominal pain-symptom	102614006	1218836019	27
252305018	100000	197A	197A.00	Generalised abdominal pain	102614006	252305018	27
7234071000006113	2	^ESCTGE723407		Generalised abdominal tenderness	440220007	2790529011	31
4077761000006110	4	^ESCTGE407776		Generalized abdominal pain	102614006	165942013	27
