MedCodeId	Term	OriginalReadCode	CleansedReadCode	SnomedCTConceptId	SnomedCTDescriptionId	Release	EmisCodeCategoryId	Include
15243013	Alcohol withdrawal delirium	E010	E010.00	8635005	15243013	NA	32	Ever
15244019	Delirium tremens	E010-2	E010.12	8635005	15244019	NA	32	Ever
17390014	Acute alcoholic hepatitis	J611	J611.00	9953008	17390014	NA	32	Ever
47085011	Social drinker	136J	136J.00	28127009	47085011	NA	17	Ever
83834016	Alcoholic fatty liver	J610	J610.00	50325005	83834016	NA	32	Ever
106878015	Alcohol detoxification	8BA8	8BA8.00	64297001	106878015	NA	32	Ever
138527014	Alcoholic cardiomyopathy	G555	G555.00	83521008	138527014	NA	32	Ever
216585018	Under care of community alcohol team	9NN2	9NN2.00	135827004	216585018	NA	37	Ever
250313014	Moderate drinker - 3-6u/day	1364	1364.00	160576006	250313014	NA	17	Ever
250317010	Stopped drinking alcohol	1367	1367.00	160579004	250317010	NA	17	Ever
250321015	Ex-trivial drinker (<1u/day)	136A	136A.00	160582009	250321015	NA	17	Ever
250323017	Ex-moderate drinker - (3-6u/d)	136C	136C.00	160584005	250323017	NA	17	Ever
250329018	Ex-very heavy drinker-(>9u/d)	136E	136E.00	160587003	250329018	NA	17	Ever
250332015	Beer drinker	136G	136G.00	160589000	250332015	NA	17	Ever
250334019	Drinks wine	136I	136I.00	160591008	250334019	NA	17	Ever
250335018	Alcohol intake above recommended sensible limits	136K	136K.00	160592001	250335018	NA	17	Ever
250340014	Alcohol intake within recommended sensible limits	136L	136L.00	160593006	250340014	NA	17	Ever
283451018	Aversion therapy - alcoholism	8G32	8G32.00	183388004	283451018	NA	32	Ever
283559019	Admitted to alcohol detoxification centre	8H35	8H35.00	183486001	283559019	NA	40	Ever
291352018	Non-drinker alcohol	1361-2	1361.12	105542008	291352018	NA	17	Never
291355016	Teetotaller	1361	1361.00	105542008	291355016	NA	17	Never
294668018	Chronic alcoholic brain syndrome	E0120	E012000	191475009	294668018	NA	32	Ever
294669014	Alcohol withdrawal hallucinosis	E013	E013.00	191476005	294669014	NA	32	Ever
294670010	Drunkenness - pathological	E014-1	E014.11	191477001	294670010	NA	32	Ever
294672019	Alcoholic paranoia	E015	E015.00	191478006	294672019	NA	32	Ever
295126010	Alcohol dependence with acute alcoholic intoxication	E230-1	E230.11	191802004	295126010	NA	32	Ever
295127018	Acute alcoholic intoxication in alcoholism	E230	E230.00	191802004	295127018	NA	32	Ever
295130013	Episodic acute alcoholic intoxication in alcoholism	E2302	E230200	191805002	295130013	NA	32	Ever
295131012	Acute alcoholic intoxication in remission, in alcoholism	E2303	E230300	191806001	295131012	NA	32	Ever
295139014	Continuous chronic alcoholism	E2311	E231100	191811004	295139014	NA	32	Ever
295142015	Chronic alcoholism in remission	E2313	E231300	191813001	295142015	NA	32	Ever
295252010	Nondependent alcohol abuse, continuous	E2501	E250100	191882002	295252010	NA	32	Ever
295253017	Nondependent alcohol abuse, episodic	E2502	E250200	191883007	295253017	NA	32	Ever
342320016	Light drinker	136N	136N.00	228277002	342320016	NA	17	Ever
342322012	Very heavy drinker	136Q	136Q.00	228279004	342322012	NA	17	Ever
353587018	Alcoholic hepatitis	J617	J617.00	235875008	353587018	NA	32	Ever
353594015	Alcoholic fibrosis and sclerosis of liver	J6120	J612000	235880004	353594015	NA	32	Ever
353595019	Alcoholic hepatic failure	J6130	J613000	235881000	353595019	NA	32	Ever
356292013	Alcohol-induced pseudo-Cushing's syndrome	C1505	C150500	237738005	356292013	NA	15	Ever
397729013	Trivial drinker - <1u/day	1362	1362.00	266917007	397729013	NA	17	Ever
401797010	Nondependent alcohol abuse	E250	E250.00	268645007	401797010	NA	32	Ever
451124014	Chronic alcoholic hepatitis	J6170	J617000	307757001	451124014	NA	32	Ever
478024019	Alcohol-induced epilepsy	F25B	F25B.00	361268000	478024019	NA	15	Ever
501294012	Wernicke-Korsakov syndrome	E0112	E011200	69482004	501294012	NA	32	Ever
371501000000110	Delivery of rehabilitation for alcohol addiction	7P221	7P22100	231161000000109	371501000000110	NA	32	Ever
405461000000114	Alcohol abuse monitoring	66e0	66e0.00	247721000000109	405461000000114	NA	1	Ever
1738341000000110	Increasing risk drinking	136a	136a.00	777631000000108	1738341000000110	NA	17	Ever
1738381000000119	Higher risk drinking	136c	136c.00	777651000000101	1738381000000119	NA	17	Ever
2222181000000110	Declines to state current alcohol consumption	136e	136e.00	858861000000101	2222181000000110	NA	17	Missing
12878014	Alcoholism	E23-1	E23..11	66590003	110629012	NA	32	Ever
14103017	Alcoholic polyneuropathy	F375	F375.00	7916009	14104011	NA	32	Ever
295128011	Acute alcoholic intoxication, unspecified, in alcoholism	E2300	E230000	191802004	295127018	NA	32	Ever
295143013	Chronic alcoholism NOS	E231z	E231z00	66590003	110629012	NA	32	Ever
295144019	Alcohol dependence syndrome NOS	E23z	E23z.00	66590003	500478011	NA	32	Ever
295255012	Nondependent alcohol abuse NOS	E250z	E250z00	268645007	401797010	NA	32	Ever
303399018	Alcoholic liver damage unspecified	J613	J613.00	41309000	68906017	NA	32	Ever
346930019	Inebriety NOS	E250-3	E250.13	25702006	43081018	NA	32	Ever
346931015	Drunkenness NOS	E250-1	E250.11	25702006	43083015	NA	32	Ever
401760017	Other alcoholic dementia	E012	E012.00	281004	1225776018	NA	32	Ever
117761000006116	Suspect alcohol abuse - denied	1369	1369.00	413968004	2534341013	NA	17	Missing
350971000006112	[X] Adverse reaction to alcohol deterrents	U60H3-1	U60H311	292416003	432554017	NA	5	Ever
362251000006117	[X]Acute alcoholic drunkenness	Eu100-1	Eu10011	25702006	43081018	NA	32	Ever
362921000006118	[X]Alcohol addiction	Eu102-1	Eu10211	66590003	500478011	NA	32	Ever
362941000006113	[X]Alcoholic dementia NOS	Eu107-1	Eu10711	281004	1225776018	NA	32	Ever
362951000006110	[X]Alcoholic hallucinosis	Eu105-1	Eu10511	7052005	1233279015	NA	32	Ever
370971000006114	[X]Chronic alcoholism	Eu102-2	Eu10212	66590003	110629012	NA	32	Ever
376451000006113	[X]Delirium tremens, alcohol induced	Eu104-1	Eu10411	8635005	15243013	NA	32	Ever
377081000006114	[X]Dipsomania	Eu102-3	Eu10213	66590003	500478011	NA	32	Ever
379971000006119	[X]Evid alch invl detrm by levl intox alch invl not oth spec	U814	U814.00	25702006	43081018	NA	32	Ever
379981000006116	[X]Evid alcoh invl determ by levl intox very sev alcoh intox	U813	U813.00	25702006	43081018	NA	32	Ever
380011000006110	[X]Evid alcoh invol determ by levl of intox mild alcoh intox	U810	U810.00	25702006	43081018	NA	32	Ever
394681000006119	[X]Korsakov's psychosis, alcohol induced	Eu106-1	Eu10611	69482004	115434017	NA	32	Ever
397201000006116	[X]Men & behav dis due alcoh: resid & late-onset psychot dis	Eu107	Eu10700	42344001	70655012	NA	32	Ever
397211000006118	[X]Men & behav dis due alcohl: withdrawl state with delirium	Eu104	Eu10400	8635005	15243013	NA	32	Ever
397221000006114	[X]Men & behav dis due cocaine: withdrawl state wth delirium	Eu144	Eu14400	91388009	151411015	NA	32	Ever
397431000006111	[X]Ment & behav dis due use alcohol: unsp ment & behav dis	Eu10z	Eu10z00	91388009	151411015	NA	32	Ever
397611000006115	[X]Mental & behav dis due to use alcohol: acute intoxication	Eu100	Eu10000	25702006	43081018	NA	32	Ever
397791000006118	[X]Mental and behav dis due to use alcohol: amnesic syndrome	Eu106	Eu10600	73097000	121405015	NA	32	Ever
464381000006118	Adverse reaction to alcohol deterrents	TJH3	TJH3.00	292416003	432554017	NA	5	Ever
476361000006114	Alcohol amnestic syndrome	E011	E011.00	69482004	501300010	NA	32	Ever
476701000006114	Alcoholic myopathy	F3941	F394100	19303008	32551012	NA	32	Ever
587231000006111	Non drinker alcohol	1361-1	1361.11	105542008	291352018	NA	17	Never
629811000006113	Drinks occasionally	1362-2	1362.12	228276006	342318019	NA	17	Ever
750721000000118	Alcohol units consumed on heaviest drinking day	136X	136X.00	442547005	2819352010	NA	17	Ever
769451000006111	Intoxication - alcohol	E250-4	E250.14	25702006	43083015	NA	32	Ever
1754191000006119	Extended interven for excessive alcohol consumption declined	8IAt	8IAt.00	754831000000102	1660641000000118	NA	32	Ever
294664016	Alcohol amnestic syndrome NOS	E011z	E011z00	73097000	121405015	NA	32	Ever
556651000000116	Alcohol units per week	136V	136V.00	1082641000000106	2713011000000113	NA	17	Depends on numeric qualifier  - if zero, "never", if 1+, "ever" (if no value, regard as "missing")
4533141000006118	Alcohol intake	^ESCTAL453314		160573003	250307017	NA	17	Depends on numeric qualifier  - if zero, "never", if 1+, "ever" (if no value, regard as "missing")
2934681000006118	Poisoning caused by alcohol deterrent	^ESCTPO293468		27134008	3292162014	NA	32	Ever
3859111000006117	Dilated cardiomyopathy caused by alcohol	^ESCTDI385911		83521008	3290572011	NA	32	Ever
4978451000006114	Bout drinker	^ESCTBO497845		228315001	342367017	NA	17	Ever
2806381000006118	Alcoholic myositis	^ESCTAL280638		19303008	32553010	NA	32	Ever
4977971000006112	Drinks on special occasions	^ESCTDR497797		228276006	342319010	NA	17	Ever
2911271000006113	Acute alcoholism	^ESCTAC291127		25702006	43082013	NA	32	Ever
4533461000006110	Excessive alcohol use	^ESCTEX453346		160592001	2923459011	NA	17	Ever
4768901000006117	Alcohol induced encephalopathy	^ESCTAL476890		192811002	2951733018	NA	32	Ever
4978461000006111	Episodic drinker	^ESCTEP497846		228315001	342368010	NA	17	Ever
2806371000006116	Alcoholic myopathic syndrome	^ESCTAL280637		19303008	32552017	NA	32	Ever
4533451000006113	Excessive alcohol consumption	^ESCTEX453345		160592001	250339012	NA	17	Ever
4120341000006116	Never drinks	^ESCTNE412034		105542008	291353011	NA	17	Never
4533391000006112	Drinks beer and hard liquor	^ESCTDR453339		160590009	2532139016	NA	17	Ever
5111831000006111	Pseudo-Cushing syndrome due to alcohol	^ESCTPS511183		237738005	3037101014	NA	15	Ever
2626161000006111	Alcoholic peripheral neuropathy	^ESCTAL262616		7916009	1234320010	NA	32	Ever
3630121000006110	Korsakoff psychosis	^ESCTKO363012		69482004	501295013	NA	32	Ever
4120321000006111	Abstinent	^ESCTAB412032		105542008	291351013	NA	17	Never
5981291000006110	Alcohol withdrawal-induced convulsion	^ESCTAL598129		308742005	452062011	NA	32	Ever
7265801000006115	Heaviest drinking day	^ESCTHE726580		442547005	2455451000000118	NA	17	Ever
4533421000006116	XS - Excessive ethanol consumption	^ESCTXS453342		160592001	250336017	NA	17	Ever
3630161000006116	Amnesic syndrome due to alcohol	^ESCTAM363016		69482004	501299019	NA	32	Ever
4120381000006110	Current non-drinker of alcohol	^ESCTCU412038		105542008	2659855016	NA	17	Never
4533431000006118	Excessive ethanol consumption	^ESCTEX453343		160592001	250337014	NA	17	Ever
3165681000006118	Alcoholic liver disease	^ESCTAL316568		41309000	68909012	NA	32	Ever
2934661000006111	Poisoning by alcohol deterrent	^ESCTPO293466		27134008	45382016	NA	32	Ever
3315041000006111	Alcoholic steatosis	^ESCTAL331504		50325005	2306821000000116	NA	32	Ever
4533171000006114	ETOH - Alcohol intake	^ESCTET453317		160573003	1221270017	NA	17	Depends on numeric qualifier  - if zero, "never", if 1+, "ever" (if no value, regard as "missing")
11922951000006112	Alcoholic psychoses	^ESCT1192295		42344001	476741000006111	NA	32	Ever
3165691000006115	ALD - Alcoholic liver disease	^ESCTAL316569		41309000	492959019	NA	32	Ever
