ProdCodeId	DMDCode	TermfromEMIS	ProductName	drugsubstancename	substancestrength	formulation	routeofadministration	bnfcode	DrugIssues	FINAL_CATEGORY
2968941000033119	8970311000001109	Advil 200mg tablets (Wyeth Consumer Healthcare)	Advil 200mg tablets	Ibuprofen	200.000mg	Tablet	Oral		60	i) Basic analgesics
25641000033118	439911000001107	Algesal cream (Thornton & Ross Ltd)	Algesal cream	Diethylamine salicylate	100.000mg/1.000gram	Cream	Transdermal		1000000	i) Basic analgesics
12903141000033113	36724111000001102	Altridexamol 1000mg effervescent tablets (TriOn Pharma Ltd)	Altridexamol 1000mg effervescent tablets	Paracetamol	1.000gram	Effervescent tablet	Oral		3	i) Basic analgesics
36141000033119	685211000001107	Alvedon 125mg suppositories (Esteve Pharmaceuticals Ltd)	Alvedon 125mg suppositories	Paracetamol	125.000mg	Suppository	Rectal		6000	i) Basic analgesics
1714641000033110	124811000001103	Alvedon 250mg suppositories (Esteve Pharmaceuticals Ltd)	Alvedon 250mg suppositories	Paracetamol	250.000mg	Suppository	Rectal		500	i) Basic analgesics
1714741000033118	538011000001105	Alvedon 60mg suppositories (Esteve Pharmaceuticals Ltd)	Alvedon 60mg suppositories	Paracetamol	60.000mg	Suppository	Rectal		400	i) Basic analgesics
81641000033113	389511000001100	Arthrofen 200 tablets (Ashbourne Pharmaceuticals Ltd)	Arthrofen 200 tablets	Ibuprofen	200.000mg	Tablet	Oral		7000	i) Basic analgesics
81741000033116	933011000001107	Arthrofen 400 tablets (Ashbourne Pharmaceuticals Ltd)	Arthrofen 400 tablets	Ibuprofen	400.000mg	Tablet	Oral		60000	i) Basic analgesics
82841000033117	39695211000001102	Aspirin 300mg dispersible tablets	Aspirin 300mg dispersible tablets	Aspirin	300.000mg	Dispersible tablet/	Oral	4070100	2000000	i) Basic analgesics
83141000033116	322225002	Aspirin 300mg gastro-resistant tablets	Aspirin 300mg gastro-resistant tablets	Aspirin	300.000mg	Gastro-resistant tablet	Oral	4070100	2000000	i) Basic analgesics
84441000033114	4558011000001103	Aspirin 300mg modified-release tablets	Aspirin 300mg modified-release tablets	Aspirin	300.000mg	Modified-release tablet	Oral	4070100	8000	i) Basic analgesics
2013341000033115	322232006	Aspirin 300mg suppositories	Aspirin 300mg suppositories	Aspirin	300.000mg	Suppository	Rectal	4070100	700	i) Basic analgesics
86641000033119	329525004	Aspirin 300mg tablets	Aspirin 300mg tablets	Aspirin	300.000mg	Tablet	Oral	4070100	900000	i) Basic analgesics
82941000033113	319773006	Aspirin 75mg dispersible tablets	Aspirin 75mg dispersible tablets	Aspirin	75.000mg	Dispersible tablet/	Oral	2090000	100000000	i) Basic analgesics
83041000033115	319781007	Aspirin 75mg gastro-resistant tablets	Aspirin 75mg gastro-resistant tablets	Aspirin	75.000mg	Gastro-resistant tablet	Oral	2090000	30000000	i) Basic analgesics
3836841000033119	322784004	Aspirin 900mg / Metoclopramide 10mg oral powder sachets sugar free	Aspirin 900mg / Metoclopramide 10mg oral powder sachets sugar free	Aspirin DL-Lysine/ Metoclopramide hydrochloride	900.000mg + 10.000mg	 Powder	Oral	4070401	30000	i) Basic analgesics
4431841000033118	4649111000001101	Aspro Clear 300mg effervescent tablets (Bayer Plc)	Aspro Clear 300mg effervescent tablets	Aspirin	300.000mg	 Effervescent tablet	Oral		90	i) Basic analgesics
96741000033110	465711000001100	Axsain 0.075% cream (Teva UK Ltd)	Axsain 0.075% cream	Capsaicin	750.000microgram/1.000gram	Cream	Cutaneous		40000	i) Basic analgesics
106741000033115	314311000001108	Balmosa cream (Selsdon Healthcare Ltd)	Balmosa cream	Capsicum oleoresin/ Menthol/ Methyl salicylate/ Racemic camphor	350.000microgram/1.000gram + 20.000mg/1.000gram + 40.000mg/1.000gram + 40.000mg/1.000gram	Cream	Cutaneous		200000	i) Basic analgesics
125241000033111	330185007	Benzydamine 3% cream	Benzydamine 3% cream	Benzydamine hydrochloride	30.000mg/1.000gram	Cream	Cutaneous	10030200	200000	i) Basic analgesics
161341000033113	445711000001109	Brufen 100mg/5ml syrup (Viatris UK Healthcare Ltd)	Brufen 100mg/5ml syrup	Ibuprofen	20.000mg/1.000ml	Oral suspension	Oral		30000	i) Basic analgesics
162841000033113	643711000001106	Brufen 200mg tablets (Abbott Laboratories Ltd)	Brufen 200mg tablets	Ibuprofen	200.000mg	Tablet	Oral		80000	i) Basic analgesics
162941000033117	263211000001109	Brufen 400mg tablets (Viatris UK Healthcare Ltd)	Brufen 400mg tablets	Ibuprofen	400.000mg	Tablet	Oral		500000	i) Basic analgesics
3924441000033115	677311000001101	Calpol Infant 120mg/5ml oral suspension sugar free (McNeil Products Ltd)	Calpol Infant 120mg/5ml oral suspension sugar free	Paracetamol	24.000mg/1.000ml	Oral suspension	Oral		60000	i) Basic analgesics
207841000033113	258011000001103	Calpol Paediatric 120mg/5ml oral suspension sugar free (McNeil Products Ltd)	Calpol Paediatric 120mg/5ml oral suspension sugar free	Paracetamol	24.000mg/1.000ml	Oral suspension	Oral		900000	i) Basic analgesics
207441000033110	316811000001106	Calpol Six Plus 250mg/5ml oral suspension (McNeil Products Ltd)	Calpol Six Plus 250mg/5ml oral suspension	Paracetamol	50.000mg/1.000ml	Oral suspension	Oral		7000	i) Basic analgesics
2215041000033111	618711000001109	Calpol Six Plus 250mg/5ml oral suspension sugar free (McNeil Products Ltd)	Calpol Six Plus 250mg/5ml oral suspension sugar free	Paracetamol	50.000mg/1.000ml	Oral suspension	Oral		6000	i) Basic analgesics
8944241000033117	245711000001105	Calpol Six Plus Fastmelts 250mg tablets (McNeil Products Ltd)	Calpol Six Plus Fastmelts 250mg tablets	Paracetamol	250.000mg	Orodispersible tablet	Oral		1000	i) Basic analgesics
