MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
905331000006118	100	HNG0007		[RFC] Asthma	905331000006102	905331000006118	12
908841000006111	1000	HNG0606		[RFC] Asthma	908841000006107	908841000006111	12
1484953014	200000	66YC	66YC.00	Absent from work or school due to asthma	390921001	1484953014	1
1916511000006114	2000	EMISNQAC840		Access to online patient asthma education given	1916511000006105	1916511000006114	32
9317341000006115	90	^ESCTAC931734		ACOS - asthma-chronic obstructive pulmonary disease overlap syndrome	10692761000119107	2496071000000117	32
11922851000006115	2000	^ESCT1192285		Acute asthma	304527002	446841017	32
350151019	2000	H3301-1	H330111	Acute exacerbation of allergic asthma	708093000	3083642013	32
419211018	2000000	H333	H333.00	Acute exacerbation of asthma	708038006	3032747019	32
8031201000006110	2	^ESCTAC803120		Acute exacerbation of asthma co-occurrent with allergic rhinitis	99031000119107	3040730014	32
7258581000006114	10	^ESCTAC725858		Acute exacerbation of chronic asthmatic bronchitis	442025000	2818419010	32
7970171000006119	10	^ESCTAC797017		Acute exacerbation of chronic obstructive airways disease with asthma	1751000119100	2967380018	32
350156012	200	H3311-1	H331111	Acute exacerbation of intrinsic asthma	708094006	3032866010	32
8042581000006114	10	^ESCTAC804258		Acute exacerbation of mild persistent asthma	135181000119109	3043530011	32
8042571000006111	3	^ESCTAC804257		Acute exacerbation of moderate persistent asthma	135171000119106	3043548019	32
2010031000006116	9000	EMISNQAC876		Acute infective exacerbation of asthma	2010031000006100	2010031000006116	32
2010041000006114	900	EMISNQAC877		Acute non-infective exacerbation of asthma	2010041000006105	2010041000006114	32
7961281000006114	8	^ESCTAC796128		Acute severe asthma	733858005	3474969012	32
7628301000006111	3	^ESCTAC762830		Acute severe exacerbation of allergic asthma	708095007	3083689010	32
145961000006117	30000	H33z0-1	H33z011	Acute severe exacerbation of asthma	708090002	3033029011	32
3514925011	1	^ESCT1165691		Acute severe exacerbation of asthma co-occurrent and due to allergic asthma	735587000	3514925011	31
7628321000006118	1	^ESCTAC762832		Acute severe exacerbation of immunoglobin E-mediated allergic asthma	708095007	3083685016	32
7628331000006115	1	^ESCTAC762833		Acute severe exacerbation of intrinsic asthma	708096008	3032982012	32
7626531000006113	1	^ESCTAC762653		Acute severe exacerbation of moderate persistent asthma	707980005	3032646016	32
7626521000006110	2	^ESCTAC762652		Acute severe exacerbation of severe persistent asthma	707979007	3032643012	32
7961271000006111	6	^ESCTAC796127		Acute severe refractory exacerbation of asthma	733858005	3474968016	32
1483199016	40000	H330-1	H330.11	Allergic asthma	389145006	1483199016	32
350152014	6000	H33zz-2	H33zz12	Allergic asthma NEC	389145006	1483199016	32
13775501000006113	40	^ESCT1377550		Allergic asthma without status asthmaticus	63088003	3754351017	32
660351000006118	300000	H330	H330.00	Allergic atopic asthma	389145006	1493645010	32
1226348019	5	SLF7	SLF7.00	Antiasthmatic poisoning	2935001	1226348019	32
301485011	20000000	H33	H33..00	Asthma	195967001	301485011	32
456163018	60000	663j	663j.00	Asthma - currently active	312453004	456163018	1
456164012	100000	663h	663h.00	Asthma - currently dormant	312454005	456164012	1
396119015	200000	H33z1	H33z100	Asthma attack	708038006	3032734012	32
409865018	10000	H33z1-1	H33z111	Asthma attack NOS	708038006	3032734012	32
1807911000006113	1	JHCAS3		Asthma causes daytime asthma symptoms daily	1807911000006109	1807911000006113	1
1807891000006111	1	JHCAS1		Asthma causes daytime asthma symptoms less than weekly	1807891000006107	1807891000006111	1
1208954011	2000000	663t	663t.00	Asthma causes daytime symptoms 1 to 2 times per month	370202007	1208954011	1
1208955012	2000000	663u	663u.00	Asthma causes daytime symptoms 1 to 2 times per week	370203002	1208955012	1
1807901000006110	1	JHCAS2		Asthma causes daytime symptoms more than weekly, less than daily	1807901000006106	1807901000006110	1
1208956013	2000000	663v	663v.00	Asthma causes daytime symptoms most days	370204008	1208956013	1
1208957016	200000	663r	663r.00	Asthma causes night symptoms 1 to 2 times per month	370205009	1208957016	1
1807941000006112	1	JHCAS6		Asthma causes night time asthma symptoms weekly or more often	1807941000006108	1807941000006112	1
1807931000006119	1	JHCAS5		Asthma causes night time symp more than 2 times a month,not wkly	1807931000006103	1807931000006119	1
1722421000000110	200000	66Yq	66Yq.00	Asthma causes night time symptoms 1 to 2 times per week	771901000000100	1722421000000110	1
1807921000006117	1	JHCAS4		Asthma causes night time symptoms less than 2 times per month	1807921000006101	1807921000006117	1
1722501000000119	100000	66Yr	66Yr.00	Asthma causes symptoms most nights	771941000000102	1722501000000119	1
264541019	300000	663N0	663N000	Asthma causing night waking	170632009	264541019	1
1780388018	70000	1O2	1O2..00	Asthma confirmed	401193004	1780388018	27
1212342016	1000000	663q	663q.00	Asthma daytime symptoms	373899003	1212342016	1
264540018	1000000	663N	663N.00	Asthma disturbing sleep	170631002	264540018	1
264543016	200000	663N2	663N200	Asthma disturbs sleep frequently	170634005	264543016	1
264542014	200000	663N1	663N100	Asthma disturbs sleep weekly	170633004	264542014	1
6514741000006118	700	^ESCTAS651474		Asthma finding	390798007	1484832016	1
1488422012	1000000	66YK	66YK.00	Asthma follow-up	394701000	1488422012	1
3514315010	6	^ESCT1170560		Asthma in pregnancy	72301000119103	3514315010	32
264546012	1000000	663P	663P.00	Asthma limiting activities	170637003	264546012	1
1722581000000112	100000	663P0	663P000	Asthma limits activities 1 to 2 times per month	771981000000105	1722581000000112	1
1722651000000119	100000	663P1	663P100	Asthma limits activities 1 to 2 times per week	772011000000107	1722651000000119	1
1722731000000116	100000	663P2	663P200	Asthma limits activities most days	772051000000106	1722731000000116	1
1208958014	30000	663x	663x.00	Asthma limits walking on the flat	370206005	1208958014	1
1208959018	100000	663w	663w.00	Asthma limits walking up hills or stairs	370207001	1208959018	1
405054019	30000	9OJA-1	9OJA.11	Asthma monitored	270442000	405054019	37
1208960011	4000000	663s	663s.00	Asthma never causes daytime symptoms	370208006	1208960011	1
1768981000000110	200000	66Ys	66Ys.00	Asthma never causes night symptoms	473391009	2956621015	1
13620311000006117	1000	^ESCT1362031		Asthma never causes night symptoms	782559003	3754550015	27
264545011	2000000	663O0	663O000	Asthma never disturbs sleep	170636007	264545011	1
264569010	1000000	663f	663f.00	Asthma never restricts exercise	170658009	264569010	1
1488722011	100000	66YP	66YP.00	Asthma night-time symptoms	395022009	1488722011	1
396120014	700000	H33zz	H33zz00	Asthma NOS	195967001	301485011	32
264544010	7000000	663O	663O.00	Asthma not disturbing sleep	170635006	264544010	1
264547015	7000000	663Q	663Q.00	Asthma not limiting activities	170638008	264547015	1
264566015	200000	663e	663e.00	Asthma restricts exercise	170655007	264566015	1
2117771000000117	2000000	661M1	661M100	Asthma self-management plan agreed	811921000000103	2117771000000117	1
264568019	70000	663e1	663e100	Asthma severely restricts exercise	170657004	264568019	1
264551018	100000	663V	663V.00	Asthma severity	170642006	264551018	1
264567012	1000000	663e0	663e000	Asthma sometimes restricts exercise	170656008	264567012	1
856031000006110	2000	EMISASC1		Asthma stable < 3 months	856031000006106	856031000006110	1
856041000006117	3000	EMISASC2		Asthma stable > 3 months	856041000006101	856041000006117	1
1780194017	400000	178	178..00	Asthma trigger	400987003	1780194017	27
1739131000000111	100000	178A	178A.00	Asthma trigger - airborne dust	340891000000106	1739131000000111	27
8109001000006118	20000	^ESCTAS810900		Asthma trigger - airborne dust	340891000000106	634981000000119	27
636231000000119	200000	1788	1788.00	Asthma trigger - cold air	201191000000108	305961000000113	27
8061011000006113	40000	^ESCTAS806101		Asthma trigger - cold air	201191000000108	636231000000119	27
