medcodeid	term	originalreadcode	cleansedreadcode	snomedctconceptid	bmi
253669010	O/E - height	229	229..00	248333004	BMI
252192019	Weight decreasing	1623	1623.00	161832001	BMI
3524935018	Expectation of weight management program	^ESCT1167027		736797002	BMI
12702731000006115	O/E - weight > 20% over ideal	^ESCT1270273		268916007	BMI
12726701000006119	Obesity and other hyperalimentation	^ESCT1272670		640791000000105	BMI
6867011000006110	Adiposis	^ESCTAD686701		414916001	BMI
6878871000006116	Alimentary obesity	^ESCTAL687887		415530009	BMI
5255831000006115	Android fat distribution	^ESCTAN525583		248311001	BMI
8286961000006110	Baseline BMI (body mass index) centile	^ESCTBA828696		846911000000109	BMI
8286991000006119	Baseline BMI (body mass index)	^ESCTBA828699		846931000000101	BMI
3484801000006114	BMI - Body mass index	^ESCTBM348480		60621009	BMI
4553721000006113	BMI 25-29 - overweight	^ESCTBM455372		162863004	BMI
4553741000006118	BMI 30+ - obesity	^ESCTBM455374		162864005	BMI
5998281000006119	BMI less than 20	^ESCTBM599828		310252000	BMI
6763401000006111	BMI (body mass index) 40+ - severely obese	^ESCTBM676340		408512008	BMI
6831331000006118	BMI (body mass index) 20-24 - normal	^ESCTBM683133		412768003	BMI
7332961000006118	BMI (body mass index) centile	^ESCTBM733296		446974000	BMI
2934301000006116	Body weight	^ESCTBO293430		27113001	BMI
3484781000006110	Body mass index	^ESCTBO348478		60621009	BMI
4553701000006115	Body mass index 25-29 - overweight	^ESCTBO455370		162863004	BMI
6763391000006114	Body mass index 40+ - morbidly obese	^ESCTBO676339		408512008	BMI
5255791000006110	Centripetal obesity	^ESCTCE525579		248311001	BMI
2603621000006111	Decreased BMI (body mass index)	^ESCTDE260362		6497000	BMI
5494331000006116	Dietary advice for weight reduction	^ESCTDI549433		266724001	BMI
7032291000006115	Dietary management education, guidance, and counselling	^ESCTDI703229		424753004	BMI
7032301000006119	Dietary management education, guidance, and counseling	^ESCTDI703230		424753004	BMI
7032311000006116	Dietary management teaching, guidance and counselling	^ESCTDI703231		424753004	BMI
7032321000006112	Dietary management teaching, guidance and counseling	^ESCTDI703232		424753004	BMI
6878851000006114	Exogenous obesity	^ESCTEX687885		415530009	BMI
5255811000006114	Fat body with thin limbs	^ESCTFA525581		248311001	BMI
5117901000006118	Generalized obesity	^ESCTGE511790		238134004	BMI
4636861000006111	Has seen dietitian - obesity	^ESCTHA463686		170797005	BMI
3284711000006119	Increased BMI (body mass index)	^ESCTIN328471		48499001	BMI
4544701000006119	Losing weight	^ESCTLO454470		161832001	BMI
5517001000006111	Localised adiposity	^ESCTLO551700		270486005	BMI
5517041000006113	Localized adiposity	^ESCTLO551704		270486005	BMI
5517051000006110	Localized obesity	^ESCTLO551705		270486005	BMI
3070611000006119	Normal BMI (body mass index)	^ESCTNO307061		35425004	BMI
5255801000006111	Obesity of face and trunk, sparing limbs	^ESCTOB525580		248311001	BMI
4551821000006117	O/E - weight greater than 20% below ideal	^ESCTOE455182		162764001	BMI
5507901000006110	O/E - weight greater than 20% over ideal	^ESCTOE550790		268916007	BMI
4550451000006118	On examination - obese	^ESCTON455045		162690006	BMI
4551831000006119	On examination - weight greater than 20% below ideal	^ESCTON455183		162764001	BMI
4551851000006114	On examination - weight 10-20% below ideal	^ESCTON455185		162765000	BMI
4551871000006116	On examination - weight within 10% ideal	^ESCTON455187		162766004	BMI
4551891000006115	On examination - Underweight	^ESCTON455189		162769006	BMI
5507891000006111	On examination - weight 10-20% over ideal	^ESCTON550789		268915006	BMI
5507911000006113	On examination - weight greater than 20% over ideal	^ESCTON550791		268916007	BMI
5579041000006111	On examination - overweight	^ESCTON557904		275947003	BMI
6646981000006119	On examination - weight-bearing	^ESCTON664698		400981002	BMI
5912431000006119	Overfed	^ESCTOV591243		302872003	BMI
5912441000006112	Overnutrition	^ESCTOV591244		302872003	BMI
5117851000006111	Patient overweight	^ESCTPA511785		238131007	BMI
5256251000006115	Patient underweight	^ESCTPA525625		248342006	BMI
7508801000006119	Patient advised about weight management	^ESCTPA750880		698471002	BMI
