MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
367931000006118	10000	Eu452-1	Eu45211	Body dysmorphic disorder	83482000	138466015	32
1127871000000119	2000	1G2	1G2..00	Dissatisfied with body image	443732006	1178381000000111	27
1128471000000116	2000	1G2-1	1G2..11	Poor body image	443732006	2840448012	27
3530891000006112	8	^ESCTDI353089		Distorted body image	63384009	499580017	31
4941011000006112	5	^ESCTCH494101		Change in body image counselling	225421002	338761012	31
4942291000006117	1	^ESCTDI494229		Difficulty coming to terms with altered body image	225505009	338882011	31
4942301000006116	1	^ESCTCO494230		Coming to terms with altered body image	225506005	338883018	31
4942311000006118	8	^ESCTAL494231		Altered body image	225507001	338884012	31
4944521000006113	20	^ESCTAN494452		Anxiety about altered body image	225644006	339069013	31
7282171000006111	80	^ESCTDI728217		Dissatisfaction with body image	443732006	2842160010	27
