MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
362851000006118	900	Eu603-1	Eu60311	[X]Aggressive personality disorder	191765005	295065010	32
371361000006114	100	Eu92y-1	Eu92y11	[X]Conduct disorder associated with emotional disorder	192099000	295570014	32
371371000006119	20	Eu92y-2	Eu92y12	[X]Conduct disorder associated with neurotic disorder	192099000	295570014	32
371391000006118	10	Eu912-1	Eu91211	[X]Conduct disorder, group type	386820009	1490175019	32
371401000006116	80	Eu911-1	Eu91111	[X]Conduct disorder, solitary aggressive type	231541007	347028012	32
376701000006116	900	Eu920	Eu92000	[X]Depressive conduct disorder	231542000	347030014	32
511661000000116	1000	Eu92-1	Eu92.11	[X]Emotional behavioural problems	5793009	498014018	32
380611000006117	200	Eu603-3	Eu60313	[X]Explosive personality disorder	191765005	295065010	32
388281000006113	1	Eu912-2	Eu91212	[X]Group delinquency	386820009	1490175019	32
398581000006110	400	Eu92z	Eu92z00	[X]Mixed disorder of conduct and emotions, unspecified	192099000	295570014	32
296710010	1000	Eu92	Eu92.00	[X]Mixed disorders of conduct and emotions	5793009	10654013	32
403601000006119	20	Eu912-3	Eu91213	[X]Offences in the context of gang membership	386820009	1490175019	32
401912010	100	Eu92y	Eu92y00	[X]Other mixed disorders of conduct and emotions	943171000000100	2412981000000116	32
427081000006117	400	Eu912	Eu91200	[X]Socialized conduct disorder	386820009	1490175019	32
363329019	20000	U3E-1	U3E..11	[X]Stabbing	242879005	363329019	32
427591000006113	80	Eu912-4	Eu91214	[X]Stealing in company of others	386820009	1490175019	32
429591000006115	2000	Eu912-5	Eu91215	[X]Truancy from school	386820009	1490175019	32
429881000006115	200	Eu911-2	Eu91112	[X]Unsocialised aggressive disorder	231541007	347028012	32
882691000006113	600	E2C20-99	E2C2099	Absenteeism/truancy	192091002	882691000006113	32
295505017	2000	E2930	E293000	Adjustment reaction with aggression	192056005	295505017	32
295507013	400	E2931	E293100	Adjustment reaction with antisocial behaviour	192057001	295507013	32
295508015	20	E2932	E293200	Adjustment reaction with destructiveness	192058006	295508015	32
461761000006110	700	E294	E294.00	Adjustment reaction with mixed disturbance of emotion and conduct	66381006	500397012	32
506324018	200	E293	E293.00	Adjustment reaction with predominant disturbance of conduct	84984002	506324018	32
498995015	100000	1P5	1P5..00	Aggressive behaviour	61372001	498995015	27
474121000006111	10000	E213-1	E213.11	Aggressive character	286798002	426255014	32
295544013	30000	E2C00	E2C0000	Aggressive outburst	192083006	295544013	32
295543019	10000	E2C0	E2C0.00	Aggressive unsocial conduct disorder	192082001	295543019	32
295548011	1000	E2C0z	E2C0z00	Aggressive unsocial conduct disorder NOS	192082001	295543019	32
295547018	70000	E2C01	E2C0100	Anger reaction	192085004	295547018	32
509723013	7000	1P53	1P53.00	Argumentative behaviour	9182005	509723013	27
882701000006113	10000	E2Cz-99	E2Cz.99	Behavioural disorder	620291000000103	882701000006113	32
414563012	300000	1B1X	1B1X.00	Behavioural problem	277843001	414563012	27
251220013	60000	13Z4C	13Z4C00	Behavioural problems at school	161128009	251220013	17
504551000006114	100000	E2C-1	E2C..11	Behavioural syndrome associated with physiological disturbance and physical factors	231520001	347000018	32
317453014	20000	R06z0	R06z000	Breath holding spell	713013008	3287204013	32
525611000006116	20000	E2Cy0	E2Cy000	Breath holding with temper	90091006	508840019	32
544161000000117	9	13Zc	13Zc.00	Bullies adults	429690008	1663781000000114	17
515161000000110	300	13Zb	13Zb.00	Bullies children	429683003	1663791000000111	17
455537010	20000	ZV4G7	ZV4G700	Bullying of child	429683003	2694171013	17
401813018	60000	E2C	E2C..00	Conduct disorder	430909002	2765597014	32
1490176018	1000	E2C2	E2C2.00	Conduct disorder - socialised	386820009	1490175019	32
429891000006117	500	Eu911	Eu91100	Conduct disorder - unsocialised	231541007	347028012	32
397772019	4000	13HN	13HN.00	Criminal record	266948004	397772019	17
882711000006111	100	E2Cz0-99	E2Cz099	Delinquency	620301000000104	882711000006111	32
295578019	10000	E2Czz	E2Czz00	Disturbance of conduct NOS	430909002	2765597014	32
379701000006110	300000	Eu603	Eu60300	Emotionally unstable personality disorder	191765005	295065010	32
347011014	10000	E213	E213.00	Explosive personality disorder	231527003	347011014	32
295562016	10	E2C23	E2C2300	Group delinquency	192092009	295562016	32
295565019	1000	E2C3	E2C3.00	Impulse control disorder	66347000	110190018	32
295569013	300	E2C3z	E2C3z00	Impulse control disorder NOS	66347000	110190018	32
295566018	400	E2C30	E2C3000	Impulse control disorder, unspecified	66347000	110190018	32
68371018	300	E2C34	E2C3400	Intermittent explosive disorder	40987004	68371018	32
295568017	4	E2C35	E2C3500	Isolated explosive disorder	192097003	295568017	32
295577012	5000	E2Cz0	E2Cz000	Juvenile delinquency unspecified	231541007	347028012	32
115225013	1000	E2C32	E2C3200	Kleptomania	69361009	115225013	32
701591000006118	900	E2C4	E2C4.00	Mixed disturbance of conduct and emotion	192099000	295570014	32
295573011	200	E2C4z	E2C4z00	Mixed disturbance of conduct and emotion NOS	192099000	295570014	32
295572018	20	E2C40	E2C4000	Neurotic delinquency	192100008	295572018	32
401814012	300	E2C1	E2C1.00	Nonaggressive unsocial conduct disorder	268661009	401814012	32
295559019	200	E2C1z	E2C1z00	Nonaggressive unsocial conduct disorder NOS	268661009	401814012	32
295574017	500	E2Cy	E2Cy.00	Other conduct disturbances	17961008	30331018	32
295575016	200	E2Cyz	E2Cyz00	Other conduct disturbances NOS	17961008	30331018	32
30550017	5000	E2C31	E2C3100	Pathological gambling	18085000	30550017	32
338845019	5000	1P51	1P51.00	Physically abusive behaviour	225480004	338845019	27
397771014	2000	13HN-1	13HN.11	Police record	266948004	397771014	17
142384013	300	E2C1-1	E2C1.11	Promiscuity	85892000	506802014	32
2071019	200	E2C33	E2C3300	Pyromania	600009	2071019	32
195991000006117	60	E213-2	E213.12	Quarrelsome personality	231527003	347011014	32
155521000006115	30000	E2C10-1	E2C1011	School refusal	248052004	370323015	32
223711000000111	400	E2C11-1	E2C1111	Shop lifting	248035003	370296019	17
370296019	2000	13HN1	13HN100	Shoplifting	248035003	370296019	17
295560012	1000	E2C20	E2C2000	Socialised childhood truancy	192091002	295560012	32
1490177010	200	E2C2z	E2C2z00	Socialised conduct disorder NOS	386820009	1490177010	32
401816014	800	E2C11	E2C1100	Solitary stealing	268663007	401816014	32
1900851000006111	100	38G01	38G0100	Strengths and Difficulties Questionnaire - conduct problems score	906831000000105	2331521000000116	32
1900871000006118	100	38G03	38G0300	Strengths and Difficulties Questionnaire - peer problems score	906871000000107	2331601000000112	32
139197018	20000	E2C12	E2C1200	Temper tantrum	83943005	505846014	32
370285010	2000	13HN0	13HN000	Theft	248027001	370285010	17
4119381000006114	9	^ESCTTR411938		Truancy	105479008	169558010	31
401815013	1000	E2C10	E2C1000	Unsocial childhood truancy	268662002	401815013	32
295576015	10000	E2Cz	E2Cz.00	Unspecified disturbance of conduct	430909002	2765597014	32
412083018	80	13HN-2	13HN.12	Vandalism record	276091008	412083018	17
338836015	20000	1P52	1P52.00	Verbally abusive behaviour	225478005	338836015	27
1780431016	10000	1P50	1P50.00	Violent acts towards others	401237008	1780431016	27
3497151000006114	50	^ESCTAG349715		Aggressive behavior	61372001	101971012	27
1961611000006118	300	EMISNQAG8		Aggressive behaviour towards care professional	1961611000006102	1961611000006118	27
4934691000006110	4	^ESCTFE493469		Feeling aggressive	224971003	338130011	31
5690041000006119	20	^ESCTFI569004		Finding relating to aggressive behaviour	284607007	1206408017	31
5647661000006116	300	^ESCTHE564766		Health of the Nation Outcome Scale item 1 - aggressive/disruptive behaviour	281115007	419045015	31
1994881000006112	300	EMISNQHO140		HoNOS (Health of the Nation Outcome Scales) for working age adults rating scale 1 - overactive, aggressive, disruptive or agitated behaviour	979521000000109	2491081000000113	32
8361551000006116	3000	^ESCTHO836155		HoNOS (Health of the Nation Outcome Scales) for working age adults rating scale 1 score - overactive, aggressive, disruptive or agitated behaviour	979641000000103	2491341000000119	31
1900911000006115	700	38P00	38P0000	HoNOSCA-CR (Health of the Nation Outcome Scales for Children and Adolescents - clinician-rated) scale 1 score - disruptive, antisocial or aggressive behaviour	989751000000102	2515421000000113	32
981111000006112	800	EMISCIR3		Irritable/agitated/aggressive	981111000006108	981111000006112	27
370821000006116	400	Eu91z-2	Eu91z12	[X]Childhood conduct disorder NOS	430909002	2765597014	32
296692011	100	Eu910	Eu91000	[X]Conduct disorder confined to the family context	231540008	347027019	32
371411000006118	1000	Eu91z	Eu91z00	[X]Conduct disorder, unspecified	430909002	2765597014	32
296691016	5000	Eu91	Eu91.00	[X]Conduct disorders	430909002	2765597014	32
296703016	100	Eu91y	Eu91y00	[X]Other conduct disorders	17961008	30331018	32
461801000006118	40	E293z	E293z00	Adjustment reaction with predominant disturbance conduct NOS	84984002	140904012	32
4767071000006111	60	^ESCTCH476707		Childhood disorder of conduct and emotion	192099000	295570014	32
5024471000006111	7	^ESCTCO502447		Conduct disorder - in family context	231540008	347027019	32
5024501000006116	2	^ESCTCO502450		Conduct disorder - unsocialized	231541007	347029016	32
2784921000006112	50	^ESCTCO278492		Conduct disorder, childhood-onset type	17961008	30331018	32
5024511000006118	20	^ESCTDE502451		Depressive conduct disorder	231542000	347030014	32
295623015	1000	E2E2	E2E2.00	Hyperkinetic conduct disorder	192132008	295623015	32
8342821000006114	3	^ESCTMI834282		Mixed disorder of conduct and emotions	943171000000100	2412981000000116	32
389251000006114	1000	Eu901	Eu90100	[X]Hyperkinetic conduct disorder	192132008	295623015	32
389261000006111	40	Eu901-1	Eu90111	[X]Hyperkinetic disorder associated with conduct disorder	192132008	295623015	32
8366391000006112	5	^ESCTSD836639		SDQ (Strengths and Difficulties Questionnaire) for parents or educators of 2-4 year olds - conduct problems - parent score	986311000000109	2508081000000113	31
8365871000006110	40	^ESCTSD836587		SDQ (Strengths and Difficulties Questionnaire) for parents or educators of 4-17 year olds - conduct problems - parent score	986061000000108	2507331000000112	31
8366061000006118	1	^ESCTSD836606		SDQ (Strengths and Difficulties Questionnaire) for parents or educators of 4-17 year olds - conduct problems - teacher score	986151000000106	2507601000000114	31
7768171000006119	40	^ESCTSD776817		SDQ (Strengths and Difficulties Questionnaire) self-rated for 11-17 year olds conduct problems score	718143006	3311288011	31
1879581000006110	2	EMISNQSD11		SDQ P3-4 - conduct problems scale score	1879581000006106	1879581000006110	32
1879821000006114	1	EMISNQSD35		SDQ P3-4 F/UP - conduct problems scale score	1879821000006105	1879821000006114	32
1879501000006118	5	EMISNQSD3		SDQ P4-16 - conduct problems scale score	1879501000006102	1879501000006118	32
1879741000006114	5	EMISNQSD27		SDQ P4-16 F/UP - conduct problems scale score	1879741000006105	1879741000006114	32
1879661000006116	50	EMISNQSD19		SDQ S11-17 - conduct problems scale score	1879661000006100	1879661000006116	32
1879911000006113	1	EMISNQSD43		SDQ S11-17 F/UP - conduct problems scale score	1879911000006109	1879911000006113	32
908501000006112	9000	HNG0508		[RFC] General child behavioural problem	908501000006108	908501000006112	12
909561000006118	8000	HNGNQRF1		[RFC] Child behaviour & development	909561000006102	909561000006118	12
908641000006110	500	HNG0522		[RFC] Multiple behavioural problems	908641000006106	908641000006110	12
1216369018	500000	ZV40-1	ZV40.11	[V]Behavioural problems	277843001	414563012	27
1216383016	100	ZV710-1	ZV71011	[V]Observation for adolescent antisocial behaviour	171398007	265584010	1
1216384010	50	ZV710-2	ZV71012	[V]Observation for dyssocial behaviour	171398007	265584010	1
366771000006115	10000	Eu9	Eu9..00	[X]Behavioural and emotional disorders with onset usually occurring in childhood and adolescence	231538003	347024014	32
370811000006112	2000	Eu91z-1	Eu91z11	[X]Childhood behavioural disorder NOS	430909002	2765597014	32
4941931000006119	4	^ESCTAB494193		Abusive behavior	225481000	338847010	31
4941921000006117	70	^ESCTAB494192		Abusive behaviour	225481000	338846018	31
12031331000006115	40	^ESCT1203133		Abusive behaviour towards people	765437001	3658520018	31
2912531000006117	1	^ESCTAB291253		Abnormal behavior	25786006	43207013	31
2912521000006115	5	^ESCTAB291252		Abnormal behaviour	25786006	483041010	31
2885971000006110	10	^ESCTAG288597		Agitated behavior	24199005	481848011	27
2885961000006115	10	^ESCTAG288596		Agitated behaviour	24199005	481847018	27
3487891000006114	20	^ESCTAN348789		Antisocial behaviour	60814007	498857012	31
5251781000006110	1	^ESCTAT525178		Attention seeking behavior	248021000	370272012	31
5251751000006119	10	^ESCTAT525175		Attention seeking behaviour	248021000	370271017	31
4538711000006112	2	^ESCTBE453871		Behavior problem at school	161128009	2923470016	17
5605461000006116	10	^ESCTBE560546		Behavioral problem	277843001	414562019	27
5024441000006115	1000	^ESCTBE502444		Behavioural and emotional disorder with onset in childhood	231538003	347024014	32
2414341000000117	3000	1B1J0	1B1J000	Behavioural, emotional and social difficulties	943781000000104	2414341000000117	27
5252131000006115	30	^ESCTCH525213		Challenging behavior	248041005	370307015	27
370306012	10000	ESCTCH15		Challenging behaviour	248041005	370306012	27
7013061000006119	1	^ESCTCO701306		Controlling behavior	423741006	2649309019	31
3982691000006110	800	^ESCTCR398269		Criminal behaviour	91249009	509374015	31
12031821000006114	2	^ESCT1203182		Cruel behaviour	765491003	3658977010	31
5690741000006116	8	^ESCTCO569074		Confrontational behaviour	284662003	423399013	31
5252081000006115	20	^ESCTDE525208		Defiant behaviour	248039009	370303016	31
5688651000006113	10	^ESCTDE568865		Demanding behaviour	284503003	423190015	31
3808001000006118	7	^ESCTDE380800		Destructive behaviour	80422002	504423010	31
5688701000006119	1	^ESCTDI568870		Difficult to control behaviour	284504009	423194012	31
5688671000006115	200	^ESCTDI568867		Difficult to manage behaviour	284504009	423191016	31
4948151000006118	10	^ESCTDI494815		Difficulty controlling behaviour	225903007	339420016	31
8443501000006115	1	^ESCTDI844350		Difficulty identifying risky behaviours	1070231000000106	2697191000000115	31
370202011	2000	1P02	1P02.00	Disinhibited behaviour	247973004	370202011	27
5252191000006116	100	^ESCTDI525219		Disruptive behaviour	248044002	370314018	27
3381491000006114	10	^ESCTDI338149		Disruptive behaviour disorder	54319003	496924017	32
2601821000006111	1	^ESCTDI260182		Disturbance in physical behaviour	6389006	499698014	31
2414391000000110	2000	1B1J1	1B1J100	Emotional behavioural difficulties	943801000000103	2414391000000110	27
5688851000006114	4	^ESCTEX568885		Explosive behaviour	284510009	423211012	31
1759321000006118	2000	EMISNQHO26		HoNOS-LD item 1 - behavioural problems directed at others	1759321000006102	1759321000006118	3
1759331000006115	2000	EMISNQHO27		HoNOS-LD item 2 - behavioural problems directed towards self	1759331000006104	1759331000006115	3
1759341000006113	2000	EMISNQHO28		HoNOS-LD item 3 - other mental/behavioural problems	1759341000006109	1759341000006113	3
3790361000006118	1	^ESCTHO379036		Hostile behavior	79351003	131640017	32
317095010	300	R00z9	R00z900	Hostile behaviour	79351003	131640017	32
12702751000006110	3	^ESCT1270275		Hostile behaviour	79351003	504086010	32
4941841000006119	1	^ESCTME494184		Mentally abusive behaviour	225479002	338840012	31
4941911000006113	4	^ESCTPH494191		Physically abusive behavior	225480004	338844015	27
1961631000006112	40	EMISNQPH59		Physically abusive behaviour towards care professional	1961631000006108	1961631000006112	27
5251541000006114	1	^ESCTPH525154		Physically assaultive behavior	248004009	370248019	32
5251531000006116	10	^ESCTPH525153		Physically assaultive behaviour	248004009	370247012	32
5690201000006110	20	^ESCTPH569020		Physically threatening behaviour	284615005	423346019	31
5605481000006114	1	^ESCTPR560548		Problem behavior	277843001	414564018	27
5605451000006118	80000	^ESCTPR560545		Problem behaviour	277843001	414561014	27
5252041000006114	1	^ESCTPR525204		Problematic behavior in children	248036002	370298018	31
5252031000006116	300	^ESCTPR525203		Problematic behaviour in children	248036002	370297011	31
4941751000006111	4	^ESCTRA494175		Racially abusive behaviour	225475008	338828012	31
392671000006114	3000	U21	U21..00	Self-destructive behavior	248062006	370336015	32
5252451000006118	10	^ESCTSE525245		Self-destructive behaviour	248062006	370338019	32
6462491000006117	30	^ESCTSO646249		Socialised behaviour disorder	386820009	1476165018	32
299301000000118	200	13Hh	13Hh.00	Subject to anti-social behaviour order	198521000000109	1739081000000111	17
5690191000006112	4	^ESCTTH569019		Threatening behavior	284614009	423343010	27
1821351000006113	1000	EMISNQTH29		Threatening behaviour	284614009	423344016	27
4941831000006112	10	^ESCTVE494183		Verbally abusive behavior	225478005	338835016	27
1961621000006114	600	EMISNQVE9		Verbally abusive behaviour towards care professional	1961621000006105	1961621000006114	27
5690231000006119	1	^ESCTVE569023		Verbally threatening behavior	284616006	423347011	31
5690221000006117	20	^ESCTVE569022		Verbally threatening behaviour	284616006	423348018	31
5251551000006111	10	^ESCTVI525155		Violent behavior	248004009	370249010	32
5251521000006119	100	^ESCTVI525152		Violent behaviour	248004009	370246015	32
908571000006118	4000	HNG0515		[RFC] Breath holding	908571000006102	908571000006118	12
7698591000006118	10	^ESCTBR769859		Breath holding attack	713013008	3286964014	32
908511000006110	3000	HNG0509		[RFC] Temper tantrums	908511000006106	908511000006110	12
3865651000006117	2	^ESCTTE386565		Temper tantrums	83943005	139198011	32
959381000006112	200	EMISCAB3		Abusive	959381000006108	959381000006112	27
981081000006118	40	EMISCPH6		Physically/emotionally abusive to partner	981081000006102	981081000006118	27
982641000006113	20	EMISCPH7		Physically/emotionally abusive to others	982641000006109	982641000006113	27
4082271000006115	1	^ESCTAB408227		Abusive emotional relationship	102899003	166322017	31
4941771000006118	2	^ESCTFI494177		Financially abusive behaviour	225476009	338832018	31
4941801000006116	3	^ESCTSE494180		Sexually abusive behaviour	225477000	338833011	31
6801331000006111	3	^ESCTST680133		Stabbing	410706007	2478080019	31
5690451000006110	3	^ESCTST569045		Stabbing other person	284637003	423371016	31
8065761000006112	200	^ESCTAL806576		Alleged perpetrator of abuse or violence	205181000000109	314701000000110	31
317621000000115	10000	14XC	14XC.00	Alleged perpetrator of domestic violence	206411000000103	317621000000115	32
5699281000006110	3	^ESCTTH569928		Thoughts of sexual violence	285268002	424224017	31
1807571000006112	400	EMISNQTH27		Thoughts of violence	285263006	424219015	27
8222331000006112	3	^ESCTVI822233		Violence	721181000000107	1584951000000113	31
852251000006113	1000	EMISQVI1		Violent act to family member	852251000006109	852251000006113	32
852261000006110	900	EMISQVI2		Violent act to health care worker	852261000006106	852261000006110	32
852271000006115	10	EMISQVI3		Violent act to other	852271000006104	852271000006115	32
5251951000006116	4	^ESCTST525195		Stealing	248027001	370286011	17
5252011000006110	1	^ESCTST525201		Stealing from classmates	248034004	370295015	31
5697661000006110	1	^ESCTST569766		Stealing from fellow residents	285151009	424061017	31
5251961000006119	3	^ESCTST525196		Stealing from home	248028006	370287019	31
5690791000006113	2	^ESCTST569079		Stealing from parents	284665001	423403016	31
