MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
905661000006119	900	HNG0040		[RFC] Eczema	905661000006103	905661000006119	12
939541000006111	400	HNGNQRF135		[RFC] Eczema	939541000006107	939541000006111	12
906691000006119	500	HNG0166		[RFC] Varicose eczema	906691000006103	906691000006119	12
939531000006118	500	HNGNQRF134		[RFC] Varicose eczema	939531000006102	939531000006118	12
309315018	70000	Myu2	Myu2.00	[X]Dermatitis and eczema	43116000	71923017	32
6568231000006114	20	^ESCTAC656823		Acute eczema	396348002	1776300012	31
1788053014	40000	F5024	F502400	Acute eczematoid otitis extern	54272002	1788053014	32
3380601000006111	300	^ESCTAC338060		Acute eczematoid otitis externa	54272002	90213019	32
6662301000006118	1	^ESCTAC666230		Acute hand eczema	402232000	1781399010	31
2675101000006116	3	^ESCTAC267510		Acute infantile eczema	11011007	19101017	31
6661441000006119	2	^ESCTAD666144		Adult atopic eczema	402197001	1787505018	31
6661461000006115	1	^ESCTAD666146		Adult atopic eczema persistent from childhood	402198006	1787506017	31
6661481000006113	1	^ESCTAD666148		Adult atopic eczema recurrent in adult life	402199003	1787507014	31
477121000006119	70000	M114	M114.00	Allergic (intrinsic) eczema	24079001	40423010	32
2884311000006118	2	^ESCTAL288431		Allergic eczema	24079001	40427011	32
585903012	10000	M11A	M11A.00	Asteatotic eczema	201077008	308910012	32
497341000006116	5000000	M111	M111.00	Atopic dermatitis/eczema	24079001	40423010	32
2884301000006116	3000	^ESCTAT288430		Atopic eczema	24079001	40426019	32
5122861000006115	1	^ESCTAT512286		Atopic eczema of hands	238541000	357507015	31
6661311000006111	1	^ESCTAT666131		Atopic eczema of scalp	402191000	1787498010	31
889161000006118	80000	M111-98	M111.98	Atopic eczema/dermatitis	24079001	889161000006118	32
889191000006114	20000	M11z-99	M11z.99	Atopic eczema/dermatitis NOS	584621000000108	889191000006114	32
6661421000006114	2	^ESCTCH666142		Childhood atopic eczema	402196005	1787504019	31
889251000006111	2000	M12z1-99	M12z199	Chronic Eczema	684861000000105	889251000006111	32
3212961000006113	10	^ESCTCH321296		Chronic eczema	44256003	73816013	31
7072611000006114	1	^ESCTCH707261		Chronic eczema of external auditory canal	427348001	2674115017	31
6662321000006111	2	^ESCTCH666232		Chronic hand eczema	402233005	1781400015	31
5122831000006112	60	^ESCTCO512283		Constitutional eczema	238540004	357505011	31
13792231000006117	1	^ESCT1379223		Constitutional eczema of hand	238553001	3761604012	31
5123091000006114	1	^ESCTCO512309		Constitutional eczema of hands	238553001	357529016	31
5123021000006112	9	^ESCTCO512302		Constitutional eczema of hands and feet	238549003	357522013	31
399912014	200000	M12	M12..00	Contact dermatitis and other eczemas	40275004	63652013	32
889201000006112	10000	M12-99	M12..99	Contact dermatitis/eczema	666631000000109	889201000006112	32
1494721011	30000	M12-2	M12..12	Contact eczema	40275004	63652013	32
3148031000006112	3	^ESCTCO314803		Contact eczema	40275004	1494721011	32
219361000000115	9000	F4D31-2	F4D3112	Contact eczema - eyelids	93423006	154630014	32
4354871000006117	1	^ESCTCR435487		Crusted eczema	123701000	192190019	31
4354881000006119	2	^ESCTCR435488		Crusted eczematous dermatitis	123701000	203381010	31
950591000006112	10	TRISDE9		Dermatitis/eczema	950591000006108	950591000006112	32
889171000006113	200000	M111-99	M111.99	Dermatitis/eczemas	24079001	889171000006113	32
889151000006115	100000	M111-97	M111.97	Dermatitis/eczemas NOS	24079001	889151000006115	32
5123791000006111	200	^ESCTDE512379		Desiccation eczema	238594009	357605017	32
622951000006114	100000	M119	M119.00	Discoid eczema	81418003	3302693013	32
622961000006111	100000	M12z1-1	M12z111	Discoid eczema	81418003	3302693013	32
6667341000006118	20	^ESCTDI666734		Discoid eczema of hand	402572008	1781690016	31
5123081000006111	4	^ESCTDI512308		Discoid eczema of hands and feet	238552006	357528012	31
5122901000006110	1	^ESCTDI512290		Discoid pattern atopic eczema	238543002	2475905011	31
5123661000006112	6	^ESCTDI512366		Disseminated secondary eczema	238591001	357591010	31
4510851000006113	800	^ESCTDR451085		Dry eczema	135841008	216601017	31
6667251000006110	50	^ESCTDY666725		Dyshidrotic eczema	402567004	2536681012	32
399917015	7000000	M12z1	M12z100	Eczema	43116000	71923017	32
4806791000006114	20	^ESCTEC480679		Eczema craquele	201077008	1784840017	32
4742271000006114	2000	^ESCTEC474227		Eczema herpeticum	186535001	286730011	32
286729018	10000	A540	A540.00	Eczema herpeticum - Kaposi's varicelliform eruption	186535001	286729018	32
4062561000006110	1	^ESCTEC406256		Eczema of ear lobe	95809000	158684016	31
4062591000006119	400	^ESCTEC406259		Eczema of external auditory canal	95812002	158687011	32
512310013	30000	F5024-1	F502411	Eczema of external ear	95812002	512310013	32
5886801000006117	300	^ESCTEC588680		Eczema of face	300924008	442123013	31
6662171000006110	1	^ESCTEC666217		Eczema of fingers	402223002	1787527010	31
5986641000006111	200	^ESCTEC598664		Eczema of leg	309258000	452626014	31
674301000006118	40000	26C4	26C4.00	Eczema of nipple	237463009	355885017	27
7997831000006117	2	^ESCTEC799783		Eczema of scalp	13201000132100	3334352012	31
5886821000006110	9	^ESCTEC588682		Eczema of wrist	300926005	442125018	31
3081251000006115	1	^ESCTEC308125		Eczema, thrombocytopenia, immunodeficiency syndrome	36070007	1228350017	32
1008901000006113	10	ASDFGEC1		Eczema/Dermatitis	1008901000006109	1008901000006113	32
1577061000006119	20	TRISDE8		Eczema/Dermatitis	1577061000006103	1577061000006119	32
5359991000006115	2	^ESCTEC535999		Eczematised	255421000	380626014	31
5123891000006117	10	^ESCTEC512389		Eczematised psoriasis	238603004	357616012	31
9308901000006116	1	^ESCTEC930890		Eczematous dermatitis of bilateral eyelids	10624281000119106	3326659019	31
3084411000006117	2	^ESCTEC308441		Eczematous dermatitis of eyelid	36259009	60515015	31
5128831000006114	5	^ESCTEC512883		Eczematous drug eruption	238990009	358160011	5
5123351000006118	1	^ESCTEC512335		Eczematous intertrigo	238566001	357556019	31
4062611000006113	900	^ESCTEC406261		Eczematous otitis externa	95812002	512311012	32
5122841000006119	9	^ESCTEN512284		Endogenous eczema	238540004	357506012	31
1779279014	10000	M12z4	M12z400	Erythrodermic eczema	400005007	1779279014	32
980491000006115	20000	Myu22	Myu2200	Exacerbation of eczema	135843006	216603019	32
4354891000006116	4	^ESCTEX435489		Excoriated eczema	123703002	192192010	31
4354901000006117	1	^ESCTEX435490		Excoriated eczematous dermatitis	123703002	203387014	31
3084431000006111	4	^ESCTEY308443		Eyelid eczema	36259009	486411010	31
3201111000006116	20	^ESCTFA320111		Facial eczema	43523005	72583011	31
14076941000006111	200	^ESCT1407694		Facial eczema	300924008	3781479016	31
94953018	300000	M113	M113.00	Flexural eczema	57092006	94953018	32
5122941000006112	2	^ESCTFO512294		Follicular atopic eczema	238545009	357514018	31
6662341000006116	80	^ESCTFO666234		Foot eczema	402234004	1781401016	31
5122031000006118	5	^ESCTFR512203		Friction eczema	238472003	357418018	31
5122041000006111	1	^ESCTFR512204		Friction palmar eczema	238473008	357419014	31
6661221000006110	2	^ESCTGE666122		Generalised atopic eczema	402186001	1783754010	31
6663461000006119	4	^ESCTGE666346		Generalised eczema	402303001	1773601010	31
486191017	5000	M1y2	M1y2.00	Gravitational eczema	35498005	486191017	32
6667181000006110	5	^ESCTHA666718		Hand and/or foot eczema	402566008	1781684015	31
357504010	200000	M12z3	M12z300	Hand eczema	238539001	357504010	32
4541271000006119	3	^ESCTHI454127		History of eczema	161561009	2986315016	32
5123051000006115	5	^ESCTHY512305		Hyperkeratotic eczema of hands and feet	238551004	357525010	31
5123131000006111	10	^ESCTHY512313		Hyperkeratotic eczema of palms	238556009	357533011	31
5123061000006118	7	^ESCTHY512306		Hyperkeratotic eczema of palms and soles	238551004	357526011	31
5123221000006115	7	^ESCTHY512322		Hyperkeratotic eczema of soles	238562004	357542016	31
13792241000006110	2	^ESCT1379224		Hyperkeratotic fissured eczema of palms	238555008	3737671018	31
5123121000006113	2	^ESCTHY512312		Hyperkeratotic fissured hand eczema	238555008	357532018	31
6661401000006116	2	^ESCTIN666140		Infantile atopic eczema	402195009	1787503013	31
150503015	1000000	M112	M112.00	Infantile eczema	90823000	150503015	32
1779345010	500000	M12z2	M12z200	Infected eczema	400079002	1779345010	32
492621013	50000	M102	M102.00	Infectious eczematoid dermatitis	414492009	3317202015	32
6634251000006113	10	^ESCTIN663425		Infective eczema	400079002	2536664015	32
6859231000006111	3000	^ESCTIN685923		Infective eczematoid dermatitis	414492009	2534172017	32
4354911000006119	800	^ESCTLI435491		Lichenified eczema	123704008	192193017	32
6662371000006112	1	^ESCTLI666237		Lip eczema	402235003	1787534012	31
5123541000006112	1	^ESCTLI512354		Lip licking eczema	238583005	357580015	31
3823951000006115	2000	^ESCTNU382395		Nummular eczema	81418003	135068011	32
4935751000006110	4	^ESCTOC493575		Occupational eczema	225055005	338236010	31
5123731000006112	2	^ESCTPA512373		Papular eczema	238593003	357597014	31
5123721000006114	1	^ESCTPA512372		Papular eczema with elimination of papillary oedema	238593003	357600010	31
6661801000006118	1	^ESCTPE666180		Perianal seborrheic eczema	402209004	1784146014	31
5123011000006116	1	^ESCTPH512301		Photoaggravated atopic eczema	238548006	357520017	31
6667221000006118	70	^ESCTPO666722		Pompholyx eczema	402567004	2536678019	32
