medcodeid	term	originalreadcode	cleansedreadcode	snomedctconceptid	ethnicity
1160331000000119	Czech	9T6	9T6..00	286009	Ethnicity
30683015	Black African	9S3	9S3..00	18167009	Ethnicity
2971841000006112	Bulgarian	^ESCTBU297184		29343004	Ethnicity
1158301000000115	Bulgarian	9T5	9T5..00	29343004	Ethnicity
196651000006112	RACE: Chinese	134D	134D.00	33897005	Ethnicity
56590016	Chinese	9S9	9S9..00	33897005	Ethnicity
550541000006110	Chinese	9T1C	9T1C.00	33897005	Ethnicity
1551471000000116	Slovak	9T7	9T7..00	36329002	Ethnicity
196671000006119	RACE: Korean	134F	134F.00	38361009	Ethnicity
3146431000006116	Gypsy	^ESCTGY314643		40182006	Ethnicity
850671000006119	Traveller - gypsy	9T2	9T2..00	40182006	Ethnicity
501416013	Fijian	9T19	9T19.00	69865008	Ethnicity
133078012	Portuguese	9T8	9T8..00	80208004	Ethnicity
504723011	Tongan	9T16	9T16.00	81560001	Ethnicity
507015012	Samoan	9T14	9T14.00	86275006	Ethnicity
196621000006115	RACE: Arab	134C	134C.00	90027003	Ethnicity
371005013	Race: Other	134P-1	134P.11	103579009	Ethnicity
250222012	European origin	1341	1341.00	160513005	Ethnicity
250223019	African origin	1342	1342.00	160514004	Ethnicity
250224013	Asian origin	1343	1343.00	160515003	Ethnicity
250225014	North American origin	1344	1344.00	160516002	Ethnicity
250226010	South American origin	1345	1345.00	160517006	Ethnicity
250227018	Australian origin	1346	1346.00	160518001	Ethnicity
250228011	Indian origin	1347	1347.00	160519009	Ethnicity
250229015	Middle Eastern origin	1348	1348.00	160520003	Ethnicity
250230013	Far Eastern origin	1349	1349.00	160521004	Ethnicity
250231012	West Indian origin	134A	134A.00	160522006	Ethnicity
250243013	Race: West indian	134K	134K.00	160531006	Ethnicity
4551101000006118	On examination - ethnic group	^ESCTON455110		162730000	Ethnicity
253627011	O/E - ethnic group	226	226..00	162730000	Ethnicity
253628018	O/E - ethnic origin	226-1	226..11	162730000	Ethnicity
253635014	O/E - ethnic group NOS	226Z	226Z.00	162730000	Ethnicity
4551121000006111	On examination - Europeanoid	^ESCTON455112		162731001	Ethnicity
253629014	O/E - Europeanoid	2261	2261.00	162731001	Ethnicity
285925010	White	9S1	9S1..00	185984009	Ethnicity
459728018	Other white ethnic group	9S12	9S12.00	185984009	Ethnicity
514611000006111	Black Caribbean	9S2	9S2..00	185988007	Ethnicity
285930014	Black Caribbean	9S42-1	9S42.11	185988007	Ethnicity
285931013	Black, other, non-mixed origin	9S4	9S4..00	185989004	Ethnicity
285950013	Black Black - other	9S48	9S48.00	185989004	Ethnicity
285932018	Black British	9S41	9S41.00	185990008	Ethnicity
285943014	Black - other African country	9S44	9S44.00	185993005	Ethnicity
285948017	Black Indian sub-continent	9S46	9S46.00	185995003	Ethnicity
285949013	Black - other Asian	9S47	9S47.00	185996002	Ethnicity
285951012	Black - other, mixed	9S5	9S5..00	185998001	Ethnicity
285952017	Other Black - Black/White orig	9S51	9S51.00	185999009	Ethnicity
285953010	Other Black - Black/Asian orig	9S52	9S52.00	186000006	Ethnicity
196721000006111	RACE: Pakistani	134M	134M.00	186002003	Ethnicity
285955015	Pakistani	9S7	9S7..00	186002003	Ethnicity
196631000006117	RACE: Bangladeshi	134I	134I.00	186003008	Ethnicity
285956019	Bangladeshi	9S8	9S8..00	186003008	Ethnicity
285958018	Other ethnic non-mixed (NMO)	9SA	9SA..00	186005001	Ethnicity
285988010	Other ethnic NEC (NMO)	9SAD	9SAD.00	186005001	Ethnicity
4740241000006117	British ethnic minority specified (NMO)	^ESCTBR474024		186006000	Ethnicity
285959014	Brit. ethnic minor. spec.(NMO)	9SA1	9SA1.00	186006000	Ethnicity
4740261000006118	British ethnic minority unspecified (NMO)	^ESCTBR474026		186007009	Ethnicity
285960016	Brit. ethnic minor. unsp (NMO)	9SA2	9SA2.00	186007009	Ethnicity
285971015	Other African countries (NMO)	9SA5	9SA5.00	186010002	Ethnicity
285976013	Indian sub-continent (NMO)	9SA7	9SA7.00	186012005	Ethnicity
285977016	Other Asian (NMO)	9SA8	9SA8.00	186013000	Ethnicity
285978014	Irish (NMO)	9SA9	9SA9.00	186014006	Ethnicity
285987017	Other European (NMO)	9SAC	9SAC.00	186017004	Ethnicity
285989019	Other ethnic, mixed origin	9SB	9SB..00	186019001	Ethnicity
4740341000006112	Other ethnic, Black/White origin	^ESCTOT474034		186020007	Ethnicity
285990011	Other ethnic, Black/White orig	9SB1	9SB1.00	186020007	Ethnicity
4740361000006111	Other ethnic, Asian/White origin	^ESCTOT474036		186021006	Ethnicity
285991010	Other ethnic, Asian/White orig	9SB2	9SB2.00	186021006	Ethnicity
4740381000006118	Other ethnic, mixed white origin	^ESCTOT474038		186022004	Ethnicity
285992015	Other ethnic, mixed white orig	9SB3	9SB3.00	186022004	Ethnicity
4740401000006118	Other ethnic, other mixed origin	^ESCTOT474040		186023009	Ethnicity
285993013	Other ethnic, other mixed orig	9SB4	9SB4.00	186023009	Ethnicity
4740421000006111	Ethnicity / related nationality data	^ESCTET474042		186034007	Ethnicity
286005016	Ethnicity and other related nationality data	9T	9T...00	186034007	Ethnicity
286006015	New Zealand ethnic groups	9T1	9T1..00	186035008	Ethnicity
286021014	Other New Zealand ethnic group	9T1Y	9T1Y.00	186035008	Ethnicity
286022019	New Zealand ethnic group NOS	9T1Z	9T1Z.00	186035008	Ethnicity
286007012	New Zealand European	9T11	9T11.00	186036009	Ethnicity
286008019	Pakeha	9T11-1	9T11.11	186036009	Ethnicity
286009010	Other European in New Zealand	9T12	9T12.00	186037000	Ethnicity
286012013	New Zealand Maori	9T13	9T13.00	186039002	Ethnicity
286013015	Cook Island Maori	9T15	9T15.00	186040000	Ethnicity
286014014	Niuean	9T17	9T17.00	186041001	Ethnicity
4740541000006115	Tokelau	^ESCTTO474054		186042008	Ethnicity
286015010	Tokelauan	9T18	9T18.00	186042008	Ethnicity
286018012	South East Asian	9T1B	9T1B.00	186044009	Ethnicity
4916941000006112	African country	^ESCTAF491694		223508008	Ethnicity
4916951000006114	North African country	^ESCTNO491695		223509000	Ethnicity
4917011000006114	North east African country	^ESCTNO491701		223515000	Ethnicity
4917051000006110	Central African country	^ESCTCE491705		223519006	Ethnicity
4917081000006119	Central African Republic	^ESCTCE491708		223522008	Ethnicity
4917181000006118	East African country	^ESCTEA491718		223532001	Ethnicity
4917251000006118	South east African country	^ESCTSO491725		223539005	Ethnicity
4917291000006112	South west African country	^ESCTSO491729		223543009	Ethnicity
4917321000006115	South African country	^ESCTSO491732		223546001	Ethnicity
4917381000006116	West African country	^ESCTWE491738		223552000	Ethnicity
4917591000006110	Asian country	^ESCTAS491759		223571003	Ethnicity
4917601000006119	North and central Asian country	^ESCTNO491760		223572005	Ethnicity
4917691000006114	Far east country	^ESCTFA491769		223580003	Ethnicity
4917701000006114	East Asian country	^ESCTEA491770		223580003	Ethnicity
4917771000006115	South east Asian country	^ESCTSO491777		223585008	Ethnicity
4917901000006112	Indian subcontinent country	^ESCTIN491790		223596000	Ethnicity
4917911000006110	South Asian country	^ESCTSO491791		223596000	Ethnicity
4917921000006119	Asia minor country	^ESCTAS491792		223596000	Ethnicity
4918031000006119	South west Asian country	^ESCTSO491803		223605000	Ethnicity
4918021000006117	Middle east country	^ESCTMI491802		223605000	Ethnicity
4918221000006114	Australasian country	^ESCTAU491822		223620006	Ethnicity
4918231000006112	Oceanian country	^ESCTOC491823		223620006	Ethnicity
4918241000006119	Australia	^ESCTAU491824		223621005	Ethnicity
4918371000006118	European country	^ESCTEU491837		223633000	Ethnicity
4918381000006115	Central European country	^ESCTCE491838		223634006	Ethnicity
4918471000006114	East European country	^ESCTEA491847		223643002	Ethnicity
4918631000006114	West European country	^ESCTWE491863		223658005	Ethnicity
4918931000006115	North American country	^ESCTNO491893		223685003	Ethnicity
4918981000006119	Central American country	^ESCTCE491898		223689009	Ethnicity
4919061000006115	Caribbean country	^ESCTCA491906		223697002	Ethnicity
4919221000006117	South American country	^ESCTSO491922		223712004	Ethnicity
5516681000006114	Black Caribbean/West India/Guyana	^ESCTBL551668		270460000	Ethnicity
405064011	Black Caribbean/W.I./Guyana	9S42	9S42.00	270460000	Ethnicity
405065012	Black N African/Arab/Iranian	9S43	9S43.00	270461001	Ethnicity
514651000006112	Black E Afric Asia/Indo-Caribb	9S45	9S45.00	270462008	Ethnicity
405067016	Caribbean I./W.I./Guyana (NMO)	9SA3	9SA3.00	270463003	Ethnicity
405068014	N African Arab/Iranian (NMO)	9SA4	9SA4.00	270464009	Ethnicity
405069018	E Afric Asian/Indo-Carib (NMO)	9SA6	9SA6.00	270465005	Ethnicity
405070017	Greek/Greek Cypriot (NMO)	9SAA	9SAA.00	270466006	Ethnicity
405071018	Turkish/Turkish Cypriot (NMO)	9SAB	9SAB.00	270467002	Ethnicity
411573013	Black North African	9S43-1	9S43.11	275586009	Ethnicity
411574019	Black Arab	9S43-2	9S43.12	275587000	Ethnicity
411575018	Black Iranian	9S43-3	9S43.13	275588005	Ethnicity
411576017	Black East African Asian	9S45-1	9S45.11	275589002	Ethnicity
411577014	Black Indo-Caribbean	9S45-2	9S45.12	275590006	Ethnicity
411578016	Caribbean Island (NMO)	9SA3-1	9SA3.11	275591005	Ethnicity
411579012	West Indian (NMO)	9SA3-2	9SA3.12	275592003	Ethnicity
411580010	Guyana (NMO)	9SA3-3	9SA3.13	275593008	Ethnicity
411581014	North African Arab (NMO)	9SA4-1	9SA4.11	275594002	Ethnicity
411582019	Iranian (NMO)	9SA4-2	9SA4.12	275595001	Ethnicity
411583012	East African Asian (NMO)	9SA6-1	9SA6.11	275596000	Ethnicity
411584018	Indo-Caribbean (NMO)	9SA6-2	9SA6.12	275597009	Ethnicity
411594011	Greek (NMO)	9SAA-1	9SAA.11	275599007	Ethnicity
411595012	Greek Cypriot (NMO)	9SAA-2	9SAA.12	275600005	Ethnicity
411596013	Turkish (NMO)	9SAB-1	9SAB.11	275601009	Ethnicity
411597016	Turkish Cypriot (NMO)	9SAB-2	9SAB.12	275602002	Ethnicity
5580031000006118	On examination - Asian origin	^ESCTON558003		276029002	Ethnicity
412016016	O/E - Asian origin	2263-1	2263.11	276029002	Ethnicity
412260010	Country of origin	134	134..00	276205001	Ethnicity
250253014	Country of origin NOS	134Z	134Z.00	276205001	Ethnicity
5618891000006117	Turkey - country	^ESCTTU561889		278900006	Ethnicity
5847841000006114	Central Asian buddhism	^ESCTCE584784		298042002	Ethnicity
992001000006115	Central Asian buddhist religion	EMISNQCE2		298042002	Ethnicity
453109012	Black West Indian	9S42-2	9S42.12	309643000	Ethnicity
453110019	Black Guyana	9S42-3	9S42.13	309644006	Ethnicity
456650013	Vietnamese	9SC	9SC..00	312859007	Ethnicity
456652017	Ethnic group not recorded	9SE	9SE..00	312861003	Ethnicity
459726019	White British	9S10	9S10.00	315236000	Ethnicity
459727011	White Irish	9S11	9S11.00	315237009	Ethnicity
459729014	Mixed ethnic census group	ESCTMI5		315239007	Ethnicity
459730016	Black - ethnic group	ESCTBL5		315240009	Ethnicity
459731017	Black	ESCTBL5-1		315240009	Ethnicity
459782019	Other black ethnic group	9SG	9SG..00	315279003	Ethnicity
286020010	Other Asian	9T1E	9T1E.00	315280000	Ethnicity
459784018	Other Asian ethnic group	9SH	9SH..00	315281001	Ethnicity
459786016	Irish traveller	9SI	9SI..00	315283003	Ethnicity
6057281000006115	Country of birth	^ESCTCO605728		315354004	Ethnicity
459868012	Born in - country	134-1	134..11	315354004	Ethnicity
6057311000006118	Country of birth - European	^ESCTCO605731		315355003	Ethnicity
459869016	Country of birth (European)	13d	13d..00	315355003	Ethnicity
6057331000006112	Country of birth - Asian	^ESCTCO605733		315356002	Ethnicity
459870015	Country of birth (Asian)	13e	13e..00	315356002	Ethnicity
6057351000006117	Country of birth - American continent	^ESCTCO605735		315357006	Ethnicity
459871016	Country of birth (American)	13f	13f..00	315357006	Ethnicity
6057371000006110	Country of birth - African	^ESCTCO605737		315358001	Ethnicity
459872011	Country of birth (African)	13g	13g..00	315358001	Ethnicity
6057391000006111	Country of birth - Australasian	^ESCTCO605739		315359009	Ethnicity
459873018	Country of birth (Australasian)	13h	13h..00	315359009	Ethnicity
6057411000006111	Country of birth - Atlantic	^ESCTCO605741		315360004	Ethnicity
459874012	Country of birth (Atlantic)	13j	13j..00	315360004	Ethnicity
6057431000006117	Country of birth - Pacific	^ESCTCO605743		315361000	Ethnicity
459875013	Country of birth (Pacific)	13k	13k..00	315361000	Ethnicity
459889015	Born in Australia	13h0	13h0.00	315374006	Ethnicity
459905013	Born in British Guyana	13f4	13f4.00	315390006	Ethnicity
459915019	Born in Central African Republic	13g9	13g9.00	315400000	Ethnicity
460153018	Black Caribbean and White	9SB5	9SB5.00	315634007	Ethnicity
460154012	Black African and White	9SB6	9SB6.00	315635008	Ethnicity
6364801000006112	Ethnic category	^ESCTET636480		372148003	Ethnicity
459785017	Other ethnic group	9SJ	9SJ..00	372148003	Ethnicity
286017019	Other Pacific ethnic group	9T1A	9T1A.00	372148003	Ethnicity
6591901000006115	Ethnicity	^ESCTET659190		397731000	Ethnicity
6591911000006117	Ethnic groups	^ESCTET659191		397731000	Ethnicity
649261000006110	Ethnic groups (census)	9S	9S...00	397731000	Ethnicity
286003011	Ethnic groups (census) NOS	9SZ	9SZ..00	397731000	Ethnicity
1780407014	White Scottish	9S13	9S13.00	401213008	Ethnicity
1780408016	Other white British ethnic group	9S14	9S14.00	401214002	Ethnicity
196601000006113	RACE: Afro-caribbean	134H	134H.00	413465009	Ethnicity
196611000006111	RACE: Afro-caucasian	134L	134L.00	413466005	Ethnicity
6846371000006111	Caucasian	^ESCTCA684637		413773004	Ethnicity
6846391000006112	Caucasoid race	^ESCTCA684639		413773004	Ethnicity
196641000006110	RACE: Caucasian	134B	134B.00	413773004	Ethnicity
2537217015	Race: White	134N	134N.00	413773004	Ethnicity
285954016	Indian	9S6	9S6..00	414481008	Ethnicity
781081000006113	Indian	9T1D	9T1D.00	414481008	Ethnicity
196661000006114	RACE: Japanese	134E	134E.00	414551003	Ethnicity
196681000006116	RACE: Mixed	134J	134J.00	414752008	Ethnicity
196701000006118	RACE: Oriental	134G	134G.00	414978006	Ethnicity
196691000006118	RACE: Not stated	134P	134P.00	415226007	Ethnicity
196731000006114	RACE: Unknown	134O	134O.00	415794004	Ethnicity
1166121000000117	Country of birth unknown	13Zq	13Zq.00	445067002	Ethnicity
1158211000000111	Romanian	9T4	9T4..00	445343003	Ethnicity
7779801000006116	Roma	^ESCTRO777980		718958002	Ethnicity
2645811000000115	Roma ethnic group	9TC		718958002	Ethnicity
2615461000000111	Czech Roma	9TC1		718959005	Ethnicity
2615611000000112	Romanian Roma	9TC3		718960000	Ethnicity
2615361000000115	Slovak Roma	9TC4		718961001	Ethnicity
2615691000000115	Bulgarian Roma	9TC0		718962008	Ethnicity
2615531000000117	Hungarian Roma	9TC5		718963003	Ethnicity
2615571000000115	Polish Roma	9TC2		718964009	Ethnicity
12009371000006110	Patient declined to provide information about ethnic group	^ESCT1200937		763726001	Ethnicity
456651012	Ethnic group not given - patient refused	9SD	9SD..00	763726001	Ethnicity
136081000000111	Sri Lankan - ethnic category 2001 census	9iA4	9iA4.00	86461000000107	Ethnicity
138171000000114	Irish Traveller - ethnic category 2001 census	9i2C	9i2C.00	88911000000101	Ethnicity
138181000000111	Traveller - ethnic category 2001 census	9i2D	9i2D.00	88921000000107	Ethnicity
138191000000113	Gypsy/Romany - ethnic category 2001 census	9i2E	9i2E.00	88931000000109	Ethnicity
138201000000110	Polish - ethnic category 2001 census	9i2F	9i2F.00	88941000000100	Ethnicity
937301000006110	Baltic Estonian/Latvian/Lithuanian - ethn categ 2001 census	9i2G	9i2G.00	88951000000102	Ethnicity
