MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
296519014	6000	Eu64z	Eu64z00	[X]Gender identity disorder, unspecified	87991007	145857010	32
388031000006119	2000	Eu64z-1	Eu64z11	[X]Gender-role disorder NOS	87991007	145857010	32
296518018	700	Eu64y	Eu64y00	[X]Other gender identity disorders	87991007	145857010	32
8367511000006111	9	^ESCTCU836751		Current View Provisional Problem Description item 26 score - gender discomfort issues	987501000000101	2510601000000112	31
12119521000006112	10	^ESCT1211952		Did not attend gender identity clinic	1101631000000104	2757581000000114	37
7570841000006112	5000	^ESCTFE757084		Female gender	703118005	2386891000000117	27
370460015	100000	1K1	1K1..00	Feminine gender	703118005	3007138013	27
391746016	9000	1K	1K...00	Gender	263495000	391746016	27
14090111000006119	6	^ESCT1409011		Gender affirming surgery	719670005	3852347019	32
2897321000006117	4	^ESCTGE289732		Gender assignment surgery	24878005	3317380011	32
13934771000006117	1	^ESCT1393477		Gender confirmation bottom surgery	836273008	3890737016	32
13934741000006113	4	^ESCT1393474		Gender confirmation top surgery	836272003	3890732010	32
6899221000006115	2	^ESCTGE689922		Gender determination by chromosome analysis	416911009	2549450010	32
154707011	10	ESCTGE1		Gender dysphoria	93461009	1897641000006118	32
1927781000006117	30000	ZV62A	ZV62A00	Gender dysphoria	93461009	154707011	32
9482931000006116	60	^ESCTGE948293		Gender dysphoria in adolescence and adulthood	12277711000119108	3447788012	32
9482901000006112	50	^ESCTGE948290		Gender dysphoria in childhood	12277671000119109	3447793010	32
6280691000006118	2	^ESCTGE628069		Gender finding	365873007	489361015	31
296515015	70000	Eu64	Eu64.00	Gender identity disorder	87991007	145857010	32
3437821000006115	30	^ESCTGE343782		Gender identity disorder of adolescence	57715001	95980015	32
2785541000006112	6	^ESCTGE278554		Gender identity disorder of adulthood	18003009	30398010	32
388001000006110	2000	Eu642	Eu64200	Gender identity disorder of childhood	5095008	9530018	32
4021031000006114	8	^ESCTGE402103		Gender identity dysphoria	93461009	3447813019	32
424018015	2000	ESCTGE2		Gender identity finding	285116001	424018015	27
5697251000006110	1	^ESCTGE569725		Gender identity observations	285116001	1225940010	27
12204951000006110	100	^ESCT1220495		Gender incongruence	93461009	3658979013	32
420552015	20000	1K4	1K4..00	Gender reassignment patient	282272009	420552015	27
1591631000006115	20	EMISNQGE23		Gender reassignment patient	1591631000006104	1591631000006115	17
7789711000006117	400	^ESCTGE778971		Gender reassignment surgery	719670005	3317389012	32
295119010	5000	E22y4	E22y400	Gender role disorder of adolescent or adult	191798000	295119010	32
7088131000006117	1	^ESCTHI708813		History of gender assignment surgery	428405009	3317406015	32
7570821000006117	3000	^ESCTMA757082		Male gender	703117000	2386881000000119	27
370461016	100000	1K0	1K0..00	Masculine gender	703117000	3007148010	27
13509261000006115	200	^ESCT1350926		Non-binary gender	772004004	3707979015	27
2007661000006116	600	EMISNQNO174		Non-binary gender	1066981000000107	2679981000000118	27
12622861000006115	10	^ESCT1262286		Provision of information about NHS population screening programmes available to transgender and non-binary people	1108101000000105	2772721000000115	17
12119501000006119	3000	^ESCT1211950		Referral to gender identity clinic	1101611000000107	2757541000000118	40
12119511000006116	1000	^ESCT1211951		Seen in gender identity clinic	1101621000000101	2757561000000117	37
2003021000006114	5000	EMISNQSE148		Seen in gender identity clinic	2003021000006105	2003021000006114	37
12029301000006114	1	^ESCT1202930		Sexual relationship problem due to gender identity confusion	765289008	3657790011	17
6746241000006112	4	^ESCTSU674624		Surgically transgendered transsexual	407375002	2158980017	17
2158984014	300	ESCTSU7		Surgically transgendered transsexual, female-to-male	407379008	2158984014	27
2158983015	300	ESCTSU8		Surgically transgendered transsexual, male-to-female	407378000	2158983015	27
9482161000006111	800	^ESCTTR948216		Transgender	12271241000119109	3332460010	17
14146371000006111	3	^ESCT1414637		Transgender health service	896974005	4029904011	31
9482171000006116	10	^ESCTTR948217		Transgender identity	12271241000119109	3332459017	17
