MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
317576014	2000	R090D	R090D00	[D]Abdominal migraine	75879005	126030010	32
317264010	900000	R040	R040.00	[D]Headache	25064002	41990019	27
299338017	3000	Fyu53	Fyu5300	[X]Other migraine	37796009	63055014	32
423971000006114	700	Eu454-3	Eu45413	[X]Psychogenic headache	30077003	50323019	32
299346016	300	Fyu5A	Fyu5A00	[X]Vascular headache, not elsewhere classified	128187005	206410010	32
126030010	30000	F2622	F262200	Abdominal migraine	75879005	126030010	32
252573011	9000	1967	1967.00	Abdominal migraine - symptom	162040008	252573011	27
5008311000006111	3	^ESCTAC500831		Acephalgic migraine	230465000	345353019	31
253118011	20000	1BB1	1BB1.00	Aching headache	162307009	253118011	27
3515757012	20	^ESCT1166156		Acute headache	735938006	3515757012	31
166496014	1000	ESCTAN1		Analgesic overuse headache	103012002	166496014	32
5008431000006112	20	^ESCTAT500843		Atypical cluster headache	230476001	345366019	31
93296010	20000	F2610	F261000	Atypical migraine	56097005	93296010	32
138248010	8000	F2623	F262300	Basilar migraine	83351003	138248010	32
1786081000006116	300	Fyu5F	Fyu5F00	Benign cough headache	95658004	1235932011	32
1786091000006118	700	Fyu5G	Fyu5G00	Benign exertion headache	103011009	257755018	32
4084241000006117	30	^ESCTBE408424		Benign exertional headache	103011009	166494012	32
253109014	5000	1BA4	1BA4.00	Bilateral headache	162301005	253109014	27
407069017	1000000	1B1G-1	1B1G.11	C/O - a headache	272027003	407069017	27
1715221000006117	10000	Fyu5D	Fyu5D00	Cervicogenic headache	279016001	416112019	32
5008401000006116	60	^ESCTCH500840		Chronic cluster headache	230473009	345363010	31
5008421000006114	2	^ESCTCH500842		Chronic cluster headache evolved from episodic cluster headache	230475002	345365015	31
5008411000006118	2	^ESCTCH500841		Chronic cluster headache unremitting from onset	230474003	345364016	31
1708841000006115	30	EMISNQCH43		Chronic headache disorder	1708841000006104	1708841000006115	32
1716421000006114	20000	Fyu5E	Fyu5E00	Chronic headache disorder	431237007	2768393011	32
8038791000006117	1	^ESCTCH803879		Chronic intractable migraine without aura	124171000119105	2967600014	31
12345321000006119	200	^ESCT1234532		Chronic migraine	427419006	3638229012	31
4060411000006112	2	^ESCTCH406041		Chronic mixed headache syndrome	95657009	158465012	31
7525821000006114	1	^ESCTCH752582		Chronic post-concussion headache	699694000	2985894018	31
345367011	4000	F29y5	F29y500	Chronic post-traumatic headache	230477005	345367011	32
3636895011	10	^ESCT1169330		Chronic primary headache	762592003	3636895011	31
345361012	10000	F262B	F262B00	Chronic tension-type headache	230471006	345361012	32
2570161000006115	300	^ESCTCL257016		Classical migraine	4473006	7596016	32
4769831000006110	2000	^ESCTCL476983		Cluster headache	193031009	297338014	32
297338014	200000	F2620	F262000	Cluster headache syndrome	193031009	297339018	32
1573091000006118	4000	EMISNQCO32		Coital headache	1573091000006102	1573091000006118	27
93295014	50000	F261	F261.00	Common migraine	56097005	93295014	32
297336013	6000	F261z	F261z00	Common migraine NOS	56097005	93295014	32
5532801000006112	3000	^ESCTCO553280		Complaining of a headache	272027003	2669522017	27
4769931000006117	9	^ESCTCO476993		Complex migraine	193039006	2966546010	32
297354012	10000	F26y3	F26y300	Complicated migraine	193039006	297354012	32
4060421000006116	1	^ESCTCO406042		Cough headache syndrome	95658004	158466013	32
7965981000006118	80	^ESCTDA796598		Daily headache	571000119103	2966923018	31
299347013	500	Fyu5B	Fyu5B00	Drug induced headache	294091000119104	3043028017	5
631181000006113	2000	F2W	F2W..00	Drug-induced headache, not elsewhere classified	294091000119104	3043028017	5
5008391000006118	100	^ESCTEP500839		Episodic cluster headache	230472004	345362017	31
5008371000006119	60	^ESCTEP500837		Episodic tension-type headache	230470007	345360013	31
4084251000006115	1	^ESCTEX408425		Exertion-induced headache	103011009	166495013	32
4060391000006112	8	^ESCTFA406039		Familial hemiplegic migraine	95656000	158462010	31
253123011	4000	1BBZ	1BBZ.00	Finding of headache character	364760007	2773893016	27
1756651000000117	600	F262A	F262A00	Frequent episodic tension-type headache	722982003	3334080016	32
7696021000006111	2	^ESCTFR769602		Frequent headache	712831003	3285656010	31
397993014	300000	1BA5	1BA5.00	Frontal headache	267096005	397993014	27
253105015	20000	1BA2	1BA2.00	Generalised headache	162299003	253105015	27
4547661000006115	1	^ESCTGE454766		Generalized headache	162299003	253106019	27
251645017	300000	1474	1474.00	H/O: migraine	161481007	251645017	32
1763401000006114	7	EMISNQH/12		H/O: migraine with aura	1763401000006105	1763401000006114	32
1763411000006112	10000	EMISNQH/13		H/O: migraine without aura	1763411000006108	1763411000006112	32
2900351000006119	2	^ESCTHA290035		HA - Headache	25064002	1224414017	27
41990019	6000000	1B1G	1B1G.00	Headache	25064002	41990019	27
817851000006119	200	F2900-1	F290011	Headache after myelogram	230480006	345372019	32
5008561000006119	3	^ESCTHE500856		Headache associated with substance abuse or withdrawal	230483008	345376016	31
8090591000006119	20	^ESCTHE809059		Headache caused by drug	294091000119104	3043030015	5
262959010	8000	61461	6146100	Headache caused by oral contraceptive pill	169464001	262959010	17
7567521000006111	4	^ESCTHE756752		Headache clinic	702864009	3006299019	31
299339013	5000	Fyu54	Fyu5400	Headache disorder	230461009	345347019	32
931891000006117	300	R040-99	R040.99	Headache disorder	497101000000107	931891000006117	32
4084211000006116	2	^ESCTHE408421		Headache due to cold exposure	103009000	166492011	31
8090611000006113	1	^ESCTHE809061		Headache due to drug	294091000119104	3043041018	5
4428391000006114	30	^ESCTHE442839		Headache due to intracranial disease	129610005	208423010	31
817841000006116	2000	F2900	F290000	Headache following lumbar puncture	398987004	1778455016	32
5008501000006115	2	^ESCTHE500850		Headache following myelography	230480006	345372019	32
253103010	10000	1BA	1BA..00	Headache site	162297001	253103010	27
253116010	4000	1BAZ	1BAZ.00	Headache site NOS	162297001	253103010	27
894711000006115	3000	R040z-99	R040z99	Headache symptom NOS [D]	429051000000106	894711000006115	32
98501012	50000	F26y0	F26y000	Hemiplegic migraine	59292006	98501012	32
4540161000006114	1	^ESCTHI454016		History of migraine	161481007	2986612014	32
1747081000000119	30000	14740	1474000	History of migraine with aura	608837004	2958210010	32
8038351000006110	4	^ESCTHY803835		Hypnic headache	122711000119109	2959185013	31
5008531000006111	5	^ESCTIC500853		Ice-pick headache	230481005	345374018	31
5008521000006113	20	^ESCTID500852		Idiopathic stabbing headache	230481005	345373012	31
8080041000006115	700	^ESCTIN808004		Increased frequency of headaches	248661000000105	407361000000110	31
1754211000000113	200	F2629	F262900	Infrequent episodic tension-type headache	722981005	3334078010	32
7695961000006110	8	^ESCTIN769596		Intermittent headache	712826000	3285659015	31
5008461000006115	30	^ESCTLO500846		Low pressure headache	230478000	345369014	31
311711000000114	10000	F2W0	F2W0.00	Medication overuse headache	698803006	2981198012	32
305093012	2000	K5A22	K5A2200	Menopausal headache	198438009	305093012	32
221281000000113	30000	K584-1	K584.11	Menstrual migraine	23186000	38943013	32
63055014	4000000	F26	F26..00	Migraine	37796009	63055014	32
5008291000006112	50	^ESCTMI500829		Migraine aura without headache	230465000	345351017	31
1746951000000114	300	F2628	F262800	Migraine induced by oestrogen contraceptive	781381000000100	1746951000000114	5
297356014	200000	F26z	F26z.00	Migraine NOS	37796009	63055014	32
2159945013	20000	8B6N	8B6N.00	Migraine prophylaxis	408381007	2159945013	32
297351016	6000	F262z	F262z00	Migraine variant NOS	193030005	297337016	32
7306291000006114	6	^ESCTMI730629		Migraine variant with headache	445322004	2872940010	31
297337016	9000	F262	F262.00	Migraine variants	193030005	297337016	32
7595017	60000	F260-1	F260.11	Migraine with aura	4473006	7595017	32
5008351000006112	2	^ESCTMI500835		Migraine with ischaemic complication	230468003	345358011	31
7520391000006114	30	^ESCTMI752039		Migraine with persistent visual aura	699314009	2983774015	31
7596016	300000	F260	F260.00	Migraine with typical aura	230462002	345348012	32
93294013	20000	F261-1	F261.11	Migraine without aura	56097005	93294013	32
235151000006117	10000	F2625	F262500	Migrainous neuralgia	193031009	297340016	32
5034251000006117	100	^ESCTMI503425		Migrainous vertigo	232284007	348021015	31
700211000006115	10	F26y1-1	F26y111	Moebius' ophthalmoplegic migraine	49605003	82623012	32
253121013	2000	1BB4	1BB4.00	Morning headache	162310002	253121013	27
1777688018	20000	E2781-1	E278111	Muscular headache	398126006	1777688018	32
4769891000006114	30	^ESCTNE476989		Neuralgic migraine	193031009	297344013	32
8038031000006118	2	^ESCTNE803803		New daily persistent headache	121021000119105	2967690016	31
307479014	300	L384	L384.00	Obstetric spinal and epidural anaesthesia-induced headache	200071001	307479014	5
4801101000006113	1	^ESCTOB480110		Obstetric spinal and epidural anesthesia-induced headache	200071001	307478018	5
1634018	90000	1BA6	1BA6.00	Occipital headache	330007	1634018	27
3913201000006114	1	^ESCTOC391320		Ocular headache	86925001	144166017	31
4060381000006114	80	^ESCTOC406038		Ocular migraine	95655001	158461015	32
4084171000006118	20	^ESCTON408417		One sided headache	103006007	257690018	27
14128201000006110	1	^ESCT1412820		One sided headache	162300006	253107011	27
158460019	30000	F2624	F262400	Ophthalmic migraine	95655001	158460019	32
82623012	2000	F26y1	F26y100	Ophthalmoplegic migraine	49605003	82623012	32
7309291000006119	2	^ESCTOR730929		Orthostatic headache	445511002	2871651010	31
297352011	6000	F26y	F26y.00	Other forms of migraine	37796009	63055014	32
297355013	3000	F26yz	F26yz00	Other forms of migraine NOS	37796009	63055014	32
