MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
8463921000006112	1	^ESCTAB846392		Abscess of intestine due to Crohn's disease	1085901000119101	3490784012	31
4808981000006112	3	^ESCTAR480898		Arthropathy in Crohn disease	201728006	2839855014	32
3047391000006119	4	^ESCTCD304739		CD - Crohn's disease	34000006	485711017	32
3346671000006113	400	^ESCTCH334667		Chronic ulcerative proctitis	52231000	86924018	32
3351321000006113	2	^ESCTCH335132		Chronic ulcerative proctosigmoiditis	52506002	87380012	32
6916421000006119	2	^ESCTCO691642		Coloproctitis	418130002	2579736010	32
2559781000006115	60	^ESCTCR255978		Crohn's disease of rectum	3815005	7437014	32
2559801000006116	10	^ESCTCR255980		Crohn's proctitis	3815005	488237016	32
2621151000006116	1	^ESCTCR262115		Crohn disease of large bowel	7620006	2837911010	32
2621161000006119	1	^ESCTCR262116		Crohns disease, large intestine	7620006	2920514018	32
3047411000006119	100	^ESCTCR304741		Crohn disease	34000006	2841833019	32
3047421000006110	200	^ESCTCR304742		Crohns disease	34000006	2920557011	32
3113541000006111	100	^ESCTCR311354		Crohn's ileitis	38106008	1229386012	32
3113551000006113	2	^ESCTCR311355		Crohn disease of ileum	38106008	2837986010	32
3316751000006117	500	^ESCTCR331675		Crohn's disease of colon	50440006	84032014	32
3316811000006110	4	^ESCTCR331681		Crohns disease, colon	50440006	2921054017	32
3414681000006119	3	^ESCTCR341468		Crohn's disease of duodenum	56287005	93608013	32
3420891000006119	8	^ESCTCR342089		Crohns disease, small intestine	56689002	2920652011	32
3668441000006118	1	^ESCTCR366844		Crohn's disease of small AND large intestines	71833008	119336012	31
4784091000006115	80	^ESCTCR478409		Crohn's disease of oral soft tissues	196578009	3491734012	32
4785581000006112	20	^ESCTCR478558		Crohn disease of terminal ileum	196977009	2838767013	32
6664411000006115	1	^ESCTCR666441		Crohn disease of vulva	402375009	2841972019	31
6839121000006119	1	^ESCTCR683912		Crohn's stricture of colon	413276006	2474811015	31
6839131000006116	1	^ESCTCR683913		Crohn stricture of colon	413276006	2841473019	31
7060771000006117	1	^ESCTCR706077		Crohn disease in remission	426549001	2839816013	31
7988841000006110	3	^ESCTCR798884		Crohn's disease with arthritis	8161000119106	3330451014	32
6853111000006114	3	^ESCTEX685311		Exacerbation of Crohn disease of large intestine	414153008	2838315012	32
6853131000006115	4	^ESCTEX685313		Exacerbation of Crohn disease of small intestine	414154002	2842247013	32
6582841000006118	1	^ESCTGA658284		Gastrointestinal Crohn's disease	397172008	1776860019	31
3316771000006110	1	^ESCTGR331677		Granulomatous colitis	50440006	84034010	32
5574431000006111	2	^ESCTHI557443		History of ulcerative colitis	275549008	2986797011	32
8035641000006112	1	^ESCTHI803564		History of Crohns disease	112561000119108	3040276012	31
3346711000006112	10	^ESCTID334671		Idiopathic proctitis	52231000	496250010	32
4809351000006111	2	^ESCTJU480935		Juvenile arthritis in Crohn disease	201805000	2838741015	32
6916411000006110	100	^ESCTPR691641		Proctocolitis	418130002	2576688010	32
2958341000006111	1	^ESCTTO295834		Toxic dilatation of colon	28536002	47766018	32
3553391000006113	4	^ESCTUC355339		UC - Ulcerative colitis	64766004	2579428017	32
3346691000006114	10	^ESCTUL334669		Ulcerative colitis confined to rectum	52231000	496248019	32
3351341000006118	80	^ESCTUL335134		Ulcerative colitis confined to rectum and sigmoid colon	52506002	496333011	32
3351351000006116	500	^ESCTUL335135		Ulcerative proctosigmoiditis	52506002	496334017	32
397834017	80000	14C4	14C4.00	H/O: colitis	266999006	397834017	32
411543016	20000	14C4-1	14C4.11	H/O: ulcerative colitis	275549008	411543016	32
