MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
141799013	100000	N235	N235.00	Hypermobility syndrome	85551004	141799013	32
628221000006110	8000	N235-1	N235.11	Generalised benign joint hypermobility	240261009	359916019	32
312265018	4000	N3400	N340000	Hypermobile flat foot	203531001	312265018	32
5468711000006116	1000	^ESCTHY546871		Hypermobility	263778007	392070012	31
311278016	200	N1471	N147100	Hypermobility of the coccyx	202809009	311278016	32
5468701000006119	100	^ESCTHY546870		Hypermobile	263777002	392069011	31
5849651000006118	70	^ESCTKN584965		Knee joint hypermobility	298197005	438853014	31
5849611000006119	60	^ESCTFI584961		Finger joint hypermobility	298193009	438849012	31
5849491000006114	50	^ESCTHY584949		Hypermobility of joint	298181000	438836019	31
5849571000006112	50	^ESCTEL584957		Elbow joint hypermobility	298189003	438844019	31
5849581000006110	30	^ESCTWR584958		Wrist joint hypermobility	298190007	438845018	31
5849621000006110	30	^ESCTTH584962		Thumb joint hypermobility	298194003	438850012	31
5849661000006116	20	^ESCTAN584966		Ankle joint hypermobility	298198000	438854015	31
5849671000006111	20	^ESCTFO584967		Foot joint hypermobility	298199008	438855019	31
4815901000006111	10	^ESCTHY481590		Hypermobility of coccyx	202809009	2470047010	32
5145201000006112	10	^ESCTLO514520		Localised benign joint hypermobility	240262002	359918018	31
5849551000006119	10	^ESCTLU584955		Lumbar spine hypermobility	298187001	438842015	31
5849591000006113	10	^ESCTHA584959		Hand joint hypermobility	298191006	438846017	31
5849641000006115	10	^ESCTHI584964		Hip joint hypermobility	298196001	438852016	31
2993861000006117	9	^ESCTBE299386		Benign hypermobility syndrome	30652003	51300011	32
5849561000006117	7	^ESCTSH584956		Shoulder joint hypermobility	298188006	438843013	31
5849681000006114	6	^ESCTHY584968		Hypermobility of subtalar joint	298200006	438856018	31
5849531000006114	5	^ESCTHY584953		Hypermobility of spine	298185009	438840011	31
5849691000006112	5	^ESCTME584969		Metatarsophalangeal joint hypermobility	298201005	438857010	31
5849601000006117	2	^ESCTME584960		Metacarpophalangeal joint hypermobility	298192004	438848016	31
2993871000006112	1	^ESCTEH299387		Ehlers-Danlos syndrome, benign hypermobile form	30652003	51301010	32
5849541000006116	1	^ESCTCE584954		Cervical spine hypermobility	298186005	438841010	31
483004014	60	PGy25	PGy2500	Ehlers-Danlos syndrome type VI	25606004	483004014	32
495810010	30	PGy27	PGy2700	Ehlers-Danlos syndrome type VIII	50869007	495810010	32
500658014	20	PGy24	PGy2400	Ehlers-Danlos syndrome type V	67202007	500658014	32
1221457011	700	PGy23	PGy2300	Ehlers-Danlos syndrome type IV	17025000	1221457011	32
1222561017	500	PGy21	PGy2100	Ehlers-Danlos syndrome type II	20766005	1222561017	32
1227289012	9000	PGy22	PGy2200	Ehlers-Danlos syndrome type III	30652003	1227289012	32
1234831013	300	PGy20	PGy2000	Ehlers-Danlos syndrome type I	83470009	1234831013	32
1777678019	30000	PGy2	PGy2.00	Ehlers-Danlos syndrome	398114001	1777678019	32
637281000006112	50	PGy26	PGy2600	Ehlers-Danlos syndrome type 7	55711009	1231518010	32
2770301000006119	3	^ESCTEH277030		Ehlers-Danlos syndrome, type 4	17025000	28818014	32
2830211000006113	10	^ESCTEH283021		Ehlers-Danlos syndrome, type 2	20766005	34934014	32
2909611000006116	1	^ESCTEH290961		Ehlers-Danlos syndrome, hydroxylysine-deficient	25606004	42925018	32
2993851000006119	100	^ESCTEH299385		Ehlers-Danlos syndrome, type 3	30652003	51299015	32
3660311000006112	2	^ESCTEH366031		Ehlers-Danlos syndrome, familial joint laxity type	71322004	118471019	31
3858241000006117	2	^ESCTEH385824		Ehlers-Danlos syndrome, type 1	83470009	138440018	32
2807061000006111	7	^ESCTMA280706		Marfan syndrome	19346006	2839233010	32
32612014	20000	PKy2	PKy2.00	Marfan's syndrome	19346006	32612014	32
129958015	10000	PG51	PG51.00	Osteogenesis imperfecta	78314001	129958015	32
315122016	40	PG514	PG51400	Osteogenesis imperfecta type II	205496008	315122016	32
315124015	200	PG516	PG51600	Osteogenesis imperfecta type IV	205497004	315124015	32
315127010	400	PG51z	PG51z00	Osteogenesis imperfecta NOS	78314001	129958015	32
1479688017	1000	PG513	PG51300	Osteogenesis imperfecta type I	385482004	1479688017	32
1479689013	400	PG515	PG51500	Osteogenesis imperfecta type III	385483009	1479689013	32
40551000006110	60	PG512	PG51200	Osteogenesis imperfecta - unclassifiable	78314001	129958015	32
4830551000006119	5	^ESCTOS483055		Osteogenesis imperfecta, perinatal lethal	205496008	315121011	32
4830581000006110	5	^ESCTOS483058		Osteogenesis imperfecta with normal sclerae, dominant form	205497004	315126018	32
130548012	4000	PKy7B	PKy7B00	Stickler syndrome	78675000	130548012	32
3779611000006110	1	^ESCTWA377961		Wagner-Stickler syndrome	78675000	503889010	32
