medcodeid	term	originalreadcode	cleansedreadcode	snomedctconceptid	Depression	Anxiety	Stress	Decision	Notes
11914901000006100	[X]Depressive personality disorder	^ESCT1191490		78667006	Yes			Exclude	personality disorders
882421000006113	Depressive personality	E2112-99	E211299	78667006	Yes			Exclude	personality disorders
613781000006118	Depressive personality disorder	E2112	E211200	78667006	Yes			Exclude	personality disorders
972861000006118	** Traumatic stress - effects of overwhelming experience	TRIQQZZ42		972861000006102			Yes	Include	
302741000006114	[D]State of emotional shock and stress, unspecified	R00zW	R00zW00	442347009			Yes	Include	
909681000006110	[RFC] Depression	HNGNQRF13		909681000006106	Yes			Include	
909701000006113	[RFC] Post traumatic stress disorder	HNGNQRF15		909701000006109			Yes	Include	
461004010	[V]Uncomplicated bereavement	ZV628	ZV62800	74506000			Yes	Include	
359121000006116	[X] Reactive depression NOS	Eu32z-4	Eu32z14	87414006	Yes			Include	
362301000006112	[X]Acute crisis reaction	Eu430-1	Eu43011	67195008			Yes	Include	
1755921000006110	[X]Acute post-traumatic stress disorder follow military comb	Eu433	Eu43300	446175003			Yes	Include	
362401000006115	[X]Acute reaction to stress	Eu430-2	Eu43012	67195008			Yes	Include	
362441000006118	[X]Acute stress reaction	Eu430	Eu43000	67195008			Yes	Include	
296249012	[X]Anxiety disorder, unspecified	Eu41z	Eu41z00	197480006		Yes		Include	
363641000006114	[X]Anxiety hysteria	Eu41y-1	Eu41y11	197480006		Yes		Include	
363651000006111	[X]Anxiety neurosis	Eu411-1	Eu41111	207363009		Yes		Include	
363661000006113	[X]Anxiety NOS	Eu41z-1	Eu41z11	197480006		Yes		Include	
363671000006118	[X]Anxiety reaction	Eu411-2	Eu41112	197480006		Yes		Include	
363681000006115	[X]Anxiety state	Eu411-3	Eu41113	198288003		Yes		Include	
1755931000006110	[X]Chron post-traumatic stress disorder follow military comb	Eu434	Eu43400	699241002			Yes	Include	
371231000006113	[X]Combat fatigue	Eu430-3	Eu43013	67195008			Yes	Include	
375971000006116	[X]Crisis state	Eu430-4	Eu43014	67195008			Yes	Include	
1755941000006110	[X]Delayed post-traumat stress disorder follow military comb	Eu435	Eu43500	446180007			Yes	Include	
376691000006116	[X]Depression NOS	Eu32z-1	Eu32z11	35489007	Yes			Include	
376701000006116	[X]Depressive conduct disorder	Eu920	Eu92000	231542000	Yes			Include	
376711000006118	[X]Depressive disorder NOS	Eu32z-2	Eu32z12	35489007	Yes			Include	
376721000006114	[X]Depressive episode	Eu32	Eu32.00	35489007	Yes			Include	
401872015	[X]Depressive episode, unspecified	Eu32z	Eu32z00	35489007	Yes			Include	
376741000006119	[X]Depressive neurosis	Eu341-1	Eu34111	78667006	Yes			Include	
379431000006113	[X]Dysthymia	Eu341	Eu34100	78667006	Yes			Include	
388071000006116	[X]Generalized anxiety disorder	Eu411	Eu41100	21897009		Yes		Include	
388271000006110	[X]Grief reaction	Eu432-2	Eu43212	74506000			Yes	Include	
1715771000006110	[X]Major depression, mild	Eu325	Eu32500	87512008	Yes			Include	
1715181000006110	[X]Major depression, moderately severe	Eu326	Eu32600	832007	Yes			Include	
396081000006116	[X]Major depression, recurrent without psychotic symptoms	Eu332-2	Eu33212	268621008	Yes			Include	
1715781000006110	[X]Major depression, severe without psychotic symptoms	Eu327	Eu32700	75084000	Yes			Include	
396771000006117	[X]Manic-depress psychosis,depressd,no psychotic symptoms	Eu332-3	Eu33213	36474008	Yes			Include	
398351000006110	[X]Mild anxiety depression	Eu412-1	Eu41211	231504006	Yes	Yes		Include	
213641000000111	[X]Mild depression	Eu324	Eu32400	310495003	Yes			Include	
11918531000006100	[X]Mild depressive episode	^ESCT1191853		430421000000104	Yes			Include	
296137015	[X]Mild depressive episode	Eu320	Eu32000	310495003	Yes			Include	
398561000006117	[X]Mixed anxiety and depressive disorder	Eu412	Eu41200	231504006	Yes	Yes		Include	
11918561000006100	[X]Moderate depressive episode	^ESCT1191856		465441000000108	Yes			Include	
296138013	[X]Moderate depressive episode	Eu321	Eu32100	310496002	Yes			Include	
398841000006119	[X]Monopolar depression NOS	Eu33z-1	Eu33z11	35489007	Yes			Include	
398851000006117	[X]Mood - affective disorders	Eu3	Eu3..00	46206005	Yes			Include	
399841000006110	[X]Neurasthenia	Eu460	Eu46000	78667006			Yes	Include	
399961000006118	[X]Neurotic depression	Eu341-3	Eu34113	78667006	Yes			Include	
296238018	[X]Other anxiety disorders	Eu41	Eu41.00	197480006		Yes		Include	
401871010	[X]Other depressive episodes	Eu32y	Eu32y00	35489007	Yes			Include	
296245018	[X]Other mixed anxiety disorders	Eu413	Eu41300	231504006		Yes		Include	
296209016	[X]Other mood affective disorders	Eu3y	Eu3y.00	46206005		Yes		Include	
296207019	[X]Other persistent mood affective disorders	Eu34y	Eu34y00	386782008	Yes			Include	
296236019	[X]Other phobic anxiety disorders	Eu40y	Eu40y00	386810004		Yes		Include	
296271019	[X]Other reactions to severe stress	Eu43y	Eu43y00	271952001			Yes	Include	
296199015	[X]Other recurrent depressive disorders	Eu33y	Eu33y00	191616006	Yes			Include	
401878016	[X]Other recurrent mood affective disorders	Eu3y1	Eu3y100	386782008	Yes			Include	
401877014	[X]Other single mood affective disorders	Eu3y0	Eu3y000	46206005		Yes		Include	
401881014	[X]Other specified anxiety disorders	Eu41y	Eu41y00	197480006		Yes		Include	
296218019	[X]Other specified mood affective disorders	Eu3yy	Eu3yy00	46206005		Yes		Include	
418031000006113	[X]Panic attack	Eu410-1	Eu41011	371631005		Yes		Include	
296239014	[X]Panic disorder [episodic paroxysmal anxiety]	Eu410	Eu41000	371631005		Yes		Include	
