MedCodeId	FINAL_Term	OriginalReadCode	CleansedReadCode	Site
1228298012	Arthralgia of multiple joints	N0949	N094900	Multiple
1222482014	Generalised aches and pains	R00z2-1	R00z211	Multiple
709441000006113	Fibromyalgia	N239	N239.00	Multiple
800731000006117	Generalised osteoarthritis	N050	N050.00	Multiple
800751000006112	Polyarticular osteoarthritis	N0502	N050200	Multiple
41386013	Fibromyalgia	N248	N248.00	Multiple
317086019	[D]Pain, generalized	R00z2	R00z200	Multiple
693501000006115	Musculoskeletal pain - joints	N096-2	N096.12	Multiple
402920010	Sprains and strains NOS	S5z	S5z..00	Multiple
486238018	Multiple joint pain	N0949-99	N094999	Multiple
221661000006114	Inflammatory polyarthritis	N065z-1	N065z11	Multiple
318040019	[X]Other chronic pain	Ryu70	Ryu7000	Multiple
141799013	Hypermobility syndrome	N235	N235.00	Multiple
906591000006118	[RFC] Soft tissue injuries	HNG0162		Multiple
221671000006119	Polyarthropathy	N065-1	N065.11	Multiple
2552628011	Aching muscles	1DCC	1DCC.00	Multiple
889861000006112	Osteoarthritis -multiple joint	N0502-99	N050299	Multiple
311036019	Arthropathies NOS	N0z	N0z..00	Multiple
2548331017	Inflammatory polyarthropathy	N04-1	N04..11	Multiple
309862016	Degenerative joint disease involving multiple joints	N0500	N050000	Multiple
310159018	Generalised arthritis	N065A	N065A00	Multiple
309850015	Inflammatory polyarthropathy NOS	N04z	N04z.00	Multiple
84036012	Palindromic rheumatism	N093	N093.00	Multiple
800781000006116	Generalised aches and pains	1DC8	1DC8.00	Multiple
206425010	Complex regional pain syndrome	F369	F369.00	Multiple
426510015	Rheumatoid arthritis - multiple joint	N040S	N040S00	Multiple
158050019	Polymyalgia	N20-1	N20..11	Multiple
310880014	Multiple stiff joints	N0959	N095900	Multiple
405142017	Unspecified polyarthropathy or polyarthritis	N065	N065.00	Multiple
215551000000114	Sero negative polyarthritis	N04y1-1	N04y111	Multiple
495737017	Complex regional pain syndrome type I	N33C	N33C.00	Multiple
309880013	Generalised osteoarthritis NOS	N050z	N050z00	Multiple
41385012	Myofascial pain syndrome	N239-1	N239.11	Multiple
310157016	Unspecified polyarthropathy of multiple sites	N0659	N065900	Multiple
400192018	Unspecified polyarthropathy or polyarthritis NOS	N065z	N065z00	Multiple
892711000006110	Musculoskeletal problems NOS	N3z-98	N3z..98	Multiple
317144010	Growing pains in limbs	R01z1	R01z100	Multiple
621001000006118	Diffuse diseases of connective tissue	N00	N00..00	Multiple
310993015	Multiple clicking joints	N099A	N099A00	Multiple
1705881000006115	Myofascial pain syndrome	N2480	N248000	Multiple
400941013	Congenital musculoskeletal anomalies NOS	PGz	PGz..00	Multiple
359399017	Primary generalised osteoarthrosis	N0504	N050400	Multiple
309972017	Osteoarthritis of multiple joints	N054	N054.00	Multiple
2477180015	Complex regional pain syndrome type II	F347	F347.00	Multiple
324025011	Other multiple injuries	SK1x	SK1x.00	Multiple
