medcodeid	freq	final_term	originalreadcode	snomedctconceptid	site
51875014	228630	Knee pain	1M10	30989003	Knee
416139010	115770	Low back pain	N142-1	279039007	Back
764321000006112	81707	Foot pain	N245-3	47933007	Foot/Ankle
493899010	77023	Ankle sprain	S550	44465007	Foot/Ankle
483791000006115	57837	Ankle pain	N245-1	247373008	Foot/Ankle
81982015	55430	Hip pain	N094K-2	49218002	Hip/Pelvis
323987011	52874	Knee injury	SK170	125601008	Knee
215271000000119	52679	Neck pain	N131	81680005	Neck
40971000006113	49658	Juvenile osteochondrosis of tibial tubercle	N3244	72047008	Knee
323989014	47784	Ankle injury	SK172	125603006	Foot/Ankle
317435015	44983	Musculoskeletal chest pain	R065A	281245003	Chest
501991000006110	44603	Back pain	N145-2	161891005	Back
140741000006112	44381	Shoulder pain	N245-7	45326000	Shoulder
323990017	41745	Foot injury	SK173	125604000	Foot/Ankle
18423015	39216	Leg pain	N245-6	10601006	Leg
693461000006115	34160	Musculoskeletal and connective tissue diseases	N	312225001	Other
5621013	34016	Heel pain	N245-5	2733002	Foot/Ankle
323965019	32175	Wrist injury	SK132	125598003	Wrist
1231070017	31392	Finger injury	SK154	52011008	Hand
252311015	28931	Backache	16C2	161891005	Back
453254017	28675	Injury of hand	SK140	125599006	Hand
252315012	25570	Back pain without radiation NOS	16C6	161891005	Back
774741000006112	25505	Injury of toe	SK17-1	282776008	Foot/Ankle
424342012	24707	Toe pain	N2451-1	285365001	Foot/Ankle
317145011	24403	Musculoskeletal pain	R01z2	279069000	Other
486291000006115	24304	Anterior knee pain	N094W	239733006	Knee
252314011	23691	C/O - low back pain	16C5	161894002	Back
310825019	21977	Wrist joint pain	N0943-1	202482009	Wrist
496587018	21861	Flat foot	N34	53226007	Foot/Ankle
484754019	20215	Knee joint pain	N0946-1	30989003	Knee
324041012	20156	Injury	SKz	417163006	Other
494960013	20148	Foot pain	1M11	47933007	Foot/Ankle
323961011	20055	Injury of elbow	SK130	125596004	Elbow
106571018	19654	Costochondritis	N33zE	64109004	Chest
20135010	19253	Achilles tendinitis	N2174	11654001	Foot/Ankle
323975016	19215	Thumb injury	SK152	262520005	Hand
323972018	19150	Other finger injuries	SK15	52011008	Hand
453253011	18985	Injury of wrist	SK133	125598003	Wrist
311385019	17874	Plantar fasciitis	N2179	202882003	Foot/Ankle
141799013	17386	Hypermobility syndrome	N235	85551004	Multiple
906591000006118	16597	[RFC] Soft tissue injuries	HNG0162	906591000006102	Multiple
437698016	15683	Rib pain	182B	297217002	Chest
108811000006114	14337	Temporomandibular joint disorder	J046	41888000	Head
320169013	14336	Wrist sprain NOS	S520z	70704007	Wrist
323956014	14275	Shoulder injury	SK122	125594001	Shoulder
1222484010	14046	Musculoskeletal symptom	R01-1	84869007	Other
221731000000119	13983	Pain in leg	N2452	10601006	Leg
815651000006110	13750	Hand pain	N245-4	53057004	Hand
311482017	13595	Ganglion of wrist	N2245	202942009	Wrist
31828016	13498	Finger pain	N2450-2	18876004	Hand
739261000006118	13453	Arm injury	SK131-1	127278005	Arm
317574012	13408	Groin pain	R090B	102570003	Hip/Pelvis
1222482014	13287	Generalised aches and pains	R00z2-1	82991003	Multiple
764331000006110	12561	Foot pain	N2451	47933007	Foot/Ankle
248581000006113	11890	Joint pain	N094	57676002	Other
80869018	11809	Muscle strain	N23yD	48532005	Other
60196010	11481	Chondromalacia patellae	N074	36071006	Knee
165844010	11415	Arm pain	N245-2	102556003	Arm
312729010	11225	Musculoskeletal and connective tissue disorder	Nz	312225001	Other
497076011	11206	Knee sprain	S54-1	54888009	Knee
323973011	11140	Injury of finger	SK150	52011008	Hand
443831012	10363	Jaw pain	R040z-1	274667000	Head
150521017	10192	Pain in limb	N245	90834002	Other
317103014	9875	[D]Nervous and musculoskeletal symptoms	R01	496031000000102	Other
1230712018	9676	Foot sprain	S551	49388007	Foot/Ankle
221721000000116	9600	Pain in thumb	N2450-1	300955002	Hand
1228298012	9560	Arthralgia of multiple joints	N0949	35678005	Multiple
75568012	9451	Shoulder pain	N2457	45326000	Shoulder
405083016	8963	Wry neck/torticollis	16A3	270476009	Neck
165907014	8820	Chest wall pain	182C	102588006	Chest
114543015	8658	Muscle pain	N2410-2	68962001	Other
369388017	8448	Ankle pain	1M13	247373008	Foot/Ankle
320110018	8365	Sprains and strains of joints and adjacent muscles	S5	209409002	Other
60171000006117	8357	Whiplash injury	S5700-2	39848009	Neck
502061000006113	8192	Backache symptom	16C	161891005	Back
402920010	8180	Sprains and strains NOS	S5z	209409002	Multiple
94135011	8179	Pain in wrist	1M01	56608008	Wrist
3216431000006113	8151	Sprain of ankle	^ESCTSP321643	44465007	Foot/Ankle
145941000006116	8093	Osteochondritis of the calcaneum	N3252	23890000	Foot/Ankle
320295018	7999	Neck sprain	S570	209557005	Neck
323988018	7991	Injury of lower extremity	SK171	127279002	Leg
400286017	7471	Backache, unspecified	N145	161891005	Back
312420013	7402	Idiopathic scoliosis	N3730	203639008	Back
