medcodeid	observations	originalreadcode	cleansedreadcode	term	snomedctconceptid	rewas_readcode	Acne
17565013	600	M261L		Excoriated acne	10065003		1
1218808012	4000	M261E	M261E00	Acne excoriee des jeunes filles	10065003	M26	1
424351000006117	80	Myu5	Myu5.00	[X]Radiation-related disorders of the skin and subcutaneous tissue	105965008	Myu	1
4125621000006114	1	^ESCTSK412562		Skin disorder due to physical agent AND/OR foreign substance	105965008		1
413651000006118	30	Myu52	Myu5200	[X]Other skin changes/chronic exposure/nonionizing radiation	105965008	Myu	1
414001000006112	10	Myu51	Myu5100	[X]Other specified acute skin changes due to UV radiation	105965008	Myu	1
312583010	100	Nyu47	Nyu4700	[X]Other systemic diseases of connective tissue	105969002	Nyu	1
309384013	50	Myu79	Myu7900	[X]Other specified localized connective tissue disorders	105969002	Myu	1
400155018	100	N00y	N00y.00	Other specified diffuse collagen diseases	105969002	N00	1
312574017	4000	Nyu4	Nyu4.00	Disorder of connective tissue	105969002	Nyu	1
309391011	100	Myu7F	Myu7F00	[X]Localised connective tissue disorder, unspecified	105969002	Myu	1
428621000006114	10	Nyu4C	Nyu4C00	[X]Systemic disorders/connective tissue in other diseases CE	105969002	Nyu	1
621001000006118	7000	N00	N00..00	Diffuse diseases of connective tissue	105969002	N00	1
221451000000115	20000	N-1	N....11	Connective tissue disease	105969002	N..	1
736251000006113	400	M2V	M2V..00	Localized connective tissue disorder, unspecified	105969002	M2V	1
572101000006119	300	N00-1	N00..11	Collagen diseases	105969002	N00	1
362991000006116	500	Myu21	Myu2100	Allergic contact dermatitis caused by chemical	10676871000119103	Myu	1
308579014	1000	M1284	M128400	Allergic contact dermatitis due to other chemical products	10676871000119103	M12	1
19014018	80	M261C	M261C00	Tropical acne	10954006	M26	1
1775284012	30000	M129	M129.00	Irritant contact dermatitis	110979008	M12	1
4189031000006112	2	^ESCTIC418903		ICD - Irritant contact dermatitis	110979008		1
4189011000006118	1	^ESCTPR418901		Primary irritant dermatitis	110979008		1
394521000006117	200	Myu24	Myu2400	[X]Irritant contact dermatitis due to oth chemical products	110979008	Myu	1
309321019	300	Myu25	Myu2500	[X]Irritant contact dermatitis due to other agents	110979008	Myu	1
309386010	2000	Myu7A	Myu7A00	Vascular disease of the skin	11263005	Myu	1
2679421000006119	8	^ESCTDI267942		Disorder of blood vessels affecting skin	11263005		1
399946010	900	M2y0z	M2y0z00	Vascular disorders of skin NOS	11263005	M2y	1
1219787019	1000	M2y0	M2y0.00	Vascular disorders of skin	11263005	M2y	1
13765431000006111	200	^ESCT1376543		Acne vulgaris	11381005		1
309361018	4000	Myu68	Myu6800	[X]Other acne	11381005	Myu	1
309109014	200000	M261	M261.00	Other acne	11381005	M26	1
453121000006111	1000000	M261X	M261X00	Acne	11381005	M26	1
1806391000006119	1	JHCAC4		Acne	11381005		1
309368012	70000	Myu6F	Myu6F00	[X]Acne, unspecified	11381005	Myu	1
309129010	30000	M261z	M261z00	Other acne NOS	11381005	M26	1
106893016	3000	M28y-1	M28y.11	Nettle rash	126485001	M28	1
81555016	1000000	M28	M28..00	Urticaria	126485001	M28	1
309338015	4000	Myu40	Myu4000	[X]Other urticaria	126485001	Myu	1
399943019	100000	M28z	M28z.00	Urticaria NOS	126485001	M28	1
309206010	1000	M28yz	M28yz00	Other specified urticaria NOS	126485001	M28	1
399942012	5000	M28y	M28y.00	Other specified urticaria	126485001	M28	1
22719019	50000	M2616	M261600	Cystic acne	13277001	M26	1
2710601000006118	8	^ESCTCY271060		Cystic acne vulgaris	13277001		1
309325011	8	Myu29	Myu2900	Dermatitis due to substances taken internally	13582007	Myu	1
980491000006115	20000	Myu22	Myu2200	Exacerbation of eczema	135843006	Myu	1
309352018	20000	Myu60	Myu6000	[X]Other nail disorders	17790008	Myu	1
399928016	1000	M23yz	M23yz00	Other specified nail disease NOS	17790008	M23	1
315318019	3000	PH5z	PH5z.00	Specified nail anomalies NOS	17790008	PH5	1
991531000006111	8	M23-99	M23..99	Diseases of nail NOS	17790008	M23	1
308974013	800	M23y	M23y.00	Other specified nail disease	17790008	M23	1
133631000006118	3000	PH5	PH5..00	Specified anomalies of nails	17790008	PH5	1
308992017	100000	M23z	M23z.00	Nail disease	17790008	M23	1
623181000006112	100000	M23	M23..00	Disorder of nail	17790008	M23	1
309303017	20000	Myu0	Myu0.00	[X]Infections of the skin and subcutaneous tissue	19824006	Myu	1
399908015	1000000	M07z	M07z.00	Infection of skin and/or subcutaneous tissue	19824006	M07	1
12172671000006111	10	^ESCT1217267		Infection of skin and/or subcutaneous tissue	19824006		1
2814721000006111	400	^ESCTSK281472		Skin infection	19824006		1
15961000006118	7000	M07yz	M07yz00	Other spec local skin/subc infection NOS	19824006	M07	1
308463010	4000	M0y	M0y..00	Other specified infections of skin or subcutaneous tissue	19824006	M0y	1
2814711000006115	20	^ESCTIN281471		Infective dermatological disorders	19824006		1
415871000006114	200	Myu01	Myu0100	[X]Other specified local infections/skin+subcutaneous tissue	19824006	Myu	1
2814731000006114	300	^ESCTSK281473		Skin and subcutaneous tissue infection	19824006		1
12704631000006116	10	^ESCT1270463		Infection of skin AND/OR subcutaneous tissue	19824006		1
399910018	200000	M0z	M0z..00	Skin and subcut tissue infection NOS	19824006	M0z	1
143421000006115	1000000	M0	M0...00	Skin and subcutaneous tissue infections	19824006	M0.	1
4805471000006111	300	^ESCTAN480547		Annular erythema	200920000		1
308677015	5000	M1510	M151000	Erythema annulare	200920000	M15	1
309340013	30	Myu42	Myu4200	[X]Other chronic figurate erythema	200920000	Myu	1
309114013	70	M2612	M261200	Bromine acne	201215003	M26	1
309116010	6	M2614	M261400	Iodine acne	201217006	M26	1
309117018	40	M2615	M261500	Colloid acne	201218001	M26	1
309119015	100	M2619	M261900	Occupational acne	201220003	M26	1
309121013	800	M261B	M261B00	Steroid acne	201222006	M26	1
309123011	400	M261D	M261D00	Acne urticata	201224007	M26	1
309144011	200	M2630	M263000	Seborrhoea corporis	201236001	M26	1
309147016	2000	M2631	M263100	Seborrhoea faciei	201237005	M26	1
309148014	200	M2632	M263200	Seborrhoea nasi	201238000	M26	1
309152014	3	M2634	M263400	Post-encephalitic seborrhoea	201240005	M26	1
763381000006114	2000	M2W	M2W..00	Follicular cyst of skin & subcutaneous tissue, unspecif	201294000	M2W	1
309233014	6000	M2B	M2B..00	Follicular cysts of skin and subcutaneous tissue	201294000	M2B	1
410261000006110	900	Myu6A	Myu6A00	[X]Other follicular cysts of the skin+subcutaneous tissue	201294000	Myu	1
387081000006119	300	Myu6G	Myu6G00	[X]Follicular cyst of skin & subcutaneous tissue, unspecif	201294000	Myu	1
309330010	200	Myu3	Myu3.00	[X]Papulosquamous disorders	22585003	Myu	1
309306013	6000	Myu02	Myu0200	Secondary impetiginisation	238377008	Myu	1
5123451000006113	2	^ESCTAC512345		ACD - Allergic contact dermatitis	238575004		1
309319012	800	Myu23	Myu2300	[X]Allergic contact dermatitis due to other agents	238575004	Myu	1
357566010	50000	M128	M128.00	Allergic contact dermatitis	238575004	M12	1
410661000006113	2000	Myu77	Myu7700	Granulomatous disorder of the skin and subcutaneous tissue	238673000	Myu	1
377951000006117	100	Myu6	Myu6.00	[X]Disorders of skin appendages	238714008	Myu	1
11381000006113	700	M245	M245.00	Disorder of skin appendage	238714008	M24	1
309365010	100	Myu6C	Myu6C00	[X]Other eccrine sweat disorders	238714008	Myu	1
309359010	100	Myu66	Myu6600	[X]Other hair colour and hair shaft abnormalities	238714008	Myu	1
309353011	100	Myu61	Myu6100	[X]Nail disorders in other diseases classified elsewhere	238714008	Myu	1
309364014	600	Myu6B	Myu6B00	[X]Other specified follicular disorders	238714008	Myu	1
