medcodeid	observations	originalreadcode	cleansedreadcode	term	snomedctconceptid	rewas_readcode	AcuteInfection
2514671000006115	7	^ESCTHA251467		Has stopped breathing	1023001		1
317387017	20000	R0604	R060400	Apnoea	1023001	R06	1
11905291000006112	1	^ESCT1190529		Apnea	1023001		1
2514651000006113	10	^ESCTAP251465		Apnoeic	1023001		1
2514681000006117	40	^ESCTNO251468		Not breathing	1023001		1
706441000006117	100	F0112	F011200	Herpes zoster with meningitis	10491005	F01	1
1219078018	200	F0117	F011700	Varicella meningitis	10491005	F01	1
1219080012	40	F0112-1	F011211	Herpes zoster meningitis	10491005	F01	1
2666881000006119	5	^ESCTVA266688		Varicella-zoster meningitis	10491005		1
18244018	100	A530	A530.00	Herpes zoster with meningitis	10491005	A53	1
301122016	60000	H060z	H060z00	Acute bronchitis NOS	10509002	H06	1
18268014	3000000	H060	H060.00	Acute bronchitis	10509002	H06	1
885041000006119	300	H06-99	H06..99	Acute bronchitis/bronchiolitis	10509002	H06	1
301132011	2000	H06z	H06z.00	Acute bronchitis or bronchiolitis NOS	10509002	H06	1
301101010	30	H0601	H060100	Acute membranous bronchitis	10509002	H06	1
18585010	200	A5322	A532200	Herpes zoster iridocyclitis	10698009	A53	1
885151000006118	200	H1y10-99	H1y1099	Abscess of nose (septum)	111275004	H1y	1
681741000006111	4000	H1y10	H1y1000	Abscess of nasal septum	111275004	H1y	1
4193341000006118	20	^ESCTGL419334		Glottic oedema	111278002		1
4193321000006113	1	^ESCTOE419332		Oedema of glottis	111278002		1
360551012	200	H1y60	H1y6000	Oedema of glottis	111278002	H1y	1
4197871000006111	400	^ESCTHY419787		Hypertrophy of adenoids	111591002		1
4197901000006111	4	^ESCTAD419790		Adenoidal enlargement	111591002		1
218581000000112	10000	H141-1	H141.11	Adenoidal hypertrophy	111591002	H14	1
789291000006119	10000	H1412	H141200	Hypertrophy of adenoids alone	111591002	H14	1
4197881000006114	3	^ESCTEN419788		Enlargement of adenoids	111591002		1
822331000006110	300	A5310	A531000	Herpes zoster with other CNS complications	111861003	A53	1
822321000006112	200	A531z	A531z00	Herpes zoster with other CNS complication NOS	111861003	A53	1
395349015	20000	A531	A531.00	Herpes zoster with nervous system complication	111861003	A53	1
19606011	2000	H1y52	H1y5200	Vocal cord granuloma	11316005	H1y	1
2680351000006116	10	^ESCTGR268035		Granuloma of vocal cords	11316005		1
673561000006110	80	H1y56-2	H1y5612	Nodular chorditis-singers'node	11366004	H1y	1
2681121000006118	40	^ESCTVO268112		Vocal fold nodule	11366004		1
1219874015	1000	H1y56-3	H1y5613	Singer's node	11366004	H1y	1
2681141000006113	3	^ESCTSC268114		Screamer's node	11366004		1
2681101000006111	200	^ESCTSI268110		Singers' nodes	11366004		1
1219876018	1	H1y56-1	H1y5611	Chorditis cantorum	11366004	H1y	1
2681131000006115	4	^ESCTSI268113		Singer's nodule	11366004		1
1219870012	20000	H1y56	H1y5600	Vocal cord nodule	11366004	H1y	1
20419011	2000000	1712	1712.00	Dry cough	11833005	171	1
11823221000006114	20	^ESCT1182322		Non-productive cough	11833005		1
4358001000006113	6	^ESCTDI435800		Disorder of nasopharynx	123952009		1
348136015	200	H1y2-1	H1y2.11	Other nasopharyngeal disease NEC	123952009	H1y	1
4358021000006115	1	^ESCTDI435802		Disorder of PNS - postnasal space	123952009		1
2518861000006118	2	^ESCTLA251886		Laryngeal perichondritis	1282001		1
3258019	50	H1y72	H1y7200	Perichondritis of larynx	1282001	H1y	1
780361000006114	600000	F52z-1	F52z.11	Ear infection	129127001	F52	1
4422661000006111	10000	^ESCTIN442266		Infection of ear	129127001		1
22401010	20	H1y76	H1y7600	Necrosis of larynx	13087006	H1y	1
216653013	20000	171F	171F.00	Cough with fever	135883003	171	1
301437010	30000	H300	H300.00	Tracheobronchitis	13617004	H30	1
2736971000006114	700	^ESCTAC273697		Acute suppurative otitis media without spontaneous rupture of ear drum	14948001		1
460541000006114	20000	F5200	F520000	Acute suppurative otitis media - tympanic membrane intact	14948001	F52	1
25801011	10000	H0612	H061200	Acute bronchiolitis with bronchospasm	15199004	H06	1
2750721000006114	70	^ESCTAC275072		Acute infection of sinus	15805002		1
26785019	3000000	H01	H01..00	Acute sinusitis	15805002	H01	1
301013015	1000	H01y	H01y.00	Other acute sinusitis	15805002	H01	1
2750711000006118	10	^ESCTAC275071		Acute inflammation of sinus	15805002		1
301801012	600	Hyu00	Hyu0000	[X]Other acute sinusitis	15805002	Hyu	1
301015010	200000	H01z	H01z.00	Acute sinusitis NOS	15805002	H01	1
301014014	300	H01yz	H01yz00	Other acute sinusitis NOS	15805002	H01	1
252293019	3000	169Z	169Z.00	Gland symptom NOS	161876008	169	1
252290016	20000	169	169..00	Gland symptom	161876008	169	1
252344014	800000	17	17...00	Respiratory symptoms	161920001	17.	1
317379018	300000	R06	R06..00	Respiratory symptom	161920001	R06	1
252426019	70000	17ZZ	17ZZ.00	Respiratory symptom	161920001	17Z	1
252424016	30000	17Z	17Z..00	Respiratory symptoms NOS	161920001	17Z	1
317381016	1000	R0600	R060000	[D]Respiratory symptom, unspecified	161920001	R06	1
252350016	2000000	1711	1711.00	No cough	161922009	171	1
252351017	500000	1713	1713.00	Productive cough -clear sputum	161923004	171	1
252352012	1000000	1714	1714.00	Productive cough -green sputum	161924005	171	1
252353019	600000	1715	1715.00	Productive cough-yellow sputum	161925006	171	1
252357018	900000	1717	1717.00	Night cough present	161927003	171	1
252358011	400000	1718	1718.00	Night cough absent	161928008	171	1
252360013	20000	1719-1	1719.11	Bronchial cough	161929000	171	1
252359015	5000000	1719	1719.00	Chesty cough	161929000	171	1
252363010	80000	171C	171C.00	Morning cough	161932002	171	1
252364016	20000	171D	171D.00	Evening cough	161933007	171	1
27407018	600	A751	A751.00	Cytomegaloviral mononucleosis	16196000	A75	1
457333014	3000	R065D	R065D00	[D]Central chest pain	161972006	R06	1
252445011	100000	1822	1822.00	Central chest pain	161972006	182	1
317427018	60000	R0652	R065200	[D]Anterior chest wall pain	161973001	R06	1
252446012	200000	1824	1824.00	Anterior chest wall pain	161973001	182	1
317434016	9000	R0659	R065900	[D]Parasternal chest pain	161974007	R06	1
252447015	5000	1826	1826.00	Parasternal pain	161974007	182	1
317396017	200000	R060B	R060B00	Snoring symptom	162375000	R06	1
253202012	20000	1C7Z	1C7Z.00	Snoring symptom NOS	162375000	1C7	1
253199019	300000	1C7	1C7..00	Snoring symptoms	162375000	1C7	1
253224012	100000	1C91	1C91.00	No sore throat	162387007	1C9	1
253225013	400000	1C92	1C92.00	Has a sore throat	162388002	1C9	1
2164212016	700000	1C9-1	1C9..11	Throat soreness	162397003	1C9	1
1222497012	30000	R041-1	R041.11	Throat discomfort	162397003	R04	1
253240010	200000	1CB3-1	1CB3.11	Pain in throat	162397003	1CB	1
4548371000006115	1	^ESCTPH454837		Pharyngeal pain	162397003		1
317269017	10000	R041	R041.00	[D]Throat pain	162397003	R04	1
253237010	90000	1CB3	1CB3.00	Throat pain	162397003	1CB	1
4548341000006111	3	^ESCTPA454834		Pain in the pharynx	162397003		1
139761000006116	1000000	H02-1	H02..11	Sore throat	162397003	H02	1
556851000006112	5000	H14	H14..00	Chronic disease of tonsils AND/OR adenoids	16358007	H14	1
885081000006113	30	H14-99	H14..99	Chronic tonsil/adenoid disease	16358007	H14	1
301238015	100	H14z	H14z.00	Chronic tonsil and adenoid disease NOS	16358007	H14	1
301230010	400	H14y	H14y.00	Other chronic diseases of tonsils and adenoids	16358007	H14	1
301828019	100	Hyu25	Hyu2500	[X]Other chronic diseases of tonsils and adenoids	16358007	Hyu	1
301237013	900	H14yz	H14yz00	Other chronic diseases of tonsils and adenoids NOS	16358007	H14	1
2761361000006116	40	^ESCTUL276136		Ulcer of tonsil	16485001		1
103631000006114	2000	H14y4	H14y400	Tonsillar ulcer	16485001	H14	1
681901000006112	30000	H1y0	H1y0.00	Hypertrophy of nasal turbinates	17467004	H1y	1
885141000006115	1000	H1y0-99	H1y0.99	Hypertrophy - nasal turbinates	17467004	H1y	1
885021000006114	3000	H03-99	H03..99	Mild Tonsillitis	17741008	H03	1
301803010	3000	Hyu02	Hyu0200	[X]Acute tonsillitis due to other specified organisms	17741008	Hyu	1
100111000006119	200000	H03-1	H03..11	Throat infection - tonsillitis	17741008	H03	1
29982014	8000000	H03	H03..00	Acute tonsillitis	17741008	H03	1
301049019	400000	H03z	H03z.00	Acute tonsillitis NOS	17741008	H03	1
30355011	6000	F300	F300.00	Post-herpetic trigeminal neuralgia	17974002	F30	1
211241000006115	4000	A5312	A531200	Postherpetic trigeminal neuralgia	17974002	A53	1
30371011	20000	171K	171K.00	Barking cough	17986004	171	1
