medcodeid	observations	originalreadcode	cleansedreadcode	term	snomedctconceptid	rewas_readcode	Constipation
886361000006114	80000	J521-99	J521.99	Irritable bowel - IBS	10743008	J52	1
2670951000006113	1	^ESCTIC267095		IC - Irritable colon	10743008		1
2670871000006114	3	^ESCTMU267087		Mucous colitis	10743008		1
18666015	2000000	J521-1	J521.11	Irritable bowel syndrome	10743008	J52	1
2670921000006116	40	^ESCTIR267092		Irritable bowel	10743008		1
2670891000006110	100	^ESCTFU267089		Functional bowel disease	10743008		1
2670911000006112	200	^ESCTIB267091		IBS - Irritable bowel syndrome	10743008		1
2670881000006112	10	^ESCTCO267088		Colon spasm	10743008		1
2670821000006113	90000	^ESCTIR267082		Irritable colon	10743008		1
18665016	10000	J521-3	J521.13	Spastic colon	10743008	J52	1
742351000006119	800000	J521	J521.00	Irritable colon - Irritable bowel syndrome	10743008	J52	1
2733891000006114	1	^ESCTCN273389		CN - Constipation	14760008		1
2162207016	600000	19C2	19C2.00	Constipated	14760008	19C	1
2733841000006117	40	^ESCTDI273384		Difficulty defaecating	14760008		1
2733901000006113	6	^ESCTDI273390		Difficult passing motion	14760008		1
2733861000006118	60	^ESCTDI273386		Difficulty passing stool	14760008		1
590111000006111	1000000	19C-1	19C..11	Constipation symptom	14760008	19C	1
2733871000006113	200	^ESCTDI273387		Difficulty opening bowels	14760008		1
303166010	100000	19CZ	19CZ.00	Constipation NOS	14760008	19C	1
590101000006113	700000	J520z	J520z00	Constipation NOS	14760008	J52	1
25076018	5000000	19C	19C..00	Constipation	14760008	19C	1
303165014	3000	J520y	J520y00	Other specified constipation	14760008	J52	1
598301000006114	1000	19C-2	19C..12	Costive symptom	14760008	19C	1
252647010	100000	19C1	19C1.00	Not constipated	162081000	19C	1
29482019	10000	J526	J526.00	Anal spasm	17440005	J52	1
886381000006116	2000	J526-99	J526.99	Proctalgia fugax - anal spasm	17440005	J52	1
303190011	300	J526z	J526z00	Anal spasm NOS	17440005	J52	1
303161017	300000	J520	J520.00	Constipation - functional	197118003	J52	1
4786201000006110	5	^ESCTCO478620		Constipation-functional	197118003		1
4786191000006112	6	^ESCTFU478619		Functional constipation	197118003		1
303162012	20000	J5200	J520000	Acute constipation	197119006	J52	1
