medcodeid	observations	originalreadcode	cleansedreadcode	term	snomedctconceptid	rewas_readcode	Diarrhoea
365279016	800	A070	A070.00	Escherichia coli gastrointestinal tract infection	111839008	A07	1
4200301000006113	20	^ESCTIN420030		Intestinal infection due to E. coli	111839008		1
61191000006113	1000000	A07y0	A07y000	Viral gastroenteritis	111843007	A07	1
4200421000006114	1	^ESCTVI420042		Viral diarrhea	111843007		1
365357012	30000	A076-1	A076.11	Viral diarrhoea	111843007	A07	1
179018017	20000	A0821-1	A082111	Viral gastroenteritis	111843007	A08	1
365356015	30000	A076-2	A076.12	Viral vomiting	111843007	A07	1
4201431000006115	40	^ESCTDY420143		Dysentery	111939009		1
476199010	200	A0805	A080500	Haemorrhagic dysentery	111939009	A08	1
86701000006110	70000	A082-1	A082.11	Traveler's diarrhoea	11840006	A08	1
286164016	90	A074z	A074z00	Other specified gastrointestinal tract infections NOS	12463005	A07	1
878941000006117	90000	A0803-99	A080399	Gastroenteritis - viral + NOS	12463005	A08	1
21441016	400000	A0803	A080300	Infectious gastroenteritis	12463005	A08	1
286163010	100	A074y	A074y00	Other specified other gastrointestinal infection	12463005	A07	1
473395016	40000	A08-1	A08..11	Gastric flu	12463005	A08	1
799701000006116	200	A07z	A07z.00	Infectious disease of digestive tract	128398001	A07	1
799691000006116	400	A07y	A07y.00	Gastrointestinal tract infection specified organism NEC	128398001	A07	1
2752461000006114	600	^ESCTCO275246		Cow's milk protein sensitivity	15911003		1
26953014	90000	J432-2	J432.12	Cow's milk allergy	15911003	J43	1
252734014	80000	19F1	19F1.00	Diarrhoea not present	162104009	19F	1
4546591000006110	5	^ESCTFA454659		Faecal overflow	162106006		1
196858012	2000	E2643-1	E264311	Spurious diarrhoea	162106006	E26	1
131671000006119	5000	19F3	19F3.00	Spurious diarrhoea - overflow	162106006	19F	1
4546581000006112	10	^ESCTOV454658		Overflow incontinence - faeces	162106006		1
2786981000006118	2	^ESCTCA278698		Campylobacter diarrhea	18081009		1
533191000006119	100000	A0743-2	A074312	Campylobacter intestinal infection	18081009	A07	1
2786971000006116	40	^ESCTCA278697		Campylobacter diarrhoea	18081009		1
619811000006118	6000	A0743-1	A074311	Diarrhoea due to Campylobacter jejuni	18081009	A07	1
533201000006116	100000	A0743	A074300	Enteric campylobacteriosis	18081009	A07	1
286134012	9	A071	A071.00	Arizona paracolon gastrointestinal tract infection	186134009	A07	1
286136014	20	A073	A073.00	Proteus gastrointestinal tract infection	186136006	A07	1
286140017	5	A073z	A073z00	Proteus gastrointestinal tract infection NOS	186136006	A07	1
286137017	20	A0730	A073000	Proteus mirabilis gastrointestinal tract infection	186137002	A07	1
286139019	4	A0731	A073100	Proteus morganii gastrointestinal tract infection	186138007	A07	1
286172019	20000	A0762	A076200	Enteritis due to rotavirus	186150001	A07	1
286202010	40000	A082z	A082z00	Infectious diarrhoea NOS	19213003	A08	1
619761000006113	90000	A083-1	A083.11	Infectious diarrhoeal disease	19213003	A08	1
2804861000006113	4	^ESCTIN280486		Infective diarrhea	19213003		1
2804851000006111	40	^ESCTIN280485		Infective diarrhoea	19213003		1
479228018	20000	A082	A082.00	Infectious diarrhoea	19213003	A08	1
32563019	20000	J4360	J436000	Collagenous colitis	19311003	J43	1
2806491000006113	1	^ESCTCC280649		CC - Collagenous colitis	19311003		1
303003018	100	J430	J430.00	Radiation gastroenteritis	197011006	J43	1
303006014	20	J430z	J430z00	Radiation gastroenteritis NOS	197011006	J43	1
303004012	90	J4300	J430000	Radiation gastritis	197012004	J43	1
303005013	70	J4302	J430200	Radiation enterocolitis	197013009	J43	1
303009019	100	J4311	J431100	Toxic enteritis	197017005	J43	1
303010012	30	J4312	J431200	Toxic enterocolitis	197018000	J43	1
303024011	300	J4322	J432200	Allergic enterocolitis	197024006	J43	1
303032015	5000	J4330	J433000	Dietetic gastritis	197028009	J43	1
303034019	70	J4332	J433200	Dietetic enterocolitis	197030006	J43	1
1222445017	100000	A08	A08..00	Ill-defined intestinal tract infections	20547008	A08	1
785691000006115	3000	A08z	A08z.00	Ill-defined intestinal infection	20547008	A08	1
37319017	300	J4321	J432100	Allergic enteritis	22231002	J43	1
353418019	20000	J436	J436.00	Microscopic colitis	235753003	J43	1
5089171000006111	5	^ESCTCH508917		Chronic diarrhea	236071009		1
353856013	60000	J43z-1	J43z.11	Chronic diarrhoea	236071009	J43	1
