medcodeid	observations	originalreadcode	cleansedreadcode	term	snomedctconceptid	rewas_readcode	EarSymptoms
2696361000006118	300	^ESCTRE269636		Referred otalgia	12336008		1
21238010	5000	F5872	F587200	Referred ear pain	12336008	F58	1
2753851000006116	1000	^ESCTEA275385		Ear ache	16001004		1
299233011	40000	F5870	F587000	Unspecified otalgia	16001004	F58	1
883851000006112	60000	F587-99	F587.99	Otalgia - earache	16001004	F58	1
27089013	2000000	F587	F587.00	Otalgia	16001004	F58	1
2753841000006118	100	^ESCTPA275384		Pain in ear	16001004		1
299234017	40000	F587z	F587z00	Otalgia NOS	16001004	F58	1
477607011	1000000	F587-1	F587.11	Ear pain	16001004	F58	1
2753831000006111	2000	^ESCTEA275383		Earache	16001004		1
4547931000006118	5	^ESCTNO454793		Noises in head	162349004		1
818341000006114	9000	F583-1	F583.11	Noises in ear	162349004	F58	1
253182015	60000	1C3Z	1C3Z.00	Earache symptom	162356005	1C3	1
633981000006112	2000000	1C3	1C3..00	Earache symptoms	162356005	1C3	1
253178017	50000	1C31	1C31.00	No earache	162357001	1C3	1
253179013	300000	1C32	1C32.00	Unilateral earache	162358006	1C3	1
253180011	40000	1C33	1C33.00	Bilateral earache	162359003	1C3	1
253181010	70000	1C34	1C34.00	Irritation of ear	162360008	1C3	1
30177017	10	F5106	F510600	Acute allergic sanguinous otitis media	17866004	F51	1
297571000006118	600000	F51	F51..00	Non-suppurative otitis media with eustachian tube disorders	194237006	F51	1
4774551000006112	1000	^ESCTAC477455		Acute serous otitis media	194240006		1
299014013	100000	F5101	F510100	Acute non-suppurative otitis media - serous	194240006	F51	1
299022018	3000	F5112	F511200	Bilateral chronic serous otitis	194248004	F51	1
299048014	700	F5151	F515100	Acute eustachian tube salpingitis	194268005	F51	1
299049018	200	F5152	F515200	Chronic eustachian tube salpingitis	194269002	F51	1
299052014	5	F5161	F516100	Osseous eustachian tube obstruction	194272009	F51	1
299053016	10	F5162	F516200	Cartilaginous eustachian tube obstruction	194273004	F51	1
299201019	20	F580	F580.00	Degenerative and vascular disorders of ear	194385005	F58	1
299205011	8	F580z	F580z00	Degenerative and vascular disorders of ear NOS	194385005	F58	1
299202014	3	F5800	F580000	Unspecified degenerative and vascular disorders of ear	194385005	F58	1
299203016	70	F5802	F580200	Transient ischaemic deafness	194387002	F58	1
299217013	200	F5843	F584300	Impaired auditory discrimination	194398001	F58	1
299218015	100	F5844	F584400	Loudness recruitment	194399009	F58	1
299207015	200	F581z	F581z00	Noise effects on inner ear NOS	19653005	F58	1
33085012	2000	F581	F581.00	Noise effect on inner ear	19653005	F58	1
299206012	300	F5810	F581000	Unspecified noise effect on inner ear	19653005	F58	1
2811921000006110	10	^ESCTNO281192		Noise effects on inner ear	19653005		1
36675019	200	F5850	F585000	Acoustic neuritis	21860004	F58	1
362121000006116	7	FyuU4	FyuU400	[X]Acoustic neuritis in infectious+parasitic diseases CE	21860004	Fyu	1
37241015	60	F5841	F584100	Diplacusis	22181003	F58	1
5033821000006112	90	^ESCTCH503382		Chronic non-suppurative otitis media	232254004		1
34701000006111	2000	F513z	F513z00	Other chronic nonsuppurative otitis media NOS	232254004	F51	1
407501000006114	200	FyuP1	FyuP100	[X]Other chronic nonsuppurative otitis media	232254004	Fyu	1
5231601000006114	2	^ESCTEA523160		Ear, nose and throat symptoms	246524009		1
368269017	800000	1C-1	1C...11	ENT symptoms	246524009	1C.	1
2904251000006119	4	^ESCTSO290425		Sounds seem unnaturally loud	25289003		1
42401015	10000	F5842	F584200	Hyperacusis	25289003	F58	1
2904261000006117	2	^ESCTOV290426		Oversensitive hearing	25289003		1
299236015	20000	F58z	F58z.00	Disorder of ear	25906001	F58	1
299271015	4000	F5z	F5z..00	Ear and mastoid disease NOS	25906001	F5z	1
299553014	70	FyuU3	FyuU300	[X]Other disorders of ear	25906001	Fyu	1
623251000006112	100000	F5	F5...00	Disorder of ear and mastoid process	25906001	F5.	1
883771000006111	300	F55-99	F55..99	Disorder of middle ear	25906001	F55	1
299539014	200	FyuPC	FyuPC00	[X]Other specified disorders of middle ear and mastoid	25906001	Fyu	1
313164018	8	P402z	P402z00	Other external ear anomaly with hearing impairment NOS	25906001	P40	1
299200018	70000	F58	F58..00	Other ear disorders	25906001	F58	1
313159017	30	P402	P402.00	Other external ear anomaly with hearing impairment	25906001	P40	1
299549012	700	FyuU	FyuU.00	[X]Other disorders of ear	25906001	Fyu	1
412821000006119	500	FyuU7	FyuU700	[X]Other postprocedural disorders/ear and mastoid process	25906001	Fyu	1
414941000006110	2	FyuU5	FyuU500	[X]Other specified disorders of ear in diseases CE	25906001	Fyu	1
299270019	300	F5y	F5y..00	Other specified diseases of ear or mastoid	25906001	F5y	1
415211000006116	30	FyuPE	FyuPE00	[X]Other specified disorders/middle ear+mastoid/diseases CE	25906001	Fyu	1
633701000006118	20000	F5-1	F5...11	Ear diseases	25906001	F5.	1
399502012	1000	F55	F55..00	Other disorders of middle ear and mastoid	25906001	F55	1
299235016	1000	F58y	F58y.00	Other disorders of ear	25906001	F58	1
299039016	200	F5140	F514000	Allergic otitis media	26169004	F51	1
44084019	2000	F5862	F586200	Otorrhagia	26322001	F58	1
2921411000006111	2000	^ESCTBL292141		Bleeding from ear	26322001		1
633951000006116	1000000	1C	1C...00	Ear/nose/throat symptoms	267098006	1C.	1
253252015	60000	1CZ	1CZ..00	Ear/nose/throat symptom	267098006	1CZ	1
633941000006118	40000	1CZZ	1CZZ.00	Ear/nose/throat symptom NOS	267098006	1CZ	1
399840017	100000	F515-1	F515.11	Catarrh - eustachian	267756004	F51	1
58707018	100000	F5100	F510000	Acute otitis media with effusion	270490007	F51	1
299047016	200	F5150	F515000	Unspecified eustachian tube salpingitis	270491006	F51	1
883721000006110	5000	F515-99	F515.99	Eustachian catarrh	270491006	F51	1
299050018	700	F515z	F515z00	Eustachian tube salpingitis NOS	270491006	F51	1
405110011	30000	F515	F515.00	Eustachian tube salpingitis	270491006	F51	1
77591000006116	7000	F514	F514.00	Non-suppurative otitis media	275481002	F51	1
297581000006115	50000	F514z	F514z00	Nonsuppurative otitis media NOS	275481002	F51	1
48076013	300	F5832	F583200	Objective tinnitus	28715001	F58	1
299041015	40000	F5142	F514200	Catarrhal otitis media	29350000	F51	1
50671013	500	F517	F517.00	Patulous eustachian tube	30280005	F51	1
633891000006119	2000000	1C-2	1C...12	Ear symptom	315217005	1C.	1
458531000006114	900000	F510	F510.00	Acute non-suppurative otitis media	359609001	F51	1
473798017	80000	F5100-1	F510011	Acute secretory otitis media	359609001	F51	1
458581000006110	20000	F510z	F510z00	Acute nonsuppurative otitis media NOS	359609001	F51	1
883681000006115	30000	F510-99	F510.99	Acute nonsupp. otitis media	359609001	F51	1
6204261000006117	1	^ESCTAC620426		Acute nonsuppurative otitis media	359609001		1
406091000006110	100	FyuP0	FyuP000	[X]Other acute nonsuppurative otitis media	359609001	Fyu	1
3118471000006114	4	^ESCTOT311847		Otitis media with effusion - purulent	38394007		1
299529015	800	FyuP2	FyuP200	[X]Other chronic suppurative otitis media	38394007	Fyu	1
490746013	3000	F5131	F513100	Chronic otitis media with effusion, purulent	38394007	F51	1
490749018	300	F5131-1	F513111	Chronic secretory otitis media, purulent	38394007	F51	1
3118481000006112	20	^ESCTCH311848		Chronic otitis media with perforation	38394007		1
63478014	3000	F5131-99	F513199	Chronic purulent otitis media	38394007	F51	1
299067013	70000	F523	F523.00	Chronic suppurative otitis media	38394007	F52	1
3118451000006116	3	^ESCTCS311845		CSOM - Chronic suppurative otitis media	38394007		1
65001013	4000	F5110	F511000	Chronic tubotympanic catarrh	38596008	F51	1
66754012	20	F5163	F516300	Compression of eustachian tube	40071000	F51	1
3196901000006111	1	^ESCTEX319690		Explosive acoustic trauma to ear	43251000		1
3196921000006118	20	^ESCTIM319692		Impulsive acoustic trauma	43251000		1
3196911000006114	1	^ESCTOT319691		Otitic blast injury	43251000		1
493559015	500	F5811	F581100	Acoustic explosive ear trauma	43251000	F58	1
1230554018	70000	F516	F516.00	Eustachian tube obstruction	48145001	F51	1
299051019	900	F5160	F516000	Unspecified eustachian tube obstruction	48145001	F51	1
299055011	4000	F516z	F516z00	Eustachian tube obstruction NOS	48145001	F51	1
