medcodeid	observations	originalreadcode	cleansedreadcode	term	snomedctconceptid	rewas_readcode	EyeProblems
105671000006111	10000	F4K34	F4K3400	Thickening of lens capsule	105881000119106	F4K	1
8033151000006119	6	^ESCTLE803315		Lens capsule thickening	105881000119106		1
747881000006118	2000	F4K3-1	F4K3.11	Disorder of lens	10810001	F4K	1
299469017	10	FyuE5	FyuE500	[X]Other disorders of lens in diseases classified elsewhere	10810001	Fyu	1
299466012	80	FyuE2	FyuE200	[X]Other specified disorders of lens	10810001	Fyu	1
489131000006117	200	F4K3z	F4K3z00	Aphakia and other disorders of lens NOS	10810001	F4K	1
489121000006115	500	F4K3	F4K3.00	Aphakia and other disorders of lens	10810001	F4K	1
299465011	200	FyuE1	FyuE100	[X]Other specified cataract	10810001	Fyu	1
370441000006113	5	FyuE3	FyuE300	[X]Cataract/oth endocrine,nutritional+metabolic diseases CE	10810001	Fyu	1
299468013	10	FyuE4	FyuE400	[X]Cataract in other diseases classified elsewhere	10810001	Fyu	1
299464010	30	FyuE0	FyuE000	[X]Other senile cataract	10810001	Fyu	1
377841000006112	500	FyuE	FyuE.00	[X]Disorders of lens	10810001	Fyu	1
2516091000006116	1	^ESCTDE251609		Degenerative disorder of eyelid	1112003		1
298611010	20	F4E50	F4E5000	Unspecified eyelid degenerative disorder	1112003	F4E	1
298614019	200	F4E56	F4E5600	Other eyelid skin degenerative disorder	1112003	F4E	1
125421000006118	600	F4K1-1	F4K1.11	Scleral staphyloma	111534007	F4K	1
189632012	8	F4K10	F4K1000	Scleral ectasia	111534007	F4K	1
660961000006117	4000	1B82-1	1B82.11	Eyelids droop - symptom	11934000	1B8	1
2689991000006119	70	^ESCTDR268999		Droopy eyelid	11934000		1
298596012	3000	F4E3z	F4E3z00	Ptosis of eyelid NOS	11934000	F4E	1
298592014	2000	F4E30	F4E3000	Unspecified ptosis of eyelid	11934000	F4E	1
2690021000006111	20	^ESCTPT269002		Ptosis eyelid	11934000		1
2689981000006117	20	^ESCTDR268998		Drooping eyelid	11934000		1
1495602018	800	P360-1	P360.11	Ptosis	11934000	P36	1
2690001000006118	1	^ESCTBL269000		Blepharoptosis	11934000		1
20576010	90000	F4E3	F4E3.00	Ptosis of eyelid	11934000	F4E	1
298216012	5000	F484z	F484z00	Visual field defects NOS	12184005	F48	1
298194019	8000	F4840	F484000	Unspecified visual field defect	12184005	F48	1
298215011	30	F484N	F484N00	Other heteronymous bilateral field defect	12184005	F48	1
219351000000118	70000	F484	F484.00	Visual field defect	12184005	F48	1
2693991000006118	5	^ESCTVF269399		VFD - Visual field defect	12184005		1
298205017	400	F484B	F484B00	Sector or arcuate visual defect NOS	12184005	F48	1
298214010	200	F484K	F484K00	Other homonymous bilateral field defect	12184005	F48	1
208448013	90	F484E	F484E00	Ring scotoma	129625005	F48	1
2707021000006119	2000	^ESCTAN270702		Anisocoria	13045009		1
474937011	5000	F4K41-1	F4K4111	Unequal pupils	13045009	F4K	1
474938018	10000	F4K41	F4K4100	Anisocoria - unequal pupil diameter	13045009	F4K	1
2715681000006117	200	^ESCTSU271568		Superficial injury of eye AND/OR adnexa	13616008		1
475401019	10000	SD8	SD8..00	Superficial injury of eye and adnexa	13616008	SD8	1
325291012	70	Syu00	Syu0000	[X]Other superficial injuries of eyelid and periocular area	13616008	Syu	1
24003015	30	F4Ey2	F4Ey200	Elephantiasis of eyelid	14100003	F4E	1
24113014	300	F4K33	F4K3300	Posterior dislocation of lens	14169000	F4K	1
