medcodeid	observations	originalreadcode	cleansedreadcode	term	snomedctconceptid	rewas_readcode	IngrownToeNail
309352018	20000	Myu60	Myu6000	[X]Other nail disorders	17790008	Myu	1
399928016	1000	M23yz	M23yz00	Other specified nail disease NOS	17790008	M23	1
315318019	3000	PH5z	PH5z.00	Specified nail anomalies NOS	17790008	PH5	1
991531000006111	8	M23-99	M23..99	Diseases of nail NOS	17790008	M23	1
308974013	800	M23y	M23y.00	Other specified nail disease	17790008	M23	1
133631000006118	3000	PH5	PH5..00	Specified anomalies of nails	17790008	PH5	1
308992017	100000	M23z	M23z.00	Nail disease	17790008	M23	1
623181000006112	100000	M23	M23..00	Disorder of nail	17790008	M23	1
889411000006111	3000	M2300-99	M230099	In Growing Toenail	201108001	M23	1
778371000006114	1000000	M2300	M230000	Ingrowing great toenail	201108001	M23	1
778421000006119	50000	M2301	M230100	Ingrowing toenail (excluding great toe)	201109009	M23	1
778411000006110	900	M2302	M230200	Ingrowing thumbnail	201110004	M23	1
778361000006119	1000	M2303	M230300	Ingrowing fingernail (excluding thumb)	201112007	M23	1
308973019	300000	M231	M231.00	Nail deformity	201114008	M23	1
308980017	500	M23y3	M23y300	Eggshell nail	201117001	M23	1
308982013	100	M23y5	M23y500	Parrot-beak nail	201119003	M23	1
308983015	60	M23y7	M23y700	Reedy nail	201120009	M23	1
308984014	50	M23y8	M23y800	Turtleback nail	201121008	M23	1
336601014	500	M23yG	M23yG00	Clubbed nail pachydermoperiostosis	223726008	M23	1
4919391000006114	30	^ESCTPA491939		Pachydermoperiostosis of nail	223726008		1
5244791000006113	3	^ESCTNA524479		Nail splitting	247493001		1
129891000006116	3000	M23yH	M23yH00	Splits in nails	247493001	M23	1
2900171000006110	10	^ESCTIN290017		Ingrowing toenail with infection	25055007		1
41978016	200000	M2304	M230400	Ingrowing nail with infection	25055007	M23	1
726771000006113	3000	PH55-1	PH55.11	Hypertrophic nails	30654002	PH5	1
484671014	300	M23y1-99	M23y199	Nail hypertrophy	30654002	M23	1
51304019	7000	M23y1	M23y100	Hypertrophy of nail	30654002	M23	1
484670010	700	M23yB	M23yB00	Onychauxis	30654002	M23	1
2993921000006119	2	^ESCTOX299392		OX - Onychauxic	30654002		1
828061000006118	200	M23y1-1	M23y111	Horn nail	30654002	M23	1
2993911000006110	1	^ESCTNA299391		Nail overgrowth	30654002		1
1779359015	600000	M230	M230.00	Ingrowing nail	400097005	M23	1
6634601000006112	100	^ESCTON663460		Onychocryptosis	400097005		1
308972012	9000	M230z	M230z00	Ingrowing nail NOS	400097005	M23	1
6634631000006116	8	^ESCTIN663463		Ingrown nail	400097005		1
1787083015	200	M230-1	M230.11	Unguis incarnatus	400097005	M23	1
889401000006113	50000	M230-99	M230.99	Ingrowing toenail	400097005	M23	1
6636721000006119	9	^ESCTHE663672		Hereditary lymphoedema and yellow nails	400211001		1
75590012	2000	M23yE	M23yE00	Yellow nail syndrome	400211001	M23	1
2549113016	30000	M23yJ	M23yJ00	Nail changes	416596008	M23	1
493666011	20	M23y4	M23y400	Hippocratic nail	4373005	M23	1
2568491000006111	6	^ESCTCL256849		Clubbing of nail	4373005		1
73525013	1000	M23yF	M23yF00	Beau's lines	44087005	M23	1
3210071000006116	1	^ESCTTR321007		Transverse groove in nails	44087005		1
84069012	400	M23yA	M23yA00	Leukonychia striata	50458000	M23	1
3317191000006113	3	^ESCTLE331719		Leuconychia striata	50458000		1
86258016	10	M23y6	M23y600	Racket nail	51806005	M23	1
88021019	6000	M23yC-99	M23yC99	Onychogryposis	52897009	M23	1
88023016	90000	M23yC	M23yC00	Onychogryphosis	52897009	M23	1
110061010	3000	M23y2	M23y200	Koilonychia	66270006	M23	1
3577781000006117	1	^ESCTSP357778		Spoon-shaped nails	66270006		1
889441000006110	2000	M23z-99	M23z.99	Diseases of nail NOS	679991000000104	M23	1
3625331000006117	20	^ESCTBR362533		Brittle nails	69192004		1
682361000006117	10000	M23yz-1	M23yz11	Trachyonychia	69192004	M23	1
2377271000000113	1000	M232	M232.00	Involuted toenail	713608008	M23	1
7706531000006112	100	^ESCTIN770653		Involution of toenail	713608008		1
3704791000006119	2	^ESCTLE370479		Leuconychia punctata	74102009		1
123043018	300	M23y9	M23y900	Leukonychia punctata	74102009	M23	1
125874018	700	M23yD-1	M23yD11	Separation of nail plate	75789001	M23	1
125873012	40000	M23yD	M23yD00	Onycholysis	75789001	M23	1
3915571000006118	600	^ESCTDY391557		Dystrophia unguium	87065009		1
144383015	50000	M23y0	M23y000	Nail dystrophy	87065009	M23	1
3915601000006113	300	^ESCTDY391560		Dystrophic nail	87065009		1
