medcodeid	observations	originalreadcode	cleansedreadcode	term	snomedctconceptid	rewas_readcode	Mole
309211000006114	600	BBEL	BBEL.00	Giant pigmented naevus	10291008	BBE	1
2663751000006111	4	^ESCTCO266375		Congenital giant pigmented naevus	10291008		1
290495014	2000	B7683	B768300	Melanocytic naevus of face	109269004	B76	1
292226012	300	ByuG9	ByuG900	[X]Melanocytic naevi of other and unspecified parts of face	109269004	Byu	1
711901000006118	800	B7680	B768000	Melanocytic naevus of lip	109271004	B76	1
290491017	400	B7681	B768100	Melanocytic naevus of eyelid, including canthus	109273001	B76	1
290494013	200	B7682	B768200	Melanocytic naevus of external auditory canal	109279002	B76	1
711021000006112	10000	B7685	B768500	Melanocytic naevus of trunk	109283002	B76	1
290502016	2000	B7686	B768600	Melanocytic naevus of upper limb	109289003	B76	1
4162161000006110	5	^ESCTME416216		Melanocytic naevus of upper limb	109289003		1
4162221000006114	2	^ESCTME416222		Melanocytic naevus of lower limb	109293009		1
290507010	2000	B7687	B768700	Melanocytic naevus of lower limb	109293009	B76	1
4189171000006111	2	^ESCTBI418917		Birt-Hogg-Dube syndrome	110985001		1
1591221000006115	500	B76C	B76C.00	Multiple fibrofolliculomas	110985001	B76	1
2676551000006115	30	^ESCTEP267655		Epithelioid cell naevus	11099005		1
1215877019	200	BBEb	BBEb.00	[M] Epithelioid cell naevus	11099005	BBE	1
304231000006119	200	BBE9-1	BBE9.11	[M]Achromic naevus	112680001	BBE	1
4213241000006110	50	^ESCTNA421324		Naevus depigmentosus	112680001		1
4213181000006112	20	^ESCTNO421318		Nonpigmented naevus	112680001		1
4213211000006111	30	^ESCTAC421321		Achromic naevus	112680001		1
314101000006119	1000	BBE9	BBE9.00	Non-pigmented naevus	112680001	BBE	1
4213301000006117	8	^ESCTDE421330		Dermal nevus	112681002		1
4213291000006118	20	^ESCTIN421329		Intradermal nevus	112681002		1
307471000006111	8000	BBEJ-1	BBEJ.11	[M]Dermal naevus	112681002	BBE	1
310431000006111	100000	BBEJ	BBEJ.00	Intradermal naevus	112681002	BBE	1
312281000006114	20000	BBE1-2	BBE1.12	Melanocytic lesion morphology	115223002	BBE	1
4255531000006110	100	^ESCTNA425553		Naevus AND/OR melanoma	115223002		1
291588012	4000	BBE	BBE..00	[M]Naevi and melanomas	115223002	BBE	1
291617017	3000	BBEz	BBEz.00	[M]Naevi or melanoma NOS	115223002	BBE	1
1221446018	900	BBEG0	BBEG000	[M]Acral lentiginous melanoma, malignant	16974005	BBE	1
2769471000006119	100	^ESCTAC276947		Acral lentiginous melanoma, malignant	16974005		1
313951000006116	20	BBE7	BBE7.00	[M]Neuronaevus	17930004	BBE	1
311981000006111	20	BBEE	BBEE.00	[M]Malignant melanoma in precancerous melanosis	18450009	BBE	1
290449019	4000	B761	B761.00	Benign neoplasm of eyelid including canthus	189053003	B76	1
290456013	300	B7620	B762000	Benign neoplasm of skin of auricle	189057002	B76	1
290457016	200	B7621	B762100	Benign neoplasm of skin of external auditory meatus	189058007	B76	1
290462015	800	B7634	B763400	Benign neoplasm of skin of temple	189062001	B76	1
290464019	900	B764	B764.00	Benign neoplasm of scalp and skin of neck	189064000	B76	1
290465018	200	B764z	B764z00	Benign neoplasm of scalp or skin of neck NOS	189064000	B76	1
290477011	2000	B765z	B765z00	Benign neoplasm of skin of trunk, excluding scrotum, NOS	189066003	B76	1
290466017	1000	B765	B765.00	Benign neoplasm of skin of trunk, excluding scrotum	189066003	B76	1
290478018	700	B766	B766.00	Benign neoplasm of skin of upper limb and shoulder	189078004	B76	1
290484015	200	B766z	B766z00	Benign neoplasm of skin of upper limb or shoulder NOS	189078004	B76	1
290481011	2000	B7661	B766100	Benign neoplasm of skin of upper arm	189080005	B76	1
290485019	2000	B7673	B767300	Benign neoplasm of skin of lower leg	189084001	B76	1
290515013	3000	B76B	B76B.00	Xanthogranuloma	189099001	B76	1
308924011	900000	M21z1	M21z100	Skin tag	201091002	M21	1
4806821000006117	1	^ESCTAC480682		Achrochordon	201091002		1
4806831000006119	7	^ESCTSO480683		Soft papilloma	201091002		1
380317019	100000	B76-7	B76..17	Skin tag NOS	201091002	B76	1
4806851000006114	5	^ESCTSO480685		Soft fibroma	201091002		1
2532031000006112	1	^ESCTMM253203		MM - Malignant melanoma	2092003		1
2532021000006114	200	^ESCTME253202		Melanoma	2092003		1
403754010	40000	BBE1	BBE1.00	Malignant melanoma	2092003	BBE	1
312291000006112	5	BBE1-3	BBE1.13	[M]Melanosarcoma NOS	2092003	BBE	1
313651000006112	5	BBE1-4	BBE1.14	[M]Naevocarcinoma	2092003	BBE	1
312251000006118	100	BBE1-1	BBE1.11	[M]Melanocarcinoma	2092003	BBE	1
412650012	9000	BBE0-1	BBE0.11	[M]Hairy naevus NOS	21119008	BBE	1
2835691000006112	20	^ESCTNE283569		Nevus	21119008		1
2835711000006110	1	^ESCTHA283571		Hairy nevus	21119008		1
2835751000006111	100	^ESCTME283575		Melanocytic naevus	21119008		1
2835741000006114	1	^ESCTHA283574		Hairy naevus	21119008		1
2835681000006114	9	^ESCTPI283568		Pigmented nevus	21119008		1
225731000006111	100000	B76-6	B76..16	Pigmented naevus	21119008	B76	1
1216245019	30000	BBE0	BBE0.00	[M]Pigmented naevus NOS	21119008	BBE	1
2835721000006119	3	^ESCTME283572		Melanocytic nevus	21119008		1
2835701000006112	300	^ESCTNA283570		Naevus	21119008		1
314051000006119	3000	BBE2	BBE2.00	Nodular melanoma	2142002	BBE	1
316791000006115	5	BBER	BBER.00	[M]Spindle cell melanoma, type A	24653009	BBE	1
5324781000006117	2	^ESCTHI532478		Hidradenoma of skin	253020008		1
114111000006113	300	B76-8	B76..18	Hidradenoma	253020008	B76	1
5324771000006115	4	^ESCTNO532477		Nodular hidradenoma	253020008		1
379246013	20	B76D	B76D.00	Multiple self-healing epithelioma of Ferguson-Smith	254659009	B76	1
310641000006116	20	BBE6-1	BBE6.11	[M]Involuting naevus	254745007	BBE	1
308711000006112	3000	BBE6	BBE6.00	Fibrous papule of nose	254745007	BBE	1
614381000006115	200000	B76-3	B76..13	Fibrous histiocytoma of skin	254750001	B76	1
5350771000006114	1	^ESCTBL535077		Blue nevus of skin	254806009		1
518971000006118	20000	B76-2	B76..12	Blue naevus of skin	254806009	B76	1
379623019	3000	B7689	B768900	Atypical mole syndrome	254819008	B76	1
5351151000006111	70	^ESCTBK535115		B-K mole (nevus) syndrome	254819008		1
5351181000006115	4	^ESCTFA535118		Familial atypical mole malignant melanoma syndrome	254819008		1
380315010	100	B762-1	B762.11	Benign neoplasm of ear	255181009	B76	1
380318012	300000	B76-5	B76..15	Papilloma of skin	255184001	B76	1
2921531000006118	1	^ESCTME292153		Melanocytoma	26325004		1
312261000006116	700	BBE8-1	BBE8.11	Melanocytoma of the eyeball	26325004	BBE	1
311541000006113	300	BBE8	BBE8.00	Magnocellular naevus	26325004	BBE	1
509531000006115	100	B762z	B762z00	Benign neoplasm skin of ear or external auditory meatus NOS	271477007	B76	1
406272011	400	B762	B762.00	Benign neoplasm of skin of ear and external auditory meatus	271477007	B76	1
11908171000006110	1000	^ESCT1190817		Skin - benign mole and nevus	286903005		1
313661000006114	100000	BBE0-2	BBE0.12	Skin - benign mole and naevus	286903005	BBE	1
505021000006111	300000	B76-1	B76..11	Benign naevus of skin	286903005	B76	1
290463013	1000	B763z	B763z00	Benign neoplasm of skin of face NOS	297134004	B76	1
5836671000006115	20	^ESCTBE583667		Benign neoplasm of skin of head and neck	297134004		1
444763016	3000	B76-9	B76..19	Syringoma	302828001	B76	1
310951000006110	20000	BBEF-1	BBEF.11	Lentigo maligna	302836005	BBE	1
5911801000006118	1	^ESCTLM591180		LM - Lentigo maligna	302836005		1
310961000006112	4000	BBEG-1	BBEG.11	[M]Lentigo maligna melanoma	302836005	BBE	1
2991131000006115	7	^ESCTJU299113		Junctional nevus	30494009		1
2991201000006118	3	^ESCTJU299120		Junctional melanocytic nevus	30494009		1
2991191000006116	50	^ESCTJU299119		Junctional melanocytic naevus	30494009		1
310511000006116	600	BBEB-1	BBEB.11	Intraepidermal naevus	30494009	BBE	1
310691000006113	10000	BBEB	BBEB.00	Junctional naevus	30494009	BBE	1
2991181000006119	2	^ESCTJU299118		Junction naevus	30494009		1
454202015	600	B7610	B761000	Benign neoplasm of canthus	310600009	B76	1
456060017	900	B7688	B768800	Benign naevus of sole of foot	312359004	B76	1
308181000006118	20	BBEP	BBEP.00	[M]Epithelioid cell melanoma	37138001	BBE	1
3098181000006114	3	^ESCTEP309818		Epithelioid cell melanoma	37138001		1
291604015	300	BBED	BBED.00	Precancerous melanosis	38969003	BBE	1
305741000006115	6	BBE4	BBE4.00	[M]Balloon cell melanoma	39274007	BBE	1
3142071000006112	8	^ESCTMA314207		Malignant melanoma, regressing	39896009		1
1229572014	70	BBE10	BBE1000	[M]Malignant melanoma, regressing	39896009	BBE	1
1787065011	2000000	B76-4	B76..14	Mole of skin	400010006	B76	1
6633141000006117	3	^ESCTME663314		Melanocytic nevus of skin	400010006		1
6633171000006113	7	^ESCTBE663317		Benign melanocytic nevus of skin	400010006		1
290498011	2000	B7684	B768400	Melanocytic naevi of scalp and neck	400010006	B76	1
711041000006117	9000	B768X	B768X00	Melanocytic naevi, unspecified	400010006	B76	1
711011000006116	300000	B768	B768.00	Melanocytic naevus of skin	400010006	B76	1
6633151000006115	1000	^ESCTBE663315		Benign melanocytic naevus of skin	400010006		1
6633161000006118	20	^ESCTPI663316		Pigmented naevus of skin	400010006		1
292244016	3000	ByuGN	ByuGN00	[X]Melanocytic naevi, unspecified	400010006	Byu	1
6633181000006111	1	^ESCTPI663318		Pigmented nevus of skin	400010006		1
1783732013	100	B76A	B76A.00	Naevoxanthoendothelioma	400031009	B76	1
6633611000006113	1	^ESCTJU663361		Juvenile giant cell granuloma	400031009		1
6633531000006118	100	^ESCTJU663353		Juvenile xanthogranuloma	400031009		1
