medcodeid	observations	originalreadcode	cleansedreadcode	term	snomedctconceptid	rewas_readcode	Nosebleed
317299014	500	R0447	R044700	Hyponasality	10314002	R04	1
2663981000006118	8	^ESCTHY266398		Hyponasality syndrome	10314002		1
2663991000006115	1	^ESCTRH266399		Rhinolalia clausa	10314002		1
4088881000006119	8	^ESCTSE408888		Senile voice	103305000		1
1786581000006114	1000	R0448	R044800	Presbyphonia	103305000	R04	1
627371000006115	2000	1C61	1C61.00	Does not have nosebleeds	162372002	1C6	1
2164212016	700000	1C9-1	1C9..11	Throat soreness	162397003	1C9	1
1222497012	30000	R041-1	R041.11	Throat discomfort	162397003	R04	1
253240010	200000	1CB3-1	1CB3.11	Pain in throat	162397003	1CB	1
4548371000006115	1	^ESCTPH454837		Pharyngeal pain	162397003		1
317269017	10000	R041	R041.00	[D]Throat pain	162397003	R04	1
253237010	90000	1CB3	1CB3.00	Throat pain	162397003	1CB	1
4548341000006111	3	^ESCTPA454834		Pain in the pharynx	162397003		1
139761000006116	1000000	H02-1	H02..11	Sore throat	162397003	H02	1
317303016	40000	R0451	R045100	Dysphasia	20301004	R04	1
2549085018	5	R0453	R045300	Motor dysprosody	20937004	R04	1
2548763013	2000	R0454	R045400	Dysfluency	229622007	R04	1
517051000006111	400000	1C86	1C86.00	Nasal obstruction	232209000	1C8	1
5033341000006111	1	^ESCTNO503334		NO - Nasal obstruction	232209000		1
681631000006110	90000	H1y16	H1y1600	Nasal obstruction	232209000	H1y	1
347922010	60000	H1y1z-1	H1y1z11	Nasal obstruction	232209000	H1y	1
317324014	20000	R04z4	R04z400	[D]Nasal obstruction	232209000	R04	1
5033361000006110	40	^ESCTNA503336		Nasal airway obstruction	232209000		1
397997010	20000	1C82	1C82.00	Nasal obstruction present	232209000	1C8	1
297191000006112	300000	1C6	1C6..00	Nosebleed/epistaxis symptom	249366005	1C6	1
11780431000006111	3	^ESCT1178043		Nasal haemorrhage	249366005		1
317316016	1000000	R047	R047.00	Bleeding from nose	249366005	R04	1
1222500018	80000	R047-1	R047.11	Nosebleed	249366005	R04	1
647631000006114	300000	1C6-1	1C6..11	Epistaxis symptom	249366005	1C6	1
816991000006115	300000	1C62	1C62.00	Has nosebleeds - epistaxis	249366005	1C6	1
297201000006110	20000	1C6Z	1C6Z.00	Nose bleed symptom NOS	249366005	1C6	1
11780411000006117	900	^ESCT1178041		Epistaxis	249366005		1
5270641000006115	2	^ESCTOB527064		Observation of bleeding of nose	249366005		1
11780421000006113	200	^ESCT1178042		Nosebleed	249366005		1
317311014	40	R0464	R046400	Acalculia	2496007	R04	1
41994011	3000	1B1G-2	1B1G.12	Cephalgia	25064002	1B1	1
2900321000006111	2	^ESCTCE290032		Cephalalgia	25064002		1
41990019	6000000	1B1G	1B1G.00	Headache	25064002	1B1	1
2900351000006119	2	^ESCTHA290035		HA - Headache	25064002		1
2900311000006115	60	^ESCTHE290031		Head pain	25064002		1
406060011	100000	R040z	R040z00	Pain in head	25064002	R04	1
317264010	900000	R040	R040.00	[D]Headache	25064002	R04	1
2911561000006116	20	^ESCTHY291156		Hypernasality syndrome	25728009		1
317298018	1000	R0446	R044600	Hypernasality	25728009	R04	1
299481000006113	20000	R042z-1	R042z11	[D]Lump throat	267103008	R04	1
398002010	200000	1CB4	1CB4.00	Feeling of lump in throat	267103008	1CB	1
317263016	10000	R04	R04..00	Symptom of head and neck region	267106000	R04	1
317319011	4000	R04z	R04z.00	[D]Other symptoms affecting head and neck	267106000	R04	1
317325010	2000	R04zz	R04zz00	[D]Head and neck symptoms NOS	267106000	R04	1
398006013	20000	1D21	1D21.00	Symptom: head/neck	267106000	1D2	1
317307015	10	R0460	R046000	[D]Symbolic dysfunction, unspecified	271721006	R04	1
317306012	200	R046	R046.00	Symbolic dysfunction	271721006	R04	1
317315017	20	R046z	R046z00	[D]Symbolic dysfunction NOS	271721006	R04	1
318037019	30	Ryu61	Ryu6100	[X]Other and unspecified symbolic dysfunctions	271721006	Ryu	1
317313012	300	R0466	R046600	Agraphia	27206009	R04	1
317295015	20000	R0443	R044300	Change in voice	274657005	R04	1
5565171000006113	8	^ESCTPA556517		Pain of jaw	274667000		1
443831012	200000	R040z-1	R040z11	Jaw pain	274667000	R04	1
317277018	50000	R0425	R042500	Localised swelling, mass and lump, neck	274747003	R04	1
5565901000006117	10	^ESCTLO556590		Localized swelling, mass and lump, neck	274747003		1
317270016	20000	R042	R042.00	Mass in head or neck	274751001	R04	1
14198021000006115	800	^ESCT1419802		Mass of head and/or neck	274751001		1
317272012	3000	R0421	R042100	[D]Mass in head or neck	274751001	R04	1
317273019	200000	R0422	R042200	[D]Lump in head or neck	274751001	R04	1
1222498019	1000	R042-1	R042.11	[D]Swelling, mass or lump in head	274751001	R04	1
5565961000006116	30	^ESCTHE556596		Head and neck mass	274751001		1
5565981000006114	700	^ESCTHE556598		Head and neck swelling	274755005		1
317271017	50000	R0420	R042000	[D]Swelling in head or neck	274755005	R04	1
415474013	200000	16J5	16J5.00	Facial swelling	278528006	16J	1
302911000006113	50000	R0420-1	R042011	Swollen face	278528006	R04	1
5742731000006112	7	^ESCTSL574273		Slurring	289195008		1
317304010	40000	R0452	R045200	Slurred speech	289195008	R04	1
1805661000006110	1	JHCSL1		Slurred speech	289195008		1
317301019	6000	R045	R045.00	Disturbance in speech	29164008	R04	1
317305011	2000	R045z	R045z00	[D]Other speech disturbance NOS	29164008	R04	1
318036011	100	Ryu60	Ryu6000	[X]Other and unspecified speech disturbances	29164008	Ryu	1
48804011	1000	1B96	1B96.00	Speech impairment	29164008	1B9	1
440659010	300000	2I1A	2I1A.00	Lump on neck	299703001	2I1	1
1222499010	100000	R042-2	R042.12	Mass of neck	299703001	R04	1
317285010	5000	R042C	R042C00	Mass of ear structure	300850006	R04	1
317317013	300	R048	R048.00	Pharyngeal haemorrhage	324618004	R04	1
2534255019	200	R0469	R046900	Oral apraxia	361274000	R04	1
2537294014	1000	R0469-1	R046911	[D]Oral dyspraxia	361275004	R04	1
6221561000006110	90	^ESCTOR622156		Oral dyspraxia	361275004		1
2474732018	100	R0468	R046800	Verbal apraxia	361276003	R04	1
1212352017	50000	1CB2	1CB2.00	Choking sensation	373909009	1CB	1
6386721000006116	2	^ESCTCH638672		Choking feeling	373909009		1
317320017	10000	R04z0	R04z000	[D]Choking sensation	373909009	R04	1
317312019	200	R0465	R046500	Agnosia	42341009	R04	1
894711000006115	3000	R040z-99	R040z99	Headache symptom NOS [D]	429051000000106	R04	1
317276010	3000	R0424	R042400	Mass of head	432525007	R04	1
317281018	20000	R0428	R042800	Mass of head	432525007	R04	1
317289016	7000	R042z	R042z00	[D]Swelling, mass or lump in head or neck NOS	438581000000100	R04	1
317288012	3000	R042D	R042D00	[D]Swelling of mandibular region	441708007	R04	1
299611000006116	2000	R042B	R042B00	Swelling of mandibular region	441708007	R04	1
7253961000006119	70	^ESCTSW725396		Swelling of lower jaw region	441708007		1
317282013	4000	R0429	R042900	Mass of nose	441766009	R04	1
317283015	7000	R042A	R042A00	Mass of submental region	441767000	R04	1
317293010	4000	R0441	R044100	Aphonia	441913003	R04	1
317280017	2000	R0427	R042700	Mass of tongue	441975003	R04	1
317309017	10	R0462	R046200	Alexia and agraphia present	442322007	R04	1
317294016	30000	R0442	R044200	Loss of voice	44564008	R04	1
3218191000006117	1	^ESCTDO321819		Does not produce voice	44564008		1
317292017	3000	R0440	R044000	[D]Voice disturbance, unspecified	47004009	R04	1
317300018	1000	R044z	R044z00	[D]Other voice disturbance NEC	47004009	R04	1
1948001000006113	1000	Eu80B	Eu80B00	Speech disorder	47004009	Eu8	1
3259741000006110	500	^ESCTDY325974		Dysphonia	47004009		1
318038012	300	Ryu62	Ryu6200	Disorder of voice	47004009	Ryu	1
317296019	60000	R0444	R044400	[D]Dysphonia	47004009	R04	1
317291012	20000	R044	R044.00	Difficulty speaking	47004009	R04	1
931891000006117	300	R040-99	R040.99	Headache disorder	497101000000107	R04	1
894721000006111	7000	R0422-99	R042299	Lump In The Neck	497161000000106	R04	1
12455171000006113	1	^ESCT1245517		[D]Lump in head or neck	497161000000106		1
495617011	100000	1CA2	1CA2.00	Hoarse	50219008	1CA	1
1230849015	400000	1CA2-1	1CA2.11	Voice hoarseness	50219008	1CA	1
3313461000006119	100	^ESCTCR331346		Croaky voice	50219008		1
317297011	60000	R0445	R044500	Hoarseness	50219008	R04	1
1230846010	100000	1CA	1CA..00	Hoarseness symptom	50219008	1CA	1
3313451000006116	60	^ESCTHU331345		Husky voice	50219008		1
1230845014	10000	1CA-1	1CA..11	Hoarseness - throat symptom	50219008	1CA	1
253230012	9000	1CAZ	1CAZ.00	Hoarseness symptom NOS	50219008	1CA	1
3470701000006119	40	^ESCTSP347070		Specific reading difficulty	59770006		1
317310010	60000	R0463	R046300	Dyslexia	59770006	R04	1
317314018	2000	R0467	R046700	Apraxia	68345001	R04	1
503186018	4000	1C52	1C52.00	Sneezes	76067001	1C5	1
317323015	20000	R04z3	R04z300	Sneezing	76067001	R04	1
299181000006118	20000	R04z-1	R04z.11	Lesion of face	767811005	R04	1
12061251000006113	5	^ESCT1206125		Facial lesion	767811005		1
1222513012	8000	R060z-1	R060z11	[D]Mouth breather	77329001	R06	1
317322013	20000	R04z2	R04z200	Mouth breathing	77329001	R04	1
3799081000006115	8	^ESCTSM379908		Smelly breath	79879001		1
132523019	10000	1752-1	1752.11	Bad breath	79879001	175	1
1234408015	60000	1752	1752.00	Bad breath - halitosis	79879001	175	1
1222501019	900	R04z1-1	R04z111	[D]Foul breath	79879001	R04	1
317321018	20000	R04z1	R04z100	Breath smells unpleasant	79879001	R04	1
3799101000006111	3	^ESCTBR379910		Breath smells offensive	79879001		1
132522012	30000	1752-2	1752.12	Halitosis	79879001	175	1
3799111000006114	9	^ESCTFO379911		Foul breath	79879001		1
317302014	20000	R0450	R045000	Dysarthria	8011004	R04	1
317274013	4000	R0423	R042300	Intracranial space-occupying lesion	8533009	R04	1
3922111000006116	1	^ESCTAP392211		Aphasic disturbance	87486003		1
317290013	10000	R043	R043.00	Aphasia	87486003	R04	1
16222019	1000	E2F01-1	E2F0111	Word blindness	9236007	E2F	1
16220010	70	E2F01	E2F0100	Alexia	9236007	E2F	1
317308013	30	R0461	R046100	[D]Alexia	9236007	R04	1
317279015	2000	R0426	R042600	Localised cranial lesion	95638000	R04	1
12761751000006116	1	^ESCT1276175		Localised cranial lesion	95638000		1
4060161000006119	2	^ESCTLO406016		Localized intracranial lesion	95638000		1
4060151000006116	1	^ESCTLO406015		Localized cranial lesion	95638000		1
4060621000006118	5	^ESCTPA406062		Pain of face	95668009		1
295191000006117	20000	R0400-1	R040011	[D]Face ache	95668009	R04	1
317265011	300000	R0400	R040000	Facial pain	95668009	R04	1
512242016	50000	1M3	1M3..00	Pain in face	95668009	1M3	1
