medcodeid	observations	originalreadcode	cleansedreadcode	term	snomedctconceptid	rewas_readcode	Rash
2660251000006113	10	^ESCTPL266025		PLC - Pityriasis lichenoides chronica	10057001		1
2660211000006112	60	^ESCTCH266021		Chronic lichenoid pityriasis	10057001		1
2660261000006110	5	^ESCTGU266026		Guttate parapsoriasis	10057001		1
17555019	300	M1623	M162300	Parapsoriasis guttata	10057001	M16	1
1863241000006113	7	EMISNQPI8		Pityriasis lichenoides chronica	10057001		1
17554015	3000	M1623-1	M162311	Pityriasis lichenoides chronica	10057001	M16	1
317157019	8000	R0204	R020400	Hyperaesthesia	14151009	R02	1
11905471000006110	1	^ESCT1190547		Hyperesthesia	14151009		1
317164017	2000	R0208	R020800	Formication	15037002	R02	1
1222465012	80	R-1	R....11	[D]Signs as problem	160237006	R..	1
404231000006111	200	Ryu54	Ryu5400	[X]Oth & unspec sympt/sign involv gen sensations/perceptns	160237006	Ryu	1
317232015	300	R03-3	R03..13	[D]Nutrition, metabolic and developmental symptoms	160237006	R03	1
1222492018	2000	R03-1	R03..11	[D]Development symptoms	160237006	R03	1
317222010	500	R026z	R026z00	[D]Pallor and flushing NOS	160237006	R02	1
300271000006113	700	R03	R03..00	[D]Nutrition, metabolic and developmental symptoms	160237006	R03	1
317218017	600	R026	R026.00	[D]Pallor and flushing	160237006	R02	1
252307014	100000	16B3	16B3.00	Spontaneous bruising	161887000	16B	1
1222490014	30000	R027-1	R027.11	[D]Spontaneous bruising	161887000	R02	1
317155010	6000	R0202	R020200	Prickling sensation of skin	162248005	R02	1
253007014	2000	1B42	1B42.00	Has prickling sensation	162248005	1B4	1
253256017	400000	1D1	1D1..00	C/O: a general symptom	162409008	1D1	1
253273015	500	1D1Z	1D1Z.00	C/O: a general symptom NOS	162409008	1D1	1
4548451000006118	70	^ESCTCO454845		Complaining of a general symptom	162409008		1
2645631000000110	10000	1D11-1	1D11.11	C/O: a lump	162410003	1D1	1
4548471000006111	900	^ESCTCO454847		Complaining of a swelling	162410003		1
253257014	200000	1D11	1D11.00	C/O: a swelling	162410003	1D1	1
253258016	50000	1D12	1D12.00	C/O: stiffness	162411004	1D1	1
4548501000006116	200	^ESCTCO454850		Complaining of stiffness	162411004		1
4548521000006114	40000	^ESCTCO454852		Complaining of a rash	162415008		1
253265012	7000000	1D14	1D14.00	C/O: a rash	162415008	1D1	1
253269018	4000	1D16	1D16.00	C/O: a deformity	162417000	1D1	1
4548541000006119	7	^ESCTCO454854		Complaining of a deformity	162417000		1
317228014	7000	R0281	R028100	Thickening of skin	17417006	R02	1
317214015	300	R0240	R024000	[D]Cholaemia NOS	18165001	R02	1
317215019	7000	R0241	R024100	Icterus	18165001	R02	1
317212016	20000	R024	R024.00	[D]Jaundice (not of newborn)	18165001	R02	1
2788571000006113	10	^ESCTIC278857		Icteric	18165001		1
1222488013	100000	R0241-1	R024111	Jaundice	18165001	R02	1
758321000006111	80000	1675-1	1675.11	Jaundice - symptom	18165001	167	1
2788581000006111	30	^ESCTJA278858		Jaundiced	18165001		1
317216018	1000	R024z	R024z00	[D]Jaundice (not of newborn) NOS	18165001	R02	1
61141000006116	50000	A5	A5...00	Viral disease characterised by exanthem	186504007	A5.	1
286787019	100	A57y	A57y.00	Other specified viral exanthemata	186504007	A57	1
12704361000006117	1	^ESCT1270436		Viral disease characterized by exanthem	186504007		1
286794016	80	A57yz	A57yz00	Other specified viral exanthemata NOS	186504007	A57	1
587311000006114	300000	A57z-1	A57z.11	Nonspecific viral rash	186504007	A57	1
417271000006116	20	AyuAB	AyuAB00	Viral disease characterized by exanthem	186504007	Ayu	1
286799014	2000	A5z	A5z..00	Viral diseases with exanthemata NOS	186504007	A5z	1
286798018	200	A5y	A5y..00	Other specified viral diseases with exanthemata	186504007	A5y	1
631911000006116	1000	A57y0	A57y000	Duke's disease	186580000	A57	1
286791012	5	A57y3	A57y300	Parascarlatina	186580000	A57	1
286792017	7	A57y4	A57y400	Pseudoscarlatina	186581001	A57	1
32869011	400	M1602	M160200	Arthritis mutilans	19514005	M16	1
299281000000119	100000	1D1A	1D1A.00	Complaining of weight loss	198511000000103	1D1	1
4805761000006111	200	^ESCTPS480576		Psoriatic arthritis with spine involvement	200956002		1
198881000006116	1000	M1600	M160000	Psoriatic spondylitis	200956002	M16	1
308733019	900	M1611	M161100	Psoriasis annularis	200962007	M16	1
308734013	400	M1612	M161200	Psoriasis circinata	200963002	M16	1
308735014	1000	M1613	M161300	Psoriasis diffusa	200964008	M16	1
198791000006112	8000	M1614	M161400	Plaque psoriasis	200965009	M16	1
4805831000006110	8	^ESCTDI480583		Discoid psoriasis	200965009		1
4805821000006112	3	^ESCTNU480582		Nummular psoriasis	200965009		1
308739015	90	M1615	M161500	Psoriasis geographica	200966005	M16	1
308740018	10	M1617	M161700	Psoriasis gyrata	200967001	M16	1
308741019	60	M1618	M161800	Psoriasis inveterata	200968006	M16	1
198841000006110	20	M1619	M161900	Psoriasis ostracea	200969003	M16	1
4805881000006111	1	^ESCTOS480588		Ostraceous psoriasis	200969003		1
4805871000006113	10	^ESCTRU480587		Rupioid psoriasis	200969003		1
308744010	7000	M161A	M161A00	Psoriasis palmaris	200970002	M16	1
308745011	9000	M161B	M161B00	Psoriasis plantaris	200971003	M16	1
308746012	200	M161C	M161C00	Psoriasis punctata	200972005	M16	1
308747015	30000	M161D	M161D00	Pustular psoriasis	200973000	M16	1
308749017	300	M161E	M161E00	Psoriasis universalis	200974006	M16	1
4805951000006112	3	^ESCTPS480595		Psoriasis vulgaris & (Chronic large plaque psoriasis)	200975007		1
308750017	9000	M161F	M161F00	Psoriasis vulgaris	200975007	M16	1
308751018	700	M161G	M161G00	Acrodermatitis continua	200976008	M16	1
308752013	3000	M161H	M161H00	Erythrodermic psoriasis	200977004	M16	1
4805991000006118	7	^ESCTEX480599		Exfoliative dermatitis due to psoriasis	200977004		1
308756011	3	M1622	M162200	Parapsoriasis atrophicans	200981004	M16	1
308757019	2	M1624	M162400	Parapsoriasis herpetiformis	200982006	M16	1
4806031000006113	2000	^ESCTPI480603		Pityriasis lichenoides	200983001		1
243501000006111	600	M1625	M162500	Parapsoriasis lichenoides	200983001	M16	1
308761013	30	M1626	M162600	Parapsoriasis papulata	200984007	M16	1
308762018	400	M1627	M162700	Parapsoriasis varioliformis	200985008	M16	1
308769010	2	M162B	M162B00	Retiform parapsoriasis	200990006	M16	1
308772015	2000	M1651	M165100	Pityriasis folliculorum	200993008	M16	1
308773013	30	M1652	M165200	Pityriasis streptogenes	200994002	M16	1
248441000006115	500000	1D13-1	1D13.11	Pain	22253000	1D1	1
2854551000006119	1	^ESCTPA285455		Part hurts	22253000		1
37361011	400000	1M	1M...00	Pain	22253000	1M.	1
2854541000006116	30	^ESCTPA285454		Painful	22253000		1
40067019	1000	M1629	M162900	Small plaque parapsoriasis	23854007	M16	1
1887571000006111	4000	M161J	M161J00	Flexural psoriasis	238600001	M16	1
357612014	6	ESCTFL1		Flexural psoriasis	238600001		1
357623013	200000	M16y0	M16y000	Scalp psoriasis	238608008	M16	1
14197581000006110	800	^ESCT1419758		Psoriasis of scalp	238608008		1
456062013	400	R0282	R028200	Recurrent focal palmar peeling	238644003	R02	1
5124561000006113	8	^ESCTSU512456		Summer keratolysis	238644003		1
1227454013	600	R0282-1	R028211	[D]Periodic palmar peeling	238644003	R02	1
5124551000006111	1	^ESCTDE512455		Desquamation en aires	238644003		1
317220019	60000	R0261	R026100	Flushing	238810007	R02	1
5139581000006118	10	^ESCTPS513958		Psoriatic arthritis with distal interphalangeal joint involvement	239812005		1
359321011	200	M1601	M160100	Distal interphalangeal psoriatic arthropathy	239812005	M16	1
1550061000000111	3000	R0209	R020900	[D]Allodynia	247404004	R02	1
5243531000006119	700	^ESCTAL524353		Allodynia	247404004		1
1216109011	200000	R023z-1	R023z11	Dependent oedema	248499004	R02	1
5258481000006111	8	^ESCTMA525848		Mass of finger	248521008		1
317194011	30000	R022G	R022G00	Lump on finger	248521008	R02	1
397875012	7000	1674-1	1674.11	Pale - symptom	267029006	167	1
317219013	30000	R0260	R026000	[D]Pallor	267029006	R02	1
12222991000006118	3	^ESCT1222299		Pallor	267029006		1
1222489017	10000	R0260-1	R026011	[D]Pale	267029006	R02	1
5497831000006116	20	^ESCTIN549783		Interstitial oedema	267038008		1
397894019	600000	183	183..00	Oedema	267038008	183	1
317211011	70000	R023z	R023z00	[D]Oedema NOS	267038008	R02	1
317205013	400	R0232	R023200	[D]Dropsy	267038008	R02	1
317200015	100000	R023	R023.00	[D]Oedema	267038008	R02	1
252483012	30000	183Z	183Z.00	Oedema NOS	267038008	183	1
217681000000112	200000	183-1	183..11	Oedema - symptom	267038008	183	1
5498621000006119	1	^ESCTCO549862		Complaining of a pain	267104002		1
398003017	800000	1D13	1D13.00	C/O: a pain	267104002	1D1	1
398004011	40000	1D13-2	1D13.12	C/O - an ache	267104002	1D1	1
398005012	800000	1D15	1D15.00	C/O: itching	267105001	1D1	1
5498641000006114	3000	^ESCTCO549864		Complaining of itching	267105001		1
317149017	800000	R02	R02..00	Symptom of skin and integumentary tissue	271804005	R02	1
406760018	400000	1N	1N...00	Symptoms of skin and integumentary tissue	271804005	1N.	1
317153015	7000	R0200	R020000	Anaesthesia of skin	271805006	R02	1
1222487015	400000	R021z-1	R021z11	[D]Spots	271807003	R02	1
5529721000006118	6	^ESCTER552972		Eruption of skin	271807003		1
256131014	600000	2I14	2I14.00	O/E - a rash	271807003	2I1	1
317166015	3000000	R021	R021.00	Eruption	271807003	R02	1
5529691000006111	60	^ESCTRA552969		Rash	271807003		1
317167012	30000	R0210	R021000	Exanthem	271807003	R02	1
5529701000006111	5	^ESCTBR552970		Breaking out - eruption	271807003		1
317171010	1000000	R021z	R021z00	[D]Rash and other nonspecific skin eruption NOS	271807003	R02	1
5529671000006110	300	^ESCTSK552967		Skin rash	271807003		1
5529681000006113	30	^ESCTSK552968		Skin eruption	271807003		1
300341000006112	4000	R0230	R023000	[D]Oedema, generalized	271808008	R02	1
800791000006118	10000	1836	1836.00	Oedema, generalised	271808008	183	1
11905641000006117	2	^ESCT1190564		Peripheral edema	271809000		1
317208010	500000	R0234	R023400	Peripheral oedema	271809000	R02	1
317221015	6000	R0262	R026200	Excessive blushing	271812002	R02	1
317224011	10000	R0270	R027000	[D]Petechiae	271813007	R02	1
406782013	30000	2FS	2FS..00	Petechiae	271813007	2FS	1
317226013	9000	R028	R028.00	Changes in skin texture	274672009	R02	1
317230011	2000	R028z	R028z00	[D]Skin texture changes NOS	274672009	R02	1
317156011	60000	R0203	R020300	Tingling of skin	274676007	R02	1
253008016	200000	1B43	1B43.00	Has tingling sensation	274676007	1B4	1
300351000006114	30000	R0233	R023300	Localised oedema	274724004	R02	1
317181014	10000	R0225	R022500	Localised swelling, mass and lump, lower limb	274745006	R02	1
317184018	1000	R0226	R022600	Localised swelling, mass and lump, multiple sites	274746007	R02	1
317180010	20000	R0224	R022400	Localised swelling, mass and lump, upper limb	274750000	R02	1
483572016	8000	M166	M166.00	Palmoplantar pustular psoriasis	27520001	M16	1
1823821000006111	4000	EMISNQPA160		Palmoplantar pustulosis	27520001		1
2941411000006114	40	^ESCTPU294141		Pustulosis palmaris et plantaris	27520001		1
2941441000006113	1	^ESCTPP294144		PPP - Palmoplantar pustulosis	27520001		1
2941451000006110	1	^ESCTCH294145		Chronic palmoplantar pustular psoriasis	27520001		1
2941481000006119	900	^ESCTPU294148		Pustular psoriasis of palms and soles	27520001		1
411894018	300000	1D15-1	1D15.11	Scalp itchy	275921007	1D1	1
5846551000006111	10	^ESCTLU584655		Lump of skin	297960002		1
317199018	6000	R022z	R022z00	Mass of skin	297960002	R02	1
5886071000006116	20	^ESCTLU588607		Lump of axilla	300863000		1
317185017	200000	R0227	R022700	Mass of axilla	300863000	R02	1
317223017	7000	R027	R027.00	Spontaneous ecchymosis	302228007	R02	1
317225012	1000	R027z	R027z00	[D]Spontaneous ecchymoses NOS	302228007	R02	1
317231010	100000	R02z	R02z.00	[D]Skin symptoms NOS	308926009	R02	1
842441000006110	500000	1N0	1N0..00	Skin symptom	308926009	1N0	1
318009014	400	Ryu21	Ryu2100	Skin symptom findings	308926009	Ryu	1
317189011	20000	R022B	R022B00	Mass of hand	309526009	R02	1
317193017	10000	R022F	R022F00	Lump on thigh	309576006	R02	1
51959012	2000	M1628	M162800	Lymphomatoid papulosis	31047003	M16	1
6000471000006110	200	^ESCTCO600047		Complaining of pain in toe	310483003		1
454068014	30000	1D130	1D13000	C/O - pain in toe	310483003	1D1	1
454070017	70000	1D131-1	1D13111	C/O - pain in big toe	310484009	1D1	1
6000501000006115	400	^ESCTCO600050		Complaining of pain in hallux	310484009		1
454069018	20000	1D131	1D13100	C/O - pain in hallux	310484009	1D1	1
459715013	70	1D19	1D19.00	Pain in lymph nodes after alcohol consumption	315226008	1D1	1
6056051000006116	2	^ESCTPA605605		Pain of Metastatic Malignancy	315241008		1
459732012	10000	1D18	1D18.00	Pain from metastases	315241008	1D1	1
55628018	80000	M160-1	M160.11	Psoriatic arthritis	33339001	M16	1
