medcodeid	observations	originalreadcode	cleansedreadcode	term	snomedctconceptid	rewas_readcode	Respiratory
252384017	1000000	1731	1731.00	No breathlessness	161938003	173	1
252385016	600000	1732	1732.00	Breathless - moderate exertion	161939006	173	1
252386015	500000	1733	1733.00	Breathless - mild exertion	161940008	173	1
4545441000006113	1000	^ESCTSO454544		SOBAR - Shortness of breath at rest	161941007		1
4545421000006118	9000	^ESCTDY454542		Dyspnoea at rest	161941007		1
252387012	60000	1734	1734.00	Breathless - at rest	161941007	173	1
252406018	700000	173B	173B.00	Nocturnal cough / wheeze	161947006	173	1
5004081000006113	200	^ESCTDI500408		DIB - Difficulty in breathing	230145002		1
344917018	400000	1738	1738.00	Difficulty breathing	230145002	173	1
5004071000006110	1	^ESCTRE500407		Respiration difficult	230145002		1
371012016	8000	173D	173D.00	Nocturnal dyspnoea	248548009	173	1
5258891000006111	6	^ESCTSH525889		Short of breath at night	248548009		1
5497741000006119	200	^ESCTBR549774		Breathless	267036007		1
317392015	400000	R0608	R060800	[D]Shortness of breath	267036007	R06	1
317395018	200000	R060A	R060A00	[D]Dyspnoea	267036007	R06	1
140461000006116	2000000	173-3	173..13	Dyspnoea	267036007	173	1
451467013	70000	R060D	R060D00	[D]Breathlessness	267036007	R06	1
633381000006111	100000	173-2	173..12	Dyspnoea - symptom	267036007	173	1
252412011	40000	173Z	173Z.00	Breathlessness NOS	267036007	173	1
5497761000006115	300	^ESCTSO549776		SOB - Shortness of breath	267036007		1
397888010	1000000	173	173..00	Breathlessness	267036007	173	1
525741000006111	200000	173-1	173..11	Breathlessness symptom	267036007	173	1
5497731000006112	30	^ESCTDY549773		Dyspnea	267036007		1
397890011	800000	1739	1739.00	Shortness of breath	267036007	173	1
407082013	400000	1737-1	1737.11	Wheezing symptom	272040008	173	1
473141000000114	300000	173e	173e.00	Viral wheeze	276191000000107	173	1
494261000000111	200000	173e-1	173e.11	Viral induced wheeze	276191000000107	173	1
454009015	700000	173E	173E.00	Wheeze absent	310436000	173	1
3005811000006119	1	^ESCTEX300581		Exercise induced asthma	31387002		1
655611000006111	20000	H33zz-1	H33zz11	Exercise induced asthma	31387002	H33	1
655601000006113	400000	173A	173A.00	Exercise-induced asthma	31387002	173	1
