medcodeid	observations	originalreadcode	cleansedreadcode	term	snomedctconceptid	rewas_readcode	SkinInfection
18017016	10000	M12A2	M12A200	Solar urticaria	10347006	M12	1
2664581000006113	2	^ESCTSU266458		Sunlight-induced angio-oedema-urticaria	10347006		1
519651000006113	2000	M014	M014.00	Boil of hand	10453005	M01	1
888901000006113	300	M014-99	M014.99	Boil - hand	10453005	M01	1
2666301000006116	10	^ESCTFU266630		Furuncle of hand	10453005		1
308248014	80	M014z	M014z00	Boil of hand NOS	10453005	M01	1
308587010	1000	M1292	M129200	Irritant contact dermatitis caused by chemical	10628591000119103	M12	1
308581011	500	M1286	M128600	Allergic contact dermatitis due to plants, except food	10628711000119101	M12	1
9309971000006118	8	^ESCTAL930997		Allergic contact dermatitis caused by plant	10628711000119101		1
13873471000006119	2	^ESCT1387347		Allergic contact dermatitis caused by plant material	10628711000119101		1
362991000006116	500	Myu21	Myu2100	Allergic contact dermatitis caused by chemical	10676871000119103	Myu	1
308579014	1000	M1284	M128400	Allergic contact dermatitis due to other chemical products	10676871000119103	M12	1
591081000006111	2	M1263	M126300	Contact dermatitis due to poison sumac	10901008	M12	1
1775284012	30000	M129	M129.00	Irritant contact dermatitis	110979008	M12	1
4189031000006112	2	^ESCTIC418903		ICD - Irritant contact dermatitis	110979008		1
4189011000006118	1	^ESCTPR418901		Primary irritant dermatitis	110979008		1
394521000006117	200	Myu24	Myu2400	[X]Irritant contact dermatitis due to oth chemical products	110979008	Myu	1
309321019	300	Myu25	Myu2500	[X]Irritant contact dermatitis due to other agents	110979008	Myu	1
591021000006112	20	M1237	M123700	Contact dermatitis due to phenol	111190006	M12	1
178428014	30	M1245	M124500	Contact dermatitis due to insecticide	111192003	M12	1
308573010	100	M127z	M127z00	Contact dermatitis due to solar radn NOS	11804009	M12	1
308562015	2000	M1270	M127000	Unspecified contact dermatitis due to solar radiation	11804009	M12	1
889241000006114	3000	M127-99	M127.99	Contact dermatitis: sun	11804009	M12	1
20373018	20000	M127	M127.00	Contact dermatitis due to solar radiation	11804009	M12	1
814931000006110	500	M243	M243.00	Variation in hair colour	12168009	M24	1
192189011	9000	M102-1	M102.11	Pustular eczema	123700004	M10	1
195021000006118	10000	M07y-1	M07y.11	Pustular eczema	123700004	M07	1
472876012	200000	M08	M08..00	Cutaneous cellulitis	123951002	M08	1
370601000006113	6000	M081	M081.00	[X]Cellulitis of other parts of limb	123951002	M08	1
308453019	7000	M08y	M08y.00	Cellulitis of skin	123951002	M08	1
2697851000006111	500	^ESCTFU269785		Furuncle of buttock	12430003		1
888911000006111	3000	M015-99	M015.99	Boil - buttock	12430003	M01	1
473221018	40000	M015	M015.00	Boil of buttock	12430003	M01	1
473222013	7000	M0151	M015100	Boil of gluteal region	12430003	M01	1
308251019	2000	M015z	M015z00	Boil of buttock NOS	12430003	M01	1
21494013	50	M2431	M243100	Heterochromia of hair	12496007	M24	1
308368017	1000000	M03z0	M03z000	Cellulitis	128045006	M03	1
206541013	200000	M08B	M08B.00	Cellulitis of foot	128276007	M08	1
206704014	6	A742	A742.00	Coxsackie carditis	128405007	A74	1
286909013	2	A7420	A742000	Other specified coxsackie carditis	128405007	A74	1
286911016	2	A742z	A742z00	Unspecified coxsackie carditis	128405007	A74	1
308462017	4000	M09y	M09y.00	[X]Abscess of other site	128477000	M09	1
308369013	700000	M03z1	M03z100	Abscess	128477000	M03	1
301633017	400	H5011	H501100	Thorax abscess NOS	128477000	H50	1
309067011	30000	M244z	M244z00	Folliculitis NOS	13600006	M24	1
23210012	1000000	M244	M244.00	Folliculitis	13600006	M24	1
287522016	200	AB1y	AB1y.00	Other specified dermatomycoses	14560005	AB1	1
797031000006118	1000000	AB0-1	AB0..11	Dermal mycosis	14560005	AB0	1
2730661000006111	2	^ESCTFU273066		Fungal dermatitis	14560005		1
287523014	10000	AB1z	AB1z.00	Dermatomycosis	14560005	AB1	1
2730671000006116	100	^ESCTFU273067		Fungal dermatosis	14560005		1
2730651000006114	2	^ESCTCU273065		Cutaneous mycosis	14560005		1
476760014	300	M1445	M144500	Pemphigus vegetans	14800001	M14	1
25148011	100	M07y2	M07y200	Dermatitis vegetans	14800001	M07	1
226461000006117	200000	M100	M100.00	Pityriasis capitis - dandruff	156329007	M10	1
4515191000006118	1	^ESCTSE451519		Seborrhoea capitis	156329007		1
987591000006117	60	M101-97	M101.97	Seborrhoea capitis	156329007	M10	1
4515171000006119	2	^ESCTSE451517		Seborrheic dermatitis of scalp	156329007		1
1783489011	100000	M244-1	M244.11	Seborrhoea capitis	156329007	M24	1
4515181000006116	40	^ESCTSE451518		Seborrhoeic eczema of scalp	156329007		1
220911000000115	200000	M101-1	M101.11	Seborrhoeic dermatitis of scalp	156329007	M10	1
763481000006117	100000	M2441	M244100	Sycosis barbae	156410002	M24	1
399916012	20000	M12y8	M12y800	Allergic contact dermatitis due to metal	16228891000119105	M12	1
1221527016	200	M0125	M012500	Boil of flank	17379000	M01	1
2775841000006119	10	^ESCTFU277584		Furuncle of flank	17379000		1
590781000006115	300	M1231	M123100	Contact dermatitis due to fungicide	17946007	M12	1
286346017	10	AB11-1	AB11.11	Keratomycosis nigricans	186289000	AB1	1
286345018	700	AB11	AB11.00	Tinea nigra	186289000	AB1	1
286916014	70	A74y	A74y.00	Other specified coxsackie virus disease	186658007	A74	1
599261000006113	5000	A792	A792.00	Coxsackie virus disease	186658007	A79	1
286917017	2000	A74z	A74z.00	Coxsackie viral diseases NOS	186658007	A74	1
133451000006111	900	A74	A74..00	Specific diseases due to coxsackie virus	186658007	A74	1
286906018	3000	A740	A740.00	Herpangina	186659004	A74	1
287498010	10000	AB031	AB03100	Dermatophytosis of the perianal area	186991000	AB0	1
31691015	100	M1253	M125300	Contact dermatitis due to fruit	18793008	M12	1
2802881000006111	90	^ESCTTI280288		Tinea kerion	19087001		1
32172019	8000	AB00-1	AB00.11	Kerion	19087001	AB0	1
370621000006115	3000	M080-3	M080.13	[X]Cellulitis of thumb	19240003	M08	1
399909011	5000	M080	M080.00	Cellulitis of digit	19240003	M08	1
32771017	2000	M08A	M08A.00	Cellulitis of axilla	19457002	M08	1
33266015	6000	M240B	M240B00	Alopecia totalis	19754005	M24	1
309303017	20000	Myu0	Myu0.00	[X]Infections of the skin and subcutaneous tissue	19824006	Myu	1
399908015	1000000	M07z	M07z.00	Infection of skin and/or subcutaneous tissue	19824006	M07	1
12172671000006111	10	^ESCT1217267		Infection of skin and/or subcutaneous tissue	19824006		1
2814721000006111	400	^ESCTSK281472		Skin infection	19824006		1
15961000006118	7000	M07yz	M07yz00	Other spec local skin/subc infection NOS	19824006	M07	1
308463010	4000	M0y	M0y..00	Other specified infections of skin or subcutaneous tissue	19824006	M0y	1
2814711000006115	20	^ESCTIN281471		Infective dermatological disorders	19824006		1
415871000006114	200	Myu01	Myu0100	[X]Other specified local infections/skin+subcutaneous tissue	19824006	Myu	1
2814731000006114	300	^ESCTSK281473		Skin and subcutaneous tissue infection	19824006		1
12704631000006116	10	^ESCT1270463		Infection of skin AND/OR subcutaneous tissue	19824006		1
399910018	200000	M0z	M0z..00	Skin and subcut tissue infection NOS	19824006	M0z	1
143421000006115	1000000	M0	M0...00	Skin and subcutaneous tissue infections	19824006	M0.	1
308238012	1000	M0101	M010100	Boil of face (excluding eye)	200603001	M01	1
308241015	2000	M0104	M010400	Boil of external nose	200606009	M01	1
1001641000006113	2000	H1y1A	H1y1A00	Nasal furuncle	200606009	H1y	1
4803501000006117	1	^ESCTFU480350		Furuncle of back	200608005		1
308243017	7000	M0122	M012200	Boil of back	200608005	M01	1
308247016	400	M013z	M013z00	Boil of upper arm and forearm NOS	200610007	M01	1
308245012	10000	M013	M013.00	Boil of upper arm and forearm	200610007	M01	1
888891000006114	1000	M013-99	M013.99	Boil - upper arm and forearm	200610007	M01	1
308246013	700	M0133	M013300	Boil of elbow	200611006	M01	1
308253016	2000	M0163	M016300	Boil of lower leg	200618000	M01	1
308266016	20000	M02	M02..00	Cellulitis and abscess of finger and toe	200628009	M02	1
399893016	20000	M02z	M02z.00	Cellulitis and abscess of digit NOS	200628009	M02	1
888941000006110	1000	M02-99	M02..99	Cellulitis/abscess -finger/toe	200628009	M02	1
308281010	2000	M020z	M020z00	Cellulitis and abscess of finger NOS	200630006	M02	1
308270012	4000	M0200	M020000	Cellulitis and abscess of finger unspecified	200630006	M02	1
308269011	30000	M020	M020.00	Cellulitis and abscess of finger	200630006	M02	1
308279013	600	M0204	M020400	Finger web space infection	200635001	M02	1
308280011	2000	M0205	M020500	Pulp space infection of finger/thumb	200636000	M02	1
308282015	70000	M021	M021.00	Cellulitis and abscess of toe	200638004	M02	1
308283013	7000	M0210	M021000	Cellulitis and abscess of toe unspecified	200638004	M02	1
399892014	3000	M021z	M021z00	Cellulitis and abscess of toe NOS	200638004	M02	1
888961000006114	9000	M021-99	M021.99	Cellulitis - toe	200638004	M02	1
308285018	600	M0213	M021300	Pulp space infection of toe	200641008	M02	1
308300010	30000	M030	M030.00	Cellulitis and abscess of face	200645004	M03	1
308312014	2000	M030z	M030z00	Cellulitis and abscess of face NOS	200645004	M03	1
888991000006118	5000	M030-99	M030.99	Cellulitis/abscess - face	200645004	M03	1
308307013	700	M0302	M030200	Cellulitis and abscess of chin	200648002	M03	1
308308015	800	M0303	M030300	Cellulitis and abscess of submandibular region	200649005	M03	1
308309011	700	M0304	M030400	Cellulitis and abscess of forehead	200650005	M03	1
308310018	200	M0305	M030500	Cellulitis and abscess of temple region	200651009	M03	1
308311019	6000	M082	M082.00	Cellulitis of face	200652002	M08	1
541291000006111	60000	M0306	M030600	Cellulitis of face	200652002	M03	1
308316012	10000	M032	M032.00	Cellulitis and abscess of trunk	200655000	M03	1
308325018	200	M032z	M032z00	Cellulitis and abscess of trunk NOS	200655000	M03	1
