medcodeid	observations	originalreadcode	cleansedreadcode	term	snomedctconceptid	rewas_readcode	Syncope
785381000006113	30000	13CC	13CC.00	Immobile	102491009	13C	1
1817081000006119	2000	R00C	R00C.00	[D]Immobility	102491009	R00	1
250474012	30000	3980	3980.00	Immobile	102491009	398	1
1222478012	400	R007z-2	R007z12	[D]Overwork	105490003	R00	1
4119601000006111	10	^ESCTOV411960		Overwork	105490003		1
348287011	2000	AE1	AE1..00	Late effects of acute poliomyelitis	110270004	AE1	1
426301000006114	900	AyuJ5	AyuJ500	[X]Sequelae of poliomyelitis	110270004	Ayu	1
301341000006119	900	R0076	R007600	[D]Post polio exhaustion	110270004	R00	1
4177151000006119	10	^ESCTLA417715		Late effects of poliomyelitis	110270004		1
4177161000006117	40	^ESCTSE417716		Sequelae of poliomyelitis	110270004		1
298141000006116	40000	R0072-1	R007211	Weakness - general	13791008	R00	1
406378013	50000	R2y3	R2y3.00	Debility	13791008	R2y	1
2718681000006113	300	^ESCTWE271868		Weakness	13791008		1
317066018	20000	R0072	R007200	Asthenia	13791008	R00	1
1222479016	20000	R007z-1	R007z11	Lassitude	13791008	R00	1
2718651000006117	100	^ESCTGE271865		General weakness	13791008		1
2718701000006111	9	^ESCTFE271870		Feeling weak	13791008		1
250489015	300000	13CE	13CE.00	Mobility poor	160693001	13C	1
317082017	20000	R00A	R00A.00	Poor mobility	160693001	R00	1
253039019	10000	1B61	1B61.00	No consciousness disturbance	162264002	1B6	1
253056010	200000	1B68	1B68.00	Felt faint	162271007	1B6	1
317089014	6000	R00z4	R00z400	Sedated	17971005	R00	1
317049015	700	R0055	R005500	[D]Sleep rhythm inversion	192008004	R00	1
4766571000006116	1	^ESCTSL476657		Sleep rhythm inversion	192008004		1
295430016	100	E274F	E274F00	Inversion of sleep rhythm	192008004	E27	1
4766561000006111	90	^ESCTRE476656		Reversed sleep-wake cycle	192008004		1
1222474014	70000	R005-1	R005.11	[D]Insomnia - symptom	193462001	R00	1
345377013	500000	E2741-1	E274111	Insomnia NOS	193462001	E27	1
317035012	500000	R0052	R005200	[D]Insomnia NOS	193462001	R00	1
217721000000117	1000000	1B1B	1B1B.00	Insomnia	193462001	1B1	1
747481000006115	200000	168-2	168..12	Lethargy	214264003	168	1
4875741000006118	100	^ESCTLE487574		Lethargic	214264003		1
317067010	200000	R0073	R007300	[D]Lethargy	214264003	R00	1
345323014	10000	667B	667B.00	Nocturnal epilepsy	230445007	667	1
1173961000000112	4000	R0034	R003400	Night seizure	230445007	R00	1
5008031000006115	4	^ESCTSL500803		Sleep-related epilepsy	230445007		1
317051016	200	R0057	R005700	Non-24 hour sleep-wake cycle	230496009	R00	1
346898013	5000	E030-2	E030.12	Toxic confusional state	231439009	E03	1
317081012	500	R0090	R009000	[D]Toxic confusional state	231439009	R00	1
317015011	10000	R0024	R002400	Micturition syncope	234168001	R00	1
2533616016	600	R0025	R002500	Defaecation syncope	234169009	R00	1
11928031000006118	2	^ESCT1192803		Defecation syncope	234169009		1
5118091000006110	4	^ESCTSI511809		SIRS - System inflammatory response syndrome	238149007		1
1817031000006115	700	R00B	R00B.00	Systemic inflammatory response syndrome	238149007	R00	1
5251531000006116	10	^ESCTPH525153		Physically assaultive behaviour	248004009		1
5251521000006119	100	^ESCTVI525152		Violent behaviour	248004009		1
5251551000006111	10	^ESCTVI525155		Violent behavior	248004009		1
317096011	7000	R00zA	R00zA00	Physical aggression	248004009	R00	1
5251541000006114	1	^ESCTPH525154		Physically assaultive behavior	248004009		1
370559010	20000	1B6A	1B6A.00	Muzzy headed	248224004	1B6	1
1838981000006113	20	EMISNQFU2		Funny turn	248228001		1
5254571000006116	3	^ESCTFU525457		Funny spell	248228001		1
370565010	90000	1B6D	1B6D.00	Funny turn	248228001	1B6	1
663641000006119	200000	1B6-1	1B6..11	Faint symptom	248229009	1B6	1
370568012	100000	1B6-3	1B6..13	Vasovagal symptom	248229009	1B6	1
397878014	2000000	168	168..00	Tiredness symptom	267031002	168	1
317069013	400000	R0075	R007500	[D]Tiredness	267031002	R00	1
252288017	70000	168Z	168Z.00	Tiredness symptom NOS	267031002	168	1
397981017	5000	1B67	1B67.00	Gets drowsiness	267088000	1B6	1
812481000006110	300000	1B65	1B65.00	Had a collapse	270891002	1B6	1
5526511000006114	100	^ESCTFA552651		Faint	271594007		1
1222468014	90000	R002-1	R002.11	Syncope	271594007	R00	1
5526501000006111	100	^ESCTFA552650		Fainting	271594007		1
514841000006111	60000	1B66-1	1B66.11	Blackout - symptom	271594007	1B6	1
317011019	80000	R0020	R002000	Blackout	271594007	R00	1
317012014	300000	R0021	R002100	Syncope	271594007	R00	1
5526491000006115	10	^ESCTSY552649		Syncope attack	271594007		1
11811691000006118	500	^ESCT1181169		Blackout	271594007		1
