medcodeid	observations	originalreadcode	cleansedreadcode	term	snomedctconceptid	rewas_readcode	Urinary
178650019	100	K19y2	K19y200	Urethral granuloma	111412007	K19	1
19500014	900	K15y1	K15y100	Irradiation cystitis	11251000	K15	1
2679261000006112	70	^ESCTRA267926		Radiation cystitis	11251000		1
2162087010	1000	K195	K195.00	Prolapsed urethral mucosa	12068006	K19	1
20799011	4000	K195-1	K195.11	Urethrocele	12068006	K19	1
2692141000006116	40	^ESCTPR269214		Prolapse of urethra	12068006		1
229791000006112	6000	K190X	K190X00	Persistent proteinuria	12511000132108	K19	1
305218010	1000	Kyu5G	Kyu5G00	[X]Persistent proteinuria, unspecified	12511000132108	Kyu	1
304366013	600	K19yz	K19yz00	Other urinary tract disorders NOS	128606002	K19	1
886801000006118	400	K19-99	K19..99	Urethral/urinary disorders NOS	128606002	K19	1
304365012	2000	K19yw	K19yw00	Disorder of urinary system, unspecified	128606002	K19	1
304367016	1000	K19z	K19z.00	Urethral and urinary tract disorders NOS	128606002	K19	1
396726010	2000	K19	K19..00	Other urethral and urinary tract disorders	128606002	K19	1
460714019	20000	ZV474	ZV47400	Disorder of the urinary system	128606002	ZV4	1
304369018	50	K1y	K1y..00	Other specified diseases of urinary system	128606002	K1y	1
304370017	3000	K1z	K1z..00	Other urinary system diseases NOS	128606002	K1z	1
4411851000006111	2	^ESCTUR441185		Urinary system disorder	128606002		1
396717012	3000	K13	K13..00	Other kidney and ureter disorders	128606002	K13	1
4411841000006114	20	^ESCTUR441184		Urological disorder	128606002		1
4411831000006116	6	^ESCTUR441183		Urinary system disease	128606002		1
305201011	40	Kyu5	Kyu5.00	[X]Other diseases of urinary system	128606002	Kyu	1
305213018	40	Kyu5B	Kyu5B00	[X]Other specified disorders of urinary system	128606002	Kyu	1
27451000006113	700	K13y	K13y.00	Other kidney and ureteric disorders	128606002	K13	1
304059017	4000	K1	K1...00	Disorder of the urinary system	128606002	K1.	1
22733019	6000	K15y0	K15y000	Cystitis cystica	13285005	K15	1
25430011	2000	K191	K191.00	Urethral fistula	14981000	K19	1
25748018	200	K1911	K191100	Urethrorectal fistula	15165002	K19	1
2740321000006113	2	^ESCTRE274032		Recto-urethral fistula	15165002		1
2579112017	50000	1A53-2	1A53.12	C/O - lumbar pain	161894002	1A5	1
4545181000006114	7000	^ESCTCO454518		Complaining of low back pain	161894002		1
252314011	3000000	16C5	16C5.00	C/O - low back pain	161894002	16C	1
252819013	7000	1A5	1A5..00	Genitourinary pain	162138001	1A5	1
252846015	2000	1A5Z	1A5Z.00	Genitourinary pain NOS	162138001	1A5	1
252821015	6000	1A51	1A51.00	No genitourinary pain	162139009	1A5	1
252836017	800	1A58-1	1A58.11	Female genital pain	162143008	1A5	1
252835018	5000	1A58	1A58.00	Pain in female genitalia	162143008	1A5	1
962331000006111	3000	1A5E	1A5E.00	Pain of vulva	162145001	1A5	1
252838016	70000	1A581	1A58100	Vulval pain	162145001	1A5	1
252841013	600000	1A59	1A59.00	C/O pelvic pain	162147009	1A5	1
1222528012	200000	R090G-1	R090G11	[D] Pelvic pain	162147009	R09	1
4546871000006112	3000	^ESCTCO454687		Complaining of pelvic pain	162147009		1
252842018	30000	1A5A	1A5A.00	C/O perineal pain	162148004	1A5	1
4546891000006113	100	^ESCTCO454689		Complaining of perineal pain	162148004		1
28519014	9000	1A56	1A56.00	Strangury	16844001	1A5	1
317513013	1000	R0811	R081100	Stranguria	16844001	R08	1
2767351000006114	600	^ESCTPA276735		Painful urging to urinate	16844001		1
478111016	40000	1A54	1A54.00	Ureteric colic	17329003	1A5	1
317509018	20000	R0801	R080100	[D]Ureteric colic	17329003	R08	1
304177012	50000	K151	K151.00	Chronic interstitial cystitis	197834003	K15	1
304183010	3000	K151z	K151z00	Chronic interstitial cystitis NOS	197834003	K15	1
