MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
3413131000006114	100	^ESCTAN341313		Anglican Church	56201008	93457019	10
2691976017	20	13z4	13z4.00	Armenian Catholic	428816005	2691976017	17
1726211000006114	7	EMISNQAR11		Armenian Catholic, follower of religion	1726211000006105	1726211000006114	10
7094121000006112	10	^ESCTAR709412		Armenian Catholic, follower of religion	428816005	2696091018	17
642491000000117	20	13z2	13z2.00	Armenian Orthodox	344141000000104	642491000000117	17
1726221000006118	8	EMISNQAR12		Armenian Orthodox, follower of religion	1726221000006102	1726221000006118	10
8110981000006115	8	^ESCTAR811098		Armenian Orthodox, follower of religion	344141000000104	642471000000116	17
135537015	200	13zl	13zl.00	Ashkenazi Jew	81706006	135537015	17
1726141000006116	2	EMISNQAS14		Ashkenazi Jew, follower of religion	1726141000006100	1726141000006116	10
3828731000006119	8	^ESCTAS382873		Ashkenazi Jew, follower of religion	81706006	2672044018	17
991961000006113	60	EMISNQAS2		Ashkenazi Jewish religion	991961000006109	991961000006113	10
1805011000006119	2	EMISNQAS30		Assyrian Church of the East	1805011000006103	1805011000006119	17
1805021000006110	2	EMISNQAS31		Assyrian Church of the East, follower of religion	1805021000006106	1805021000006110	17
250262011	60000	1354	1354.00	Atheist	160542002	250262011	10
5580961000006111	100	^ESCTAT558096		Atheist movement	276114002	412107018	31
3025481000006115	2	^ESCTBA302548		Baptist Church	32617004	54451019	31
713371000000117	60	13z1	13z1.00	Bulgarian Orthodox	368061000000102	713371000000117	17
1726231000006115	10	EMISNQBU8		Bulgarian Orthodox, follower of religion	1726231000006104	1726231000006115	10
8119471000006116	30	^ESCTBU811947		Bulgarian Orthodox, follower of religion	368061000000102	713381000000115	17
5581091000006114	1000	^ESCTCA558109		Catholic religion	276120001	412122011	31
713401000000115	4000	13z9	13z9.00	Catholic: non Roman Catholic	368071000000109	713401000000115	17
8119491000006115	800	^ESCTCA811949		Catholic: non Roman Catholic, follower of religion	368071000000109	713411000000118	17
1725251000006119	8	EMISNQCA76		Catholic: Not Roman Catholic	1725251000006103	1725251000006119	10
713431000000114	40	13ym	13ym.00	Celtic Christian	368081000000106	713431000000114	17
1725571000006110	10	EMISNQCE7		Celtic Christian, follower of religion	1725571000006106	1725571000006110	10
8119511000006114	40	^ESCTCE811951		Celtic Christian, follower of religion	368081000000106	713441000000117	17
713461000000116	40	13yn	13yn.00	Celtic Orthodox Christian	368091000000108	713461000000116	17
1725581000006113	200	EMISNQCE8		Celtic Orthodox Christian, follower of religion	1725581000006109	1725581000006113	10
8119531000006115	100	^ESCTCE811953		Celtic Orthodox Christian, follower of religion	368091000000108	713471000000111	17
713491000000110	10	13yp	13yp.00	Chinese Evangelical Christian	368101000000100	713491000000110	17
1725921000006115	10	EMISNQCH53		Chinese Evangelical Christian, follower of religion	1725921000006104	1725921000006115	10
8119551000006110	6	^ESCTCH811955		Chinese Evangelical Christian, follower of religion	368101000000100	713501000000116	17
250274010	800000	135A	135A.00	Christian	160549006	250274010	10
713521000000113	6	13yl	13yl.00	Christian Existentialist	368111000000103	713521000000113	17
1725591000006111	8	EMISNQCH48		Christian Existentialist, follower of religion	1725591000006107	1725591000006111	10
8119571000006117	30	^ESCTCH811957		Christian Existentialist, follower of religion	368111000000103	713531000000110	17
713551000000115	5	13yk	13yk.00	Christian Humanist	368121000000109	713551000000115	17
1725601000006115	10	EMISNQCH49		Christian Humanist, follower of religion	1725601000006104	1725601000006115	10
8119591000006116	20	^ESCTCH811959		Christian Humanist, follower of religion	368121000000109	713561000000117	17
5581011000006116	2000	^ESCTCH558101		Christian religion	276116000	412112017	31
250267017	900	1356	1356.00	Christian Scientist	160544001	250267017	10
5581151000006116	1	^ESCTCH558115		Christian Scientist religious movement	276122009	412128010	31
4532751000006111	20	^ESCTCH453275		Christian Scientist, follower of religion	160544001	2667943018	10
2694508012	70	13yj	13yj.00	Christian Spiritualist	428504005	2694508012	17
1725611000006117	40	EMISNQCH50		Christian Spiritualist, follower of religion	1725611000006101	1725611000006117	10
7089551000006110	30	^ESCTCH708955		Christian Spiritualist, follower of religion	428504005	2692244019	17
4532801000006116	10000	^ESCTCH453280		Christian, follower of religion	160549006	2667945013	10
250254015	400	135-1	135..11	Church - religion	160538000	250254015	17
713581000000114	9	13z8	13z8.00	Church in Wales	368131000000106	713581000000114	17
1726321000006113	8	EMISNQCH54		Church in Wales, follower of religion	1726321000006109	1726321000006113	10
8119611000006110	3	^ESCTCH811961		Church in Wales, follower of religion	368131000000106	713591000000111	17
992501000006111	200	EMISNQCH8		Church of Christ	992501000006107	992501000006111	10
453390010	300000	1351	1351.00	Church of England	309887007	453390010	10
992491000006115	100	EMISNQCH7		Church of God	992491000006104	992491000006115	10
642581000000118	10	13ya	13ya.00	Church of God of Prophecy	344161000000103	642581000000118	17
1726331000006111	7	EMISNQCH55		Church of God of Prophecy, follower of religion	1726331000006107	1726331000006111	10
8111041000006119	2	^ESCTCH811104		Church of God of Prophecy, follower of religion	344161000000103	642591000000116	17
992021000006113	70	EMISNQCH5		Church of Ireland	307098003	450277018	10
713621000000114	20	13z7	13z7.00	Church of Ireland, follower of religion	368141000000102	713621000000114	17
2713031000006112	60	^ESCTCH271303		Church of Jesus Christ of latter day saint	13439009	1220967018	10
2712991000006117	5	^ESCTCH271299		Church of Jesus Christ of Latter Day Saints	13439009	22968013	10
250288014	1000	135J	135J.00	Church of Scotland	160561003	250288014	10
4532991000006115	1	^ESCTCH453299		Church of Scotland religion	160561003	250289018	10
642621000000118	80	13zJ	13zJ.00	Church of Scotland, follower of religion	344171000000105	642621000000118	17
1804981000006114	20	EMISNQCH94		Churches of Christ	1804981000006105	1804981000006114	17
1804991000006112	20	EMISNQCH95		Churches of Christ, follower of religion	1804991000006108	1804991000006112	17
992051000006116	9	EMISNQCO15		Conservative Jewish religion	298044001	438664010	10
2695421010	6	13yu	13yu.00	Coptic Orthodox	428373004	2695421010	17
1726241000006113	5	EMISNQCO69		Coptic Orthodox, follower of religion	1726241000006109	1726241000006113	10
7087551000006115	3	^ESCTCO708755		Coptic Orthodox, follower of religion	428373004	2691832013	17
314411000000116	2000	135X	135X.00	Eastern Catholic religion	205051000000104	531721000000111	10
713641000000119	30	13z0	13z0.00	Eastern Orthodox	368151000000104	713641000000119	17
1726251000006110	30	EMISNQEA5		Eastern Orthodox, follower of religion	1726251000006106	1726251000006110	10
8119651000006111	10	^ESCTEA811965		Eastern Orthodox, follower of religion	368151000000104	713651000000116	17
992391000006113	10	EMISNQEP1		Episcopal church	992391000006109	992391000006113	10
3413141000006116	3	^ESCTEP341314		Episcopal Church	56201008	93458012	10
1726261000006112	20	EMISNQET4		Ethiopian Orthodox	1726261000006108	1726261000006112	10
7087671000006112	5	^ESCTET708767		Ethiopian Orthodox	428378008	2693985012	17
2695527012	20	13yt	13yt.00	Ethiopian Orthodox Tewahedo	428378008	2695527012	17
7087661000006117	2	^ESCTET708766		Ethiopian Orthodox Tewahedo, follower of religion	428378008	2693002011	17
250293012	1000	135L	135L.00	Evangelical	160563000	250293012	10
713671000000113	100	13yo	13yo.00	Evangelical Christian	368161000000101	713671000000113	17
1725901000006113	30	EMISNQEV1		Evangelical Christian, follower of religion	1725901000006109	1725901000006113	10
8119671000006118	60	^ESCTEV811967		Evangelical Christian, follower of religion	368161000000101	713681000000110	17
1725861000006118	100	EMISNQFO10		Follower of Church of England	1725861000006102	1725861000006118	10
1738021000006112	10000	13zp	13zp.00	Follower of Church of England	344151000000101	642561000000110	17
642801000000114	3	13yq	13yq.00	Follower of Church of Nazarene	344241000000109	642801000000114	17
1726501000006113	20	EMISNQFO16		Follower of Free Christian Church	1726501000006109	1726501000006113	10
8111081000006113	10	^ESCTFO811108		Follower of Free Christian Church	344211000000108	642711000000118	17
642831000000115	8	13zL	13zL.00	Follower of New Testament Church of God	344251000000107	642831000000115	17
643111000000110	30	13zE	13zE.00	Follower of United Reformed Church	344361000000101	643111000000110	17
642701000000115	10	13yZ	13yZ.00	Free Church	344211000000108	642701000000115	17
642731000000114	10	13zD	13zD.00	Free Church of Scotland	344221000000102	642731000000114	17
1726351000006116	6	EMISNQFR12		Free Church of Scotland, follower of religion	1726351000006100	1726351000006116	10
8111101000006117	1	^ESCTFR811110		Free Church of Scotland, follower of religion	344221000000102	642741000000117	17
713701000000112	1	13zW	13zW.00	Free Evangelical Presbyterian	368171000000108	713701000000112	17
8119691000006117	1	^ESCTFR811969		Free Evangelical Presbyterian, follower of religion	368171000000108	713711000000114	17
713761000000111	20	13yY	13yY.00	Greek Catholic	368191000000107	713761000000111	17
1726371000006114	30	EMISNQGR9		Greek Catholic, follower of religion	1726371000006105	1726371000006114	10
8119741000006115	20	^ESCTGR811974		Greek Catholic, follower of religion	368191000000107	713771000000116	17
2692760016	500	13z3	13z3.00	Greek Orthodox	429158002	2692760016	17
992421000006117	500	EMISNQGR2		Greek orthodox church	992421000006101	992421000006117	10
2739151000006112	400	^ESCTGR273915		Greek Orthodox Church	15089007	25620010	10
1725971000006119	80	EMISNQGR8		Greek orthodox, follower of religion	1725971000006103	1725971000006119	10
7099161000006119	100	^ESCTGR709916		Greek Orthodox, follower of religion	429158002	2692761017	17
2693198016	5	13zo	13zo.00	Haredi Jew	427950002	2693198016	17
7081201000006110	1	^ESCTHA708120		Haredi Jew, follower of religion	427950002	2693199012	17
477048013	3	13zn	13zn.00	Hasidic Jew	360984002	477048013	17
1725711000006113	8	EMISNQHA35		Hasidic Jew, follower of religion	1725711000006109	1725711000006113	10
6218141000006119	1	^ESCTHA621814		Hasidic Jew, follower of religion	360984002	2670754018	17
539441000000110	100	13y3	13y3.00	Humanist	303721000000103	539441000000110	17
1725381000006117	1	EMISNQHU9		Humanist	1725381000006101	1725381000006117	10
734971000000111	20	13yz	13yz.00	Indian Orthodox	373891000000101	734971000000111	17
1726271000006117	10	EMISNQIN52		Indian Orthodox, follower of religion	1726271000006101	1726271000006117	10
8121691000006114	9	^ESCTIN812169		Indian Orthodox, follower of religion	373891000000101	734981000000113	17
250265013	20000	1355	1355.00	Jewish	160543007	250265013	10
138241000000113	30000	9iF6	9iF6.00	Jewish - ethnic category 2001 census	88991000000105	138241000000113	22
4532721000006119	300	^ESCTJE453272		Jewish, follower of religion	160543007	2667942011	10
713791000000117	300	13yi	13yi.00	Judaic Christian	368201000000109	713791000000117	17
1725621000006113	7	EMISNQJU2		Judaic Christian, follower of religion	1725621000006109	1725621000006113	10
8119761000006116	20	^ESCTJU811976		Judaic Christian, follower of religion	368201000000109	713801000000118	17
5581121000006113	20	^ESCTJU558112		Judaism	276121002	412127017	31
2695096016	5	13zj	13zj.00	Liberal Jew	427754003	2695096016	17
1726151000006119	3	EMISNQLI31		Liberal Jew, follower of religion	1726151000006103	1726151000006119	10
7078251000006110	3	^ESCTLI707825		Liberal Jew, follower of religion	427754003	2695097013	17
992121000006114	10	EMISNQLI1		Liberal Jewish religion	298043007	438661019	10
3014141000006113	1	^ESCTLU301414		Lutheran Church	31918008	53335019	10
2694716017	1	13zm	13zm.00	Masorti Jew	429534008	2694716017	17
7104891000006113	1	^ESCTMA710489		Masorti Jew, follower of religion	429534008	2692819018	17
714481000000110	10	13yh	13yh.00	Messianic Jew	368421000000104	714481000000110	17
1725951000006112	1	EMISNQME22		Messianic Jew, follower of religion	1725951000006108	1725951000006112	10
2958571000006110	50	^ESCTME295857		Methodist Church	28554003	47789014	31
314451000000117	30	135a	135a.00	Moravian Church	439283003	2791980014	10
642791000000110	1	13yq-1	13yq.11	Nazarene Church	344241000000109	642791000000110	17
992471000006116	20	EMISNQNE13		New Apostolic church	992471000006100	992471000006116	10
992451000006114	5	EMISNQNE12		New testament church	992451000006105	992451000006114	10
713921000000117	200	13yW	13yW.00	Old Catholic	368241000000107	713921000000117	17
1726391000006110	100	EMISNQOL1		Old Catholic, follower of religion	1726391000006106	1726391000006110	10
8119811000006111	70	^ESCTOL811981		Old Catholic, follower of religion	368241000000107	713931000000115	17
1805001000006117	10	EMISNQOR15		Oriental Orthodox	1805001000006101	1805001000006117	17
2692578012	20000	135d	135d.00	Orthodox Christian	428503004	2692578012	10
992181000006113	4	EMISNQOR2		Orthodox Christian religion	992181000006109	992181000006113	10
5847411000006112	30	^ESCTOR584741		Orthodox Christian religion	298019009	438616018	31
7089531000006115	500	^ESCTOR708953		Orthodox Christian, follower of religion	428503004	2692579016	10
2695980016	20	13zi	13zi.00	Orthodox Jew	429644000	2695980016	17
1726161000006117	20	EMISNQOR13		Orthodox Jew, follower of religion	1726161000006101	1726161000006117	10
7106461000006113	1	^ESCTOR710646		Orthodox Jew, follower of religion	429644000	2695835016	17
940211000006118	100	EMISNQOR1		Orthodox Jewish	940211000006102	940211000006118	17
1672271000006113	6000	EMISNQOR10		Orthodox Jewish Faith	55248004	91854014	10
992251000006113	1	EMISNQRE45		Reconstructionist Jewish religion	298046004	438669017	10
2696089014	2	13zh	13zh.00	Reform Jew	429509008	2696089014	17
1726171000006112	2	EMISNQRE113		Reform Jew, follower of religion	1726171000006108	1726171000006112	10
992261000006110	7	EMISNQRE46		Reform Jewish religion	60587004	1232106010	10
713951000000110	20	13zP	13zP.00	Reformed Christian	368251000000105	713951000000110	17
1725631000006111	30	EMISNQRE111		Reformed Christian, follower of religion	1725631000006107	1725631000006111	10
8119831000006117	6	^ESCTRE811983		Reformed Christian, follower of religion	368251000000105	713961000000113	17
250259013	400000	1352	1352.00	Roman Catholic	160540005	250259013	10
4532681000006114	5000	^ESCTRO453268		Roman Catholic, follower of religion	160540005	2667941016	10
714041000000110	1000	13yy	13yy.00	Romanian Orthodox	368281000000104	714041000000110	17
1726281000006119	600	EMISNQRO6		Romanian Orthodox, follower of religion	1726281000006103	1726281000006119	10
8119891000006118	100	^ESCTRO811989		Romanian Orthodox, follower of religion	368281000000104	714051000000113	17
2694490013	200	13ys	13ys.00	Russian Orthodox	429544005	2694490013	17
992411000006113	200	EMISNQRU1		Russian orthodox church	992411000006109	992411000006113	10
1726061000006116	10	EMISNQRU4		Russian Orthodox, follower of religion	1726061000006100	1726061000006116	10
7105081000006115	30	^ESCTRU710508		Russian Orthodox, follower of religion	429544005	2693053012	17
1726011000006119	5	EMISNQSC11		Scientologist, follower of Church of Scientology	1726011000006103	1726011000006119	10
992281000006117	2	EMISNQSE10		Sefardi Jewish religion	992281000006101	992281000006117	10
85962014	5	13zk	13zk.00	Sephardic Jew	51616000	85962014	17
643011000000114	20	13yx	13yx.00	Serbian Orthodox	344321000000109	643011000000114	17
992551000006110	50	EMISNQSE12		Serbian orthodox church	992551000006106	992551000006110	10
1726081000006114	2	EMISNQSE40		Serbian Orthodox, follower of religion	1726081000006105	1726081000006114	10
8111261000006111	1	^ESCTSE811126		Serbian Orthodox, follower of religion	344321000000109	643021000000115	17
714111000000110	20	13yw	13yw.00	Syrian Orthodox	368301000000103	714111000000110	17
8119971000006113	3	^ESCTSY811997		Syrian Orthodox, follower of religion	368301000000103	714121000000116	17
714141000000111	20	13z5	13z5.00	Ukrainian Catholic	368311000000101	714141000000111	17
992431000006119	50	EMISNQUK1		Ukrainian catholic church	992431000006103	992431000006119	10
1726101000006118	4	EMISNQUK5		Ukrainian Catholic, follower of religion	1726101000006102	1726101000006118	10
8119991000006114	3	^ESCTUK811999		Ukrainian Catholic, follower of religion	368311000000101	714151000000114	17
735001000000115	9	13yv	13yv.00	Ukrainian Orthodox	373901000000100	735001000000115	17
1726301000006115	10	EMISNQUK6		Ukrainian Orthodox, follower of religion	1726301000006104	1726301000006115	10
8121711000006112	10	^ESCTUK812171		Ukrainian Orthodox, follower of religion	373901000000100	735011000000118	17
1058761000000113	10	13yV	13yV.00	Uniate Catholic	491801000000107	1058761000000113	17
1726411000006110	4	EMISNQUN15		Uniate Catholic, follower of religion	1726411000006106	1726411000006110	10
8186621000006111	7	^ESCTUN818662		Uniate Catholic, follower of religion	491801000000107	1058731000000115	17
992361000006117	2	EMISNQUN3		Unification church religious movement	298112003	438739018	10
250286013	400	135H	135H.00	United Reform Church	160559007	250286013	10
643101000000113	3	13zE-1	13zE.11	United Reformed Church	344361000000101	643101000000113	17
4532941000006112	4	^ESCTUN453294		United Reformed Church	160559007	2695724015	10
1804961000006116	4	EMISNQUN21		Uniting Church in Australia	1804961000006100	1804961000006116	17
992481000006118	9	EMISNQWE3		Welsh independent church	992481000006102	992481000006118	10
314431000000112	1000	135Y	135Y.00	Spiritualism	205061000000101	531731000000113	10
992511000006114	4	EMISNQSP3		Spiritualist	992511000006105	992511000006114	10
250299011	10000	135P	135P.00	Agnostic	160567004	250299011	10
5580941000006112	90	^ESCTAG558094		Agnostic movement	276113008	412106010	31
490271012	50000	135B	135B.00	Sikh	366740002	490271012	10
142891000000115	4000	9iF8	9iF8.00	Sikh - ethnic category 2001 census	94141000000107	142891000000115	22
3605071000006112	400	^ESCTSI360507		Sikhism	67929006	112841010	31
3605081000006110	1	^ESCTSI360508		Sikh religion	67929006	500878016	31
4952731000006113	1	^ESCTSI495273		Sikh diet	226228003	339895014	31
5841561000006116	8	^ESCTSI584156		Sikh punjabi language	297541000	438071018	31
6296681000006115	2000	^ESCTSI629668		Sikh, follower of religion	366740002	2670552017	10
4952781000006114	60	^ESCTHA495278		Halal meat diet	226233004	339900013	31
46891017	2000	13590	1359000	Shiite muslim	28010004	46891017	10
453387016	100000	1359-1	1359.11	Muslim	309884000	453387016	10
120361000006112	10000	13591	1359100	Sunni muslim	64988008	499996010	10
138281000000117	10000	9iF7	9iF7.00	Muslim - ethnic category 2001 census	89031000000104	138281000000117	22
992331000006114	30	EMISNQSU4		Sufi muslim religion	298029002	438636017	10
1672281000006111	200	EMISNQSU11		Sunni muslim religion	298030007	438637014	17
1726471000006118	400	EMISNQIS5		Ismaili Muslim, follower of religion	428801007	2693320013	10
2949541000006113	30	^ESCTSH294954		Shiite muslim, follower of religion	28010004	2669952017	10
3557061000006114	100	^ESCTSU355706		Sunni muslim, follower of religion	64988008	2671703010	10
5524081000006117	500	^ESCTMU552408		Muslim religion	271390004	406161012	10
5847541000006112	5	^ESCTSH584754		Shi'ite muslim religion	298026009	438629018	31
5993601000006117	7000	^ESCTMU599360		Muslim, follower of religion	309884000	2670264014	10
406160013	300000	1359	1359.00	Islam	271390004	406160013	10
4153301000006110	7	^ESCTIS415330		Islam AND/OR derivative	108337002	172776018	31
453156010	30000	135S	135S.00	Buddhist	309687009	453156010	10
2691802017	2	13yR	13yR.00	Nichiren Buddhist	428666001	2691802017	17
2692549011	4	13yM	13yM.00	Theravada Buddhist	428407001	2692549011	17
2692745019	6	13yS	13yS.00	New Kadampa Tradition Buddhist	429527006	2692745019	17
2693056016	3	13yN	13yN.00	Mahayana Buddhist	429533002	2693056016	17
2694018011	10	13yP	13yP.00	Zen Buddhist	427981006	2694018011	17
2694566014	20	13yL	13yL.00	Tibetan Buddhist	428496003	2694566014	17
2695628010	9	13yQ	13yQ.00	Pure Land Buddhist	428820009	2695628010	17
142881000000117	400	9iF4	9iF4.00	Buddhist - ethnic category 2001 census	94131000000103	142881000000117	22
992001000006115	30	EMISNQCE2		Central Asian buddhist religion	298042002	438660018	10
992011000006117	100	EMISNQCH4		Chinese buddhist religion	298041009	438657013	10
992091000006110	20	EMISNQJA2		Japanese buddhist religion	298040005	438656016	10
992151000006117	7	EMISNQMA1		Mahayana buddhist religion	298039008	438653012	10
992311000006115	30	EMISNQSI3		Sinhalese buddhist religion	298038000	438650010	10
992321000006111	8	EMISNQSO4		South East Asia buddhist religion	298037005	438649010	10
992341000006116	3	EMISNQTH7		Theravada buddhist religion	298036001	438646015	10
992351000006119	5	EMISNQTI1		Tibetan buddhist religion	298035002	438645016	10
992381000006110	8	EMISNQWE1		Western buddhist religion	298034003	438642018	10
1725191000006116	1	EMISNQNE26		New Kadampa Tradition Buddhist, follower of religion	1725191000006100	1725191000006116	10
1725201000006118	2	EMISNQNI5		Nichiren Buddhist, follower of religion	1725201000006102	1725201000006118	10
1725211000006115	1	EMISNQPU5		Pure Land Buddhist, follower of religion	1725211000006104	1725211000006115	10
1725221000006111	10	EMISNQZE1		Zen Buddhist, follower of religion	1725221000006107	1725221000006111	10
1725821000006112	2	EMISNQMA82		Mahayana Buddhist, follower of religion	1725821000006108	1725821000006112	10
1725831000006110	4	EMISNQTH19		Theravada Buddhist, follower of religion	1725831000006106	1725831000006110	10
1725841000006117	7	EMISNQTI5		Tibetan Buddhist, follower of religion	1725841000006101	1725841000006117	10
3044271000006116	60	^ESCTBU304427		Buddhism	33822009	56457018	31
5991891000006112	600	^ESCTBU599189		Buddhist, follower of religion	309687009	2670320016	10
7081631000006117	1	^ESCTZE708163		Zen Buddhist, follower of religion	427981006	2694764014	17
7088151000006112	2	^ESCTTH708815		Theravada Buddhist, follower of religion	428407001	2693911013	17
7089441000006112	1	^ESCTTI708944		Tibetan Buddhist, follower of religion	428496003	2691859017	17
7094171000006113	1	^ESCTPU709417		Pure Land Buddhist, follower of religion	428820009	2692569018	17
7104871000006112	2	^ESCTMA710487		Mahayana Buddhist, follower of religion	429533002	2693057013	17
250276012	1000	135C	135C.00	Mixed religion	160551005	250276012	10
250278013	800000	135D	135D.00	Religion, none	160552003	250278013	10
250279017	2000	135E	135E.00	Religious observance	160553008	250279017	10
250281015	3000	135E1	135E100	Religious observance lax	160554002	250281015	17
250283017	4000	135E3	135E300	Religious observance strict	160556000	250283017	17
456656019	100000	135Q	135Q.00	Refusal by patient to provide information about religion	763896000	3645189016	10
1227751018	10	ZV624-3	ZV62413	[V]Religious discrimination	1003002	2763010	32
1227759016	800	ZV626-2	ZV62612	[V]Refusal of treatment for reasons of religion	183945002	2870969013	32
138631000006113	400	135M	135M.00	Quaker religion	160564006	250294018	10
180761000006118	3000	135E2	135E200	Religious observance moderate	160555001	250282010	17
347071000006112	1000	ZV626	ZV62600	Procedure refused for religious reason	183945002	2870969013	32
713191000000116	100	135l	135l.00	African religion, follower of religion	368001000000101	713191000000116	17
713251000000118	9	135m	135m.00	Yoruba, follower of religion	368021000000105	713251000000118	17
714711000000111	4	135x	135x.00	Native American religion, follower of religion	368511000000109	714711000000111	17
991941000006114	4	EMISNQAR1		Arcane school religion	298025008	438628014	10
991951000006111	3	EMISNQAR2		Arminianist religion	81918007	504831010	10
991971000006118	6	EMISNQBA1		Babis religion	298027000	438632015	10
991981000006115	70	EMISNQBA2		Baha'is religion	23635009	1223127016	10
991991000006117	9	EMISNQCA38		Calvinist religion	6904009	501172013	10
992031000006111	10	EMISNQCO13		Confucian religion	80062005	504316013	10
992041000006118	20	EMISNQCO14		Congregationalist religion	38052003	1229379016	10
992061000006119	7	EMISNQEC2		Eckankar religion	298032004	438640014	10
992071000006114	3	EMISNQEM4		Eminist religion	298033009	438641013	10
992081000006112	40	EMISNQIS1		Isma'ilis religion	298028005	438633013	10
992101000006116	20	EMISNQKR1		Krishna consciousness religious movement	298113008	438741017	10
992111000006118	4	EMISNQLA3		Lamaist religion	32983008	1228021015	10
992131000006112	8	EMISNQLI2		Liberal protestant religion	298022006	438622010	10
992141000006119	100	EMISNQLU1		Lutheran religion	31918008	1227881017	10
992201000006114	1	EMISNQPA12		Para-religious movement	298047008	438670016	10
992211000006112	4	EMISNQPR10		Primal society religion	298048003	438671017	10
992221000006116	1000	EMISNQPR11		Protestant religion	298020003	438618017	10
992231000006118	3	EMISNQPI2		Pietist religion	298023001	438625012	10
992241000006111	60	EMISNQQU1		Quaker religion	992241000006107	992241000006111	10
992271000006115	20	EMISNQSC2		Scottish protestant religion	298021004	438621015	10
992291000006119	300	EMISNQSE11		Seventh day adventist religion	298024007	992291000006119	10
992301000006118	30	EMISNQSH1		Shintoist religion	18707003	1222154013	10
992371000006112	50	EMISNQUN4		Unitarian religion	48308004	495052016	10
992441000006112	9	EMISNQCH6		Chapel religion	992441000006108	992441000006112	10
992461000006111	10	EMISNQAS3		Assemblies of God religious movement	992461000006107	992461000006111	10
