MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
973061000006116	1	TRIQQZZ62		** The ABC of sleep disorders	973061000006100	973061000006116	37
1222474014	70000	R005-1	R005.11	[D]Insomnia - symptom	193462001	297924011	32
317035012	500000	R0052	R005200	[D]Insomnia NOS	193462001	297924011	32
1705911000006115	20000	R0084	R008400	[D]Night sweats	42984000	71717017	27
457106016	60000	R0053-1	R005311	[D]Sleep apnoea syndrome	502901000000102	1112961000000111	32
317032010	100000	R0050	R005000	[D]Sleep disturbance, unspecified	44186003	493802012	32
317054012	5000	R005z	R005z00	[D]Sleep dysfunction NOS	39898005	67285010	32
317049015	700	R0055	R005500	[D]Sleep rhythm inversion	192008004	295428018	32
1222473015	2000	R005-2	R005.12	[D]Sleep rhythm problems	3745000	1229316019	32
303181000006112	2000	R0053-2	R005312	[D]Syndrome sleep apnoea	502901000000102	1112961000000111	32
317069013	400000	R0075	R007500	[D]Tiredness	267031002	397878014	27
909831000006113	2000	HNGNQRF28		[RFC] Child behaviour - sleeping problem	909831000006109	909831000006113	12
908521000006119	30000	HNG0510		[RFC] Sleeping problem	908521000006103	908521000006119	12
379691000006110	200	Eu51z-1	Eu51z11	[X]Emotional sleep disorder NOS	270487001	405106013	32
399991000006114	2000	Eu515	Eu51500	[X]Nightmares	419145002	2576558010	32
400071000006111	60	Eu512	Eu51200	[X]Nonorganic disorder of the sleep-wake schedule	268722008	401890019	32
400111000006115	30	Eu511	Eu51100	[X]Nonorganic hypersomnia	230488004	345382018	32
296396019	200	Eu51z	Eu51z00	[X]Nonorganic sleep disorder, unspecified	270487001	405106013	32
400141000006116	500	Eu51	Eu51.00	[X]Nonorganic sleep disorders	270487001	405106013	32
296394016	50	Eu51y	Eu51y00	[X]Other nonorganic sleep disorders	270487001	405106013	32
299344018	2000	Fyu58	Fyu5800	[X]Other sleep disorders	39898005	67285010	32
424041000006116	4	Eu512-3	Eu51213	[X]Psychogenic inversion of sleep rhythm	268722008	401890019	32
427011000006112	500	Eu514	Eu51400	[X]Sleep terrors	89675003	508626017	32
427021000006116	5000	Eu513	Eu51300	[X]Sleepwalking	80495009	2951689017	32
5255141000006117	5	^ESCTAL525514		Always sleepy	248262001	370621011	31
1208957016	200000	663r	663r.00	Asthma causes night symptoms 1 to 2 times per month	370205009	1208957016	1
1807941000006112	1	JHCAS6		Asthma causes night time asthma symptoms weekly or more often	1807941000006108	1807941000006112	1
1807931000006119	1	JHCAS5		Asthma causes night time symp more than 2 times a month,not wkly	1807931000006103	1807931000006119	1
1722421000000110	200000	66Yq	66Yq.00	Asthma causes night time symptoms 1 to 2 times per week	771901000000100	1722421000000110	1
1807921000006117	1	JHCAS4		Asthma causes night time symptoms less than 2 times per month	1807921000006101	1807921000006117	1
1722501000000119	100000	66Yr	66Yr.00	Asthma causes symptoms most nights	771941000000102	1722501000000119	1
264541019	300000	663N0	663N000	Asthma causing night waking	170632009	264541019	1
264540018	1000000	663N	663N.00	Asthma disturbing sleep	170631002	264540018	1
264543016	200000	663N2	663N200	Asthma disturbs sleep frequently	170634005	264543016	1
264542014	200000	663N1	663N100	Asthma disturbs sleep weekly	170633004	264542014	1
264545011	2000000	663O0	663O000	Asthma never disturbs sleep	170636007	264545011	1
1488722011	100000	66YP	66YP.00	Asthma night-time symptoms	395022009	1488722011	1
264544010	7000000	663O	663O.00	Asthma not disturbing sleep	170635006	264544010	1
8088821000006119	2	^ESCTBE808882		Behavioral insomnia of childhood, sleep onset association type	288101000119104	2922260013	31
8088831000006116	2	^ESCTBE808883		Behavioral insomnia of childhood, sleep onset type	288101000119104	2955687011	31
8027311000006113	1	^ESCTBE802731		Behavioural insomnia of childhood	90361000119105	2922246011	31
5250891000006113	2	^ESCTBL525089		Blank, staring face whilst sleep walking	247958000	370184018	31
4196281000006111	20	^ESCTBR419628		Breathing-related sleep disorder	111489007	178729017	31
3593421000006114	3	^ESCTBR359342		Broken sleep	67233009	1232897010	27
407107015	300000	1683-1	1683.11	C/O - 'tired all the time'	272062008	407107015	27
252940010	7000	1B1D	1B1D.00	C/O nightmares	162207007	252940010	27
5255021000006111	60	^ESCTCA525502		Cannot sleep at all	248255005	370609012	31
2939301000006117	1	^ESCTCE293930		Central sleep apnea	27405005	1217741015	32
1772651000006110	300	EMISNQCE14		Central sleep apnoea	27405005	1216240012	32
2939251000006112	5	^ESCTCE293925		Central sleep apnoea syndrome	27405005	196594018	32
7860671000006111	20	^ESCTCH786067		Chronic insomnia	724748004	3446682012	31
299001000000116	30000	66Yg	66Yg.00	Chronic obstructive pulmonary disease disturbs sleep	198401000000104	299001000000116	1
299031000000110	100000	66Yh	66Yh.00	Chronic obstructive pulmonary disease does not disturb sleep	198411000000102	299031000000110	1
5255081000006110	2	^ESCTCI525508		Circumstances interfere with sleep	248258007	370615012	31
407067015	600000	1B1B-1	1B1B.11	Complaining of insomnia	272025006	2669520013	27
4547211000006116	100	^ESCTCO454721		Complaining of nightmares	162207007	2666128014	27
8058301000006110	3	^ESCTCO805830		COPD (chronic obstructive pulmonary disease) disturbs sleep	198401000000104	1677391000000113	1
1780361011	20000	1BX0	1BX0.00	Delayed onset of sleep	401161007	1780361011	27
841621000006110	20	EGTONDE1		Delayed Onset Of Sleep	841621000006106	841621000006110	32
917101000006119	3	PC0099		Delayed onset of sleep	917101000006103	917101000006119	42
3811441000006117	10	^ESCTDE381144		Delayed sleep phase syndrome	80623000	1234500013	31
3459321000006115	2	^ESCTDI345932		Difficulty falling asleep	59050008	1231910010	27
3459341000006110	6	^ESCTDI345934		Difficulty getting to sleep	59050008	1231912019	27
3459331000006117	3	^ESCTDI345933		Difficulty in sleep initiation	59050008	1231911014	27
3593451000006117	2	^ESCTDI359345		Difficulty in sleep maintenance	67233009	1232900015	27
1806241000006116	40000	EMISNQDI85		Difficulty sleeping	301345002	442628015	27
460422010	200	ZV1B1	ZV1B100	Disorder of sleep-wake cycle	271794005	406736017	32
299274011	50000	Fy00	Fy00.00	Disorders of initiating and maintaining sleep	194437008	299274011	32
406739012	2000	Fy02	Fy02.00	Disorders of the sleep-wake schedule	271794005	406739012	32
2927251000006119	10	^ESCTDI292725		Disturbed sleep pattern	26677001	213809012	31
7217661000006113	1	^ESCTED721766		Education about sleep hygiene behavior	439035007	2795192016	32
643141000000111	40000	8G9B	8G9B.00	Education about sleep hygiene behaviour	439035007	2792682019	32
5008641000006117	2	^ESCTEX500864		Excess daytime sleepiness with sleep paralysis	230492006	345387012	31
5008611000006116	30	^ESCTEX500861		Excessive day and night-time sleepiness	230490003	345384017	31
5008601000006119	20	^ESCTEX500860		Excessive daytime sleepiness - normal night sleep	230489007	345383011	31
14072441000006115	2	^ESCT1407244		Excessive daytime sleepiness with sleep paralysis	230492006	3787266019	31
1234153012	20000	1BX1	1BX1.00	Excessive sleep	77692006	1234153012	32
3764071000006116	200	^ESCTEX376407		Excessive sleepiness	77692006	1234155017	32
6042691000006116	800	^ESCTFE604269		Feeling tired	314109004	458402014	31
1821501000006116	1	JHCFR1		Frequent night time asthma symptoms	1821501000006100	1821501000006116	1
960601000006110	800	EMISCFR1		Frequently wakes during night	960601000006106	960601000006110	27
