medcodeid	term	originalreadcode	cleansedreadcode	snomedctconceptid	category
11998361000006119	FTND (Fagerstrom Test for Nicotine Dependence) total score	^ESCT1199836		762991003	Smoking
12024761000006112	Monitoring of smoking cessation therapy declined	^ESCT1202476		765001003	Smoking
12482301000006115	Admitted tobacco cons untrue ?	^ESCT1248230		160613002	Smoking
7859791000006118	Abuse of nicotine	^ESCTAB785979		724697004	Smoking
4533531000006119	Admitted tobacco consumption possibly untrue	^ESCTAD453353		160613002	Smoking
4939241000006115	Advice on effects of smoking on health	^ESCTAD493924		225323000	Smoking
4939251000006118	Advice on smoking	^ESCTAD493925		225323000	Smoking
5495901000006112	Amount and type of tobacco smoked	^ESCTAM549590		266918002	Smoking
2636041000006110	Cessation of smoking	^ESCTCE263604		8517006	Smoking
3256651000006113	Cigarette cough	^ESCTCI325665		46802002	Smoking
3959121000006115	Compulsive tobacco user syndrome	^ESCTCO395912		89765005	Smoking
4765721000006119	Continuous tobacco use	^ESCTCO476572		191887008	Smoking
7682161000006118	Counseling about tobacco use	^ESCTCO768216		711028002	Smoking
8012751000006116	Did not attend smoking cessation clinic	^ESCTDI801275		25261000000107	Smoking
4980601000006117	Dry powdered nasal tobacco use	^ESCTDR498060		228489002	Smoking
3199011000006119	ETS - Exposed to tobacco smoke	^ESCTET319901		43381005	Smoking
2651031000006111	Extrinsic staining of tooth - tobacco	^ESCTEX265103		9473008	Smoking
3199021000006110	Exposed to environmental tobacco smoke	^ESCTEX319902		43381005	Smoking
3199031000006113	Exposed to tobacco smoke	^ESCTEX319903		43381005	Smoking
3199051000006118	Exposed to second hand tobacco smoke	^ESCTEX319905		43381005	Smoking
5496031000006112	Ex-cigarette smoker amount unknown	^ESCTEX549603		266928006	Smoking
7859781000006116	Harmful pattern of use of nicotine	^ESCTHA785978		724697004	Smoking
3199041000006115	Involuntary smoker	^ESCTIN319904		43381005	Smoking
5495921000006119	Never smoked	^ESCTNE549592		266919005	Smoking
2988071000006112	Nicotine-related disorder	^ESCTNI298807		30310000	Smoking
2988081000006110	Nicotine induced mental disorder	^ESCTNI298808		30310000	Smoking
3615221000006116	Nicotine	^ESCTNI361522		68540007	Smoking
5495941000006114	Occasional smoker	^ESCTOC549594		266920004	Smoking
5495951000006111	Occasional cigarette smoker (less than one cigarette/day)	^ESCTOC549595		266920004	Smoking
8153371000006117	Occasional tobacco smoker	^ESCTOC815337		428041000124106	Smoking
8153381000006119	Occasional smoker	^ESCTOC815338		428041000124106	Smoking
4640171000006113	Pregnancy smoking education	^ESCTPR464017		171055003	Smoking
8190531000006112	Referral to NHS (National Health Service) stop smoking service	^ESCTRE819053		505281000000106	Smoking
4640191000006114	Smoking in pregnancy education	^ESCTSM464019		171055003	Smoking
4939261000006116	Smoking effects education	^ESCTSM493926		225324006	Smoking
6649431000006116	Smoking cessation program start date	^ESCTSM664943		401160008	Smoking
8244731000006115	Stop smoking invitation text message	^ESCTST824473		783381000000101	Smoking
8244751000006110	Stop smoking invitation first text message	^ESCTST824475		783401000000101	Smoking
8244771000006117	Stop smoking invitation second text message	^ESCTST824477		783441000000103	Smoking
8244791000006116	Stop smoking invitation third text message	^ESCTST824479		783481000000106	Smoking
3959131000006117	Tabagism	^ESCTTA395913		89765005	Smoking
2651021000006113	Tobacco deposit on teeth	^ESCTTO265102		9473008	Smoking
3959111000006111	Tobacco dependence syndrome	^ESCTTO395911		89765005	Smoking
3959141000006110	Tobacco abuse	^ESCTTO395914		89765005	Smoking
4180321000006116	Tobacco user	^ESCTTO418032		110483000	Smoking
4180331000006118	Tobacco use	^ESCTTO418033		110483000	Smoking
4765711000006110	Tobacco use, continuous	^ESCTTO476571		191887008	Smoking
4765751000006111	Tobacco dependence, in remission	^ESCTTO476575		191889006	Smoking
7087721000006115	Varenicline tartrate	^ESCTVA708772		428382005	Smoking
102921000006112	Tobacco consumption	137	137..00	266918002	Smoking
397732011	Never smoked tobacco	1371	1371.00	266919005	Smoking
137721000006115	Smoker - amount smoked	137-1	137..11	266918002	Smoking
14866014	Non-smoker	1371-1	1371.11	8392000	Smoking
88471000006112	Trivial smoker - < 1 cig/day	1372	1372.00	266920004	Smoking
397733018	Occasional smoker	1372-1	1372.11	428041000124106	Smoking
743331000006116	Light smoker - 1-9 cigs/day	1373	1373.00	160603005	Smoking
700121000006118	Moderate smoker - 10-19 cigs/d	1374	1374.00	160604004	Smoking
819331000006110	Heavy smoker - 20-39 cigs/day	1375	1375.00	160605003	Smoking
67621000006112	Very heavy smoker - 40+cigs/d	1376	1376.00	160606002	Smoking
250363016	Ex-trivial smoker (<1/day)	1377	1377.00	266921000	Smoking
250364010	Ex-light smoker (1-9/day)	1378	1378.00	266922007	Smoking
250365011	Ex-moderate smoker (10-19/day)	1379	1379.00	266923002	Smoking
344795016	Pipe tobacco consumption	137a	137a.00	230058003	Smoking
250366012	Ex-heavy smoker (20-39/day)	137A	137A.00	266924008	Smoking
250367015	Ex-very heavy smoker (40+/day)	137B	137B.00	266925009	Smoking
1488577017	Ready to stop smoking	137b	137b.00	394872000	Smoking
250368013	Keeps trying to stop smoking	137C	137C.00	160612007	Smoking
1488576014	Thinking about stopping smoking	137c	137c.00	394871007	Smoking
250369017	Admitted tobacco cons untrue ?	137D	137D.00	160613002	Smoking
1488578010	Not interested in stopping smoking	137d	137d.00	394873005	Smoking
250370016	Tobacco consumption unknown	137E	137E.00	160614008	Smoking
2670126018	Smoking restarted	137e	137e.00	308438006	Smoking
250371017	Ex-smoker - amount unknown	137F	137F.00	8517006	Smoking
1780360012	Reason for restarting smoking	137f	137f.00	401159003	Smoking
903041000006110	EX-Smoker NOS	137F-99	137F.99	266928006	Smoking
250372012	Trying to give up smoking	137G	137G.00	160616005	Smoking
1780396011	Cigarette pack-years	137g	137g.00	401201003	Smoking
136515019	Pipe smoker	137H	137H.00	82302008	Smoking
2474719011	Minutes from waking to first tobacco consumption	137h	137h.00	413173009	Smoking
