MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
316931000000112	6000	8B2R	8B2R.00	Drug addiction detoxification therapy - buprenorphine	206131000000102	316931000000112	32
302981000000113	20000	8B2N	8B2N.00	Drug addiction detoxification therapy - methadone	200021000000100	302981000000113	32
316901000000118	30000	8B2Q	8B2Q.00	Drug addiction maintenance therapy - buprenorphine	206121000000104	316901000000118	32
1715521000000114	10	8B231	8B23100	Drug addiction maintenance therapy - lofexidine	768711000000101	1715521000000114	32
303011000000111	80000	8B2P	8B2P.00	Drug addiction maintenance therapy - methadone	200031000000103	303011000000111	32
1715481000000114	100	8B230	8B23000	Drug addiction maintenance therapy - naltrexone	768691000000103	1715481000000114	32
397153012	700000	8B23	8B23.00	Drug addiction therapy	266707007	397153012	32
630131000006118	300000	8B23-1	8B23.11	Drug addiction therapy - methadone	310653000	454263010	32
630361000006113	60000	8B23-3	8B23.13	Drug dependence therapy	266707007	397153012	32
910591000006118	200	HNGNQRF104		[RFC] Drug addiction	910591000006102	910591000006118	12
379251000006119	8000	Eu122-1	Eu12211	[X]Drug addiction - cannabis	85005007	140938016	32
379261000006117	6000	Eu142-1	Eu14211	[X]Drug addiction - cocaine	31956009	53398019	32
379271000006112	90	Eu162-1	Eu16211	[X]Drug addiction - hallucinogen	38247002	64025010	32
379281000006110	30000	Eu112-1	Eu11211	[X]Drug addiction - opioids	75544000	125472011	32
295213015	500	Eu182-1	Eu18211	[X]Drug addiction - solvent	191853003	295213015	32
379301000006114	3000	Eu192-1	Eu19211	[X]Drug addiction NOS	191816009	295145018	32
379311000006112	6000	Eu132-1	Eu13211	[X]Drug addiction- sedative / hypnotics	427327003	2673574010	32
379321000006116	1000	Eu152-1	Eu15211	[X]Drug addiction-other stimul	191816009	295145018	32
318059017	3	Ryu86	Ryu8600	[X]Finding of other drugs of addictive potential in blood	935531000000107	2396111000000116	32
371621000000117	3000	7P220	7P22000	Delivery of rehabilitation for drug addiction	231221000000105	371621000000117	32
342438017	600	1V0C	1V0C.00	Drug addict	228373001	342438017	27
295146017	80000	E24-1	E24..11	Drug addiction	6525002	11819014	32
3476221000006116	1	^ESCTDR347622		Drug addiction counseling	60112009	99861010	32
461113010	30000	ZV6D7	ZV6D700	Drug addiction counselling	60112009	1207797010	32
8061171000006115	200	^ESCTDR806117		Drug addiction therapy - buprenorphine	201311000000102	306201000000111	31
680771000006112	2000	Q4850	Q485000	Neonatal withdrawal symptoms from maternal use of drugs of addiction	206572008	316813011	32
2566911000006114	100	^ESCTPA256691		Patient referral for drug addiction rehabilitation	4266003	2566911000006114	40
13763901000006112	70	^ESCT1376390		Referral to drug addiction rehabilitation service	4266003	3705394010	40
910581000006116	2000	HNGNQRF103		[RFC] Drug/ substance abuse	910581000006100	910581000006116	12
4177311000006117	1	^ESCTCH417731		Chronic drug abuse	110281001	175057016	31
2604131000006116	8	^ESCTDE260413		Dependent drug abuse	6525002	11818018	32
5506501000006116	1	^ESCTDE550650		Dependent sedative or hypnotic drug abuse	268640002	401792016	32
2923041000006117	1000	^ESCTDR292304		Drug abuse	26416006	44243014	17
4979111000006111	1	^ESCTDR497911		Drug abuse behavior	228366006	342428010	27
4979091000006119	50	^ESCTDR497909		Drug abuse behaviour	228366006	342426014	27
6218931000006110	9	^ESCTDR621893		Drug abuser	361055000	477159018	17
4979221000006113	2	^ESCTPO497922		Poly-drug abuser	228372006	342436018	27
1780455014	10000	8H7x	8H7x.00	Referral to drug abuse counsellor	401266006	1780455014	40
253488010	10000	1J1	1J1..00	Suspected drug abuse	162591001	253488010	27
401801011	2000	E25y	E25y.00	Non dependent drug abuse	49540005	82514017	32
295322016	1000	E259	E259.00	Nondependent mixed drug abuse	191934007	295322016	32
295328017	200	E259z	E259z00	Nondependent mixed drug abuse NOS	191934007	295322016	32
295324015	60	E2591	E259100	Nondependent mixed drug abuse, continuous	191936009	295324015	32
295325019	100	E2592	E259200	Nondependent mixed drug abuse, episodic	191937000	295325019	32
295323014	700	E2590	E259000	Nondependent mixed drug abuse, unspecified	191934007	295322016	32
295338010	20	E25y3	E25y300	Nondependent other drug abuse in remission	66214007	109958011	17
295336014	50	E25y1	E25y100	Nondependent other drug abuse, continuous	426590003	2674598013	32
295337017	70	E25y2	E25y200	Nondependent other drug abuse, episodic	66214007	109958011	17
295335013	80	E25y0	E25y000	Nondependent other drug abuse, unspecified	66214007	109958011	17
8065181000006115	10	^ESCTEP806518		Episodic nondependent crack cocaine abuse	204641000000107	313541000000119	31
500344018	20000	E25	E25..00	Nondependent abuse of drugs	66214007	500344018	17
401797010	100000	E250	E250.00	Nondependent alcohol abuse	268645007	401797010	32
295254011	900	E2503	E250300	Nondependent alcohol abuse in remission	191884001	295254011	32
295255012	5000	E250z	E250z00	Nondependent alcohol abuse NOS	268645007	401797010	32
295252010	3000	E2501	E250100	Nondependent alcohol abuse, continuous	191882002	295252010	32
295253017	4000	E2502	E250200	Nondependent alcohol abuse, episodic	191883007	295253017	32
295251015	40000	E2500	E250000	Nondependent alcohol abuse, unspecified	268645007	401797010	32
2475580010	50	E257z-1	E257z11	Nondependent amfetamine or psychostimulant abuse NOS	268648009	401800012	32
2475577014	6	E2571-1	E257111	Nondependent amfetamine or psychostimulant abuse, continuous	191924003	2475577014	32
2475578016	6	E2572-1	E257211	Nondependent amfetamine or psychostimulant abuse, episodic	191925002	2475578016	32
938481000006114	1	E2573-1	E257311	Nondependent amfetamine/psychostimulant abuse in remission	414874007	2534808016	32
938451000006118	30	E2570-1	E257011	Nondependent amfetamine/psychostimulant abuse, unspecified	268648009	401800012	32
401800012	3000	E257	E257.00	Nondependent amphetamine or other psychostimulant abuse	268648009	401800012	32
586641000006118	80	E2573	E257300	Nondependent amphetamine or psychostimulant abuse in remission	414874007	2534808016	32
295314011	300	E257z	E257z00	Nondependent amphetamine or psychostimulant abuse NOS	268648009	401800012	32
