MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
5754581000006110	20	^ESCTBR575458		Brittle type 1 diabetes mellitus	290002008	2872766016	32
84691000006115	20	C108F-1	C108F11	Cataract due to diabetes mellitus type 1	421920002	3688521010	32
8027391000006115	1	^ESCTCH802739		Chronic kidney disease stage 1 due to type 1 diabetes mellitus	90721000119101	3010567012	32
8027491000006113	1	^ESCTCH802749		Chronic kidney disease stage 5 due to type 1 diabetes mellitus	90761000119106	3013545012	32
616591000006117	30	C1070	C107000	Diabetes mellitus, juvenile +peripheral circulatory disorder	421365002	2618205010	32
616601000006113	200	C1050	C105000	Diabetes mellitus, juvenile type, + ophthalmic manifestation	739681000	3537386015	32
292482014	20	C1020	C102000	Diabetes mellitus, juvenile type, with hyperosmolar coma	190330002	292482014	32
616641000006110	1000	C1010	C101000	Diabetes mellitus, juvenile type, with ketoacidosis	420270002	2618216015	32
616651000006112	40	C1030	C103000	Diabetes mellitus, juvenile type, with ketoacidotic coma	421075007	2618217012	32
616661000006114	100	C1040	C104000	Diabetes mellitus, juvenile type, with renal manifestation	421893009	2618211013	32
616671000006119	100	C1060	C106000	Diabetes mellitus, juvenile, + neurological manifestation	421468001	2618197018	32
479511000000117	10000	66An	66An.00	Diabetes type 1 review	279291000000109	479511000000117	1
12702381000006118	3	^ESCT1270238		Diabetic oculopathy due to type I diabetes mellitus	739681000	3537386015	32
7098211000006116	200	^ESCTDI709821		Dietary education for type 1 diabetes mellitus	429094000	2967892010	32
616611000006111	80	C10z0	C10z000	Disorder due to type 1 diabetes mellitus	420868002	3013528019	32
84771000006114	20	C1081-1	C108111	Disorder of eye with type 1 diabetes mellitus	739681000	3698438014	32
14083941000006112	2	^ESCT1408394		Disorder of nervous system due to type 1 diabetes mellitus	421468001	3789014011	32
14083771000006118	2	^ESCT1408377		Exudative maculopathy due to type 1 diabetes mellitus	420486006	3778111019	32
938301000006114	400	C10EP	C10EP00	Exudative maculopathy with type 1 diabetes mellitus	420486006	3698521013	32
6961081000006118	1	^ESCTGA696108		Gangrene associated with type 1 diabetes mellitus	420825003	2623046011	32
12705071000006113	3	^ESCT1270507		Gastroparesis due to type 1 diabetes mellitus	713702000	3297343012	32
299601000000114	5000	C10EQ	C10EQ00	Gastroparesis with type 1 diabetes mellitus	713702000	3698406016	32
8026061000006112	1	^ESCTHE802606		Heel AND/OR midfoot ulcer due to type 1 diabetes mellitus	87481000119109	3013126013	31
8119331000006114	2	^ESCTHY811933		Hyperglycaemia due to type 1 diabetes mellitus	367991000119101	3285563015	31
14083931000006119	2	^ESCT1408393		Hypoglycaemic coma due to type 1 diabetes mellitus	421437000	3873118010	32
787101000006114	100	C1073	C107300	IDDM with peripheral circulatory disorder	421895002	2618203015	32
787111000006112	20000	C108-1	C108.11	IDDM-Insulin dependent diabetes mellitus	73211009	121589010	32
772131000006111	20	C108J	C108J00	Insulin dependent diab mell with neuropathic arthropathy	201724008	309740011	32
772141000006118	3	C108G	C108G00	Insulin dependent diab mell with peripheral angiopathy	421895002	2618203015	32
772171000006114	100000	C108	C108.00	Insulin dependent diabetes mellitus	73211009	121589010	32
77727018	60000	C10E-2	C10E.12	Insulin dependent diabetes mellitus	73211009	121589010	32
772161000006119	80000	C1000-1	C100011	Insulin dependent diabetes mellitus	73211009	121589010	32
772181000006112	700	C1088	C108800	Insulin dependent diabetes mellitus - poor control	268519009	401531012	27
771331000006116	70	C108H	C108H00	Insulin dependent diabetes mellitus with arthropathy	39710007	1229552016	32
771341000006114	30	C108F	C108F00	Insulin dependent diabetes mellitus with diabetic cataract	43959009	73294018	32
771351000006111	20	C1086	C108600	Insulin dependent diabetes mellitus with gangrene	422275004	2616612015	32
771361000006113	200	C108E	C108E00	Insulin dependent diabetes mellitus with hypoglycaemic coma	237632004	356141011	32
771371000006118	7	C108B	C108B00	Insulin dependent diabetes mellitus with mononeuropathy	230577008	345492010	32
771381000006115	200	C1083	C108300	Insulin dependent diabetes mellitus with multiple complicatn	385041000000108	760111000000115	32
771391000006117	100	C108D	C108D00	Insulin dependent diabetes mellitus with nephropathy	127013003	301016	32
771401000006115	20	C108C	C108C00	Insulin dependent diabetes mellitus with polyneuropathy	49455004	82373015	32
771411000006117	300	C1087	C108700	Insulin dependent diabetes mellitus with retinopathy	4855003	9093013	32
771421000006113	60	C1085	C108500	Insulin dependent diabetes mellitus with ulcer	422183001	2623058011	32
771481000006112	60	C1082	C108200	Insulin-dependent diabetes mellitus with neurological comps	422088007	3688477014	32
771501000006119	80	C1080	C108000	Insulin-dependent diabetes mellitus with renal complications	127013003	301016	32
746791000006111	500	C108A	C108A00	Insulin-dependent diabetes without complication	111552007	178796018	32
14083741000006114	40	^ESCT1408374		Ketoacidosis due to type 1 diabetes mellitus	420270002	3873319011	32
928501000006119	10000	C10EM	C10EM00	Ketoacidosis in type 1 diabetes mellitus	420270002	2967817017	32
928521000006112	500	C10EN	C10EN00	Ketoacidotic coma in type 1 diabetes mellitus	421075007	2967758019	32
2674067015	6000	C10ER	C10ER00	Latent autoimmune diabetes mellitus in adult	426875007	2674067015	32
356085010	700	C10D-1	C10D.11	Maturity onset diabetes in youth type 2	237604008	356085010	32
5109561000006119	20	^ESCTMA510956		Maturity onset diabetes of the young, type 2	237604008	2967875018	32
8006221000006115	20	^ESCTMI800622		Microalbuminuria due to type 1 diabetes mellitus	18521000119106	3013076012	32
5109611000006116	400	^ESCTMO510961		MODY - Maturity onset diabetes in youth type 2	237604008	356086011	32
